language,parse_state,small_table_offset
r,405,0
r,406,71
r,407,142
r,408,213
r,409,284
r,410,413
r,411,484
r,412,555
r,413,626
r,414,697
r,415,768
r,416,897
r,417,968
r,418,1039
r,419,1110
r,420,1181
r,421,1252
r,422,1323
r,423,1394
r,424,1465
r,425,1536
r,426,1665
r,427,1736
r,428,1807
r,429,1878
r,430,1949
r,431,2020
r,432,2091
r,433,2162
r,434,2233
r,435,2304
r,436,2375
r,437,2446
r,438,2517
r,439,2588
r,440,2659
r,441,2730
r,442,2801
r,443,2872
r,444,3001
r,445,3072
r,446,3143
r,447,3214
r,448,3285
r,449,3356
r,450,3427
r,451,3498
r,452,3569
r,453,3640
r,454,3711
r,455,3782
r,456,3853
r,457,3924
r,458,4050
r,459,4176
r,460,4302
r,461,4427
r,462,4552
r,463,4677
r,464,4802
r,465,4927
r,466,5052
r,467,5177
r,468,5302
r,469,5427
r,470,5552
r,471,5677
r,472,5802
r,473,5927
r,474,6052
r,475,6177
r,476,6302
r,477,6427
r,478,6552
r,479,6677
r,480,6802
r,481,6927
r,482,7052
r,483,7177
r,484,7302
r,485,7427
r,486,7552
r,487,7677
r,488,7802
r,489,7927
r,490,8052
r,491,8177
r,492,8302
r,493,8427
r,494,8552
r,495,8677
r,496,8802
r,497,8927
r,498,9052
r,499,9177
r,500,9302
r,501,9427
r,502,9552
r,503,9677
r,504,9802
r,505,9927
r,506,10052
r,507,10177
r,508,10302
r,509,10427
r,510,10552
r,511,10677
r,512,10802
r,513,10927
r,514,11052
r,515,11177
r,516,11302
r,517,11427
r,518,11552
r,519,11677
r,520,11802
r,521,11927
r,522,12052
r,523,12177
r,524,12302
r,525,12427
r,526,12552
r,527,12677
r,528,12802
r,529,12927
r,530,13052
r,531,13177
r,532,13302
r,533,13427
r,534,13552
r,535,13677
r,536,13802
r,537,13927
r,538,14052
r,539,14177
r,540,14302
r,541,14427
r,542,14552
r,543,14677
r,544,14802
r,545,14927
r,546,15052
r,547,15177
r,548,15302
r,549,15427
r,550,15552
r,551,15677
r,552,15802
r,553,15927
r,554,16052
r,555,16177
r,556,16302
r,557,16427
r,558,16552
r,559,16677
r,560,16802
r,561,16927
r,562,17052
r,563,17177
r,564,17302
r,565,17427
r,566,17552
r,567,17677
r,568,17802
r,569,17927
r,570,18052
r,571,18177
r,572,18302
r,573,18427
r,574,18552
r,575,18677
r,576,18802
r,577,18927
r,578,19052
r,579,19177
r,580,19302
r,581,19427
r,582,19552
r,583,19677
r,584,19802
r,585,19927
r,586,20052
r,587,20177
r,588,20302
r,589,20427
r,590,20552
r,591,20677
r,592,20802
r,593,20927
r,594,21052
r,595,21177
r,596,21302
r,597,21427
r,598,21552
r,599,21677
r,600,21802
r,601,21927
r,602,22052
r,603,22177
r,604,22302
r,605,22427
r,606,22552
r,607,22677
r,608,22802
r,609,22927
r,610,23052
r,611,23177
r,612,23302
r,613,23427
r,614,23552
r,615,23677
r,616,23802
r,617,23927
r,618,24052
r,619,24177
r,620,24302
r,621,24427
r,622,24552
r,623,24677
r,624,24802
r,625,24927
r,626,25052
r,627,25177
r,628,25302
r,629,25427
r,630,25552
r,631,25677
r,632,25802
r,633,25927
r,634,26052
r,635,26177
r,636,26302
r,637,26427
r,638,26552
r,639,26677
r,640,26802
r,641,26927
r,642,27052
r,643,27177
r,644,27302
r,645,27427
r,646,27552
r,647,27677
r,648,27802
r,649,27927
r,650,28052
r,651,28177
r,652,28302
r,653,28427
r,654,28552
r,655,28677
r,656,28802
r,657,28927
r,658,29052
r,659,29177
r,660,29302
r,661,29427
r,662,29552
r,663,29677
r,664,29802
r,665,29927
r,666,30052
r,667,30177
r,668,30302
r,669,30427
r,670,30552
r,671,30677
r,672,30802
r,673,30927
r,674,31052
r,675,31177
r,676,31302
r,677,31427
r,678,31552
r,679,31677
r,680,31802
r,681,31927
r,682,32052
r,683,32177
r,684,32302
r,685,32427
r,686,32552
r,687,32677
r,688,32802
r,689,32927
r,690,33052
r,691,33177
r,692,33302
r,693,33427
r,694,33552
r,695,33677
r,696,33802
r,697,33927
r,698,34052
r,699,34177
r,700,34302
r,701,34427
r,702,34552
r,703,34677
r,704,34802
r,705,34927
r,706,35052
r,707,35177
r,708,35302
r,709,35427
r,710,35552
r,711,35677
r,712,35802
r,713,35927
r,714,36052
r,715,36177
r,716,36302
r,717,36427
r,718,36552
r,719,36677
r,720,36802
r,721,36927
r,722,37052
r,723,37177
r,724,37302
r,725,37427
r,726,37552
r,727,37677
r,728,37802
r,729,37927
r,730,38052
r,731,38177
r,732,38302
r,733,38427
r,734,38552
r,735,38677
r,736,38802
r,737,38927
r,738,39052
r,739,39177
r,740,39302
r,741,39427
r,742,39552
r,743,39677
r,744,39802
r,745,39927
r,746,40052
r,747,40177
r,748,40302
r,749,40427
r,750,40552
r,751,40677
r,752,40802
r,753,40927
r,754,41052
r,755,41177
r,756,41302
r,757,41427
r,758,41552
r,759,41677
r,760,41802
r,761,41927
r,762,42052
r,763,42177
r,764,42302
r,765,42427
r,766,42552
r,767,42677
r,768,42802
r,769,42927
r,770,43052
r,771,43177
r,772,43302
r,773,43427
r,774,43552
r,775,43677
r,776,43802
r,777,43927
r,778,44052
r,779,44177
r,780,44302
r,781,44427
r,782,44552
r,783,44677
r,784,44802
r,785,44927
r,786,45052
r,787,45177
r,788,45302
r,789,45427
r,790,45552
r,791,45677
r,792,45802
r,793,45927
r,794,46052
r,795,46177
r,796,46302
r,797,46427
r,798,46552
r,799,46677
r,800,46802
r,801,46927
r,802,47052
r,803,47177
r,804,47302
r,805,47427
r,806,47552
r,807,47677
r,808,47802
r,809,47927
r,810,48052
r,811,48177
r,812,48302
r,813,48427
r,814,48552
r,815,48677
r,816,48802
r,817,48927
r,818,49052
r,819,49177
r,820,49302
r,821,49427
r,822,49552
r,823,49677
r,824,49802
r,825,49927
r,826,50052
r,827,50177
r,828,50302
r,829,50427
r,830,50552
r,831,50677
r,832,50802
r,833,50927
r,834,51052
r,835,51177
r,836,51302
r,837,51427
r,838,51552
r,839,51677
r,840,51802
r,841,51927
r,842,52052
r,843,52177
r,844,52302
r,845,52427
r,846,52552
r,847,52677
r,848,52802
r,849,52927
r,850,53052
r,851,53177
r,852,53302
r,853,53427
r,854,53552
r,855,53677
r,856,53802
r,857,53927
r,858,54052
r,859,54177
r,860,54302
r,861,54427
r,862,54552
r,863,54677
r,864,54802
r,865,54927
r,866,55052
r,867,55177
r,868,55302
r,869,55427
r,870,55552
r,871,55677
r,872,55802
r,873,55927
r,874,56052
r,875,56177
r,876,56302
r,877,56427
r,878,56552
r,879,56677
r,880,56802
r,881,56927
r,882,57052
r,883,57177
r,884,57302
r,885,57427
r,886,57552
r,887,57677
r,888,57802
r,889,57927
r,890,58052
r,891,58177
r,892,58302
r,893,58427
r,894,58552
r,895,58677
r,896,58802
r,897,58927
r,898,59052
r,899,59177
r,900,59302
r,901,59427
r,902,59552
r,903,59677
r,904,59802
r,905,59927
r,906,60052
r,907,60177
r,908,60302
r,909,60427
r,910,60552
r,911,60677
r,912,60802
r,913,60927
r,914,61052
r,915,61177
r,916,61302
r,917,61427
r,918,61552
r,919,61677
r,920,61802
r,921,61927
r,922,62052
r,923,62177
r,924,62302
r,925,62427
r,926,62552
r,927,62677
r,928,62802
r,929,62927
r,930,63052
r,931,63177
r,932,63302
r,933,63427
r,934,63552
r,935,63677
r,936,63802
r,937,63927
r,938,64052
r,939,64177
r,940,64302
r,941,64427
r,942,64552
r,943,64677
r,944,64802
r,945,64927
r,946,65052
r,947,65177
r,948,65302
r,949,65427
r,950,65552
r,951,65677
r,952,65802
r,953,65927
r,954,66052
r,955,66177
r,956,66302
r,957,66427
r,958,66552
r,959,66677
r,960,66802
r,961,66927
r,962,67052
r,963,67177
r,964,67302
r,965,67427
r,966,67552
r,967,67677
r,968,67802
r,969,67927
r,970,68052
r,971,68177
r,972,68302
r,973,68427
r,974,68552
r,975,68677
r,976,68802
r,977,68927
r,978,69052
r,979,69177
r,980,69302
r,981,69427
r,982,69552
r,983,69677
r,984,69802
r,985,69927
r,986,70052
r,987,70177
r,988,70302
r,989,70427
r,990,70552
r,991,70677
r,992,70802
r,993,70927
r,994,71052
r,995,71177
r,996,71302
r,997,71427
r,998,71552
r,999,71677
r,1000,71802
r,1001,71927
r,1002,72052
r,1003,72177
r,1004,72302
r,1005,72427
r,1006,72552
r,1007,72677
r,1008,72802
r,1009,72927
r,1010,73052
r,1011,73177
r,1012,73302
r,1013,73427
r,1014,73552
r,1015,73677
r,1016,73802
r,1017,73927
r,1018,74052
r,1019,74177
r,1020,74302
r,1021,74427
r,1022,74552
r,1023,74677
r,1024,74802
r,1025,74927
r,1026,75052
r,1027,75177
r,1028,75302
r,1029,75427
r,1030,75552
r,1031,75677
r,1032,75802
r,1033,75927
r,1034,76052
r,1035,76177
r,1036,76302
r,1037,76427
r,1038,76552
r,1039,76677
r,1040,76802
r,1041,76927
r,1042,77052
r,1043,77177
r,1044,77302
r,1045,77427
r,1046,77552
r,1047,77677
r,1048,77802
r,1049,77927
r,1050,78052
r,1051,78177
r,1052,78302
r,1053,78427
r,1054,78552
r,1055,78677
r,1056,78796
r,1057,78915
r,1058,79034
r,1059,79153
r,1060,79272
r,1061,79391
r,1062,79510
r,1063,79629
r,1064,79748
r,1065,79867
r,1066,79986
r,1067,80105
r,1068,80224
r,1069,80343
r,1070,80462
r,1071,80581
r,1072,80700
r,1073,80819
r,1074,80938
r,1075,81057
r,1076,81176
r,1077,81295
r,1078,81414
r,1079,81533
r,1080,81652
r,1081,81771
r,1082,81890
r,1083,82009
r,1084,82128
r,1085,82247
r,1086,82366
r,1087,82485
r,1088,82604
r,1089,82723
r,1090,82842
r,1091,82961
r,1092,83080
r,1093,83199
r,1094,83318
r,1095,83437
r,1096,83556
r,1097,83675
r,1098,83794
r,1099,83913
r,1100,84032
r,1101,84151
r,1102,84270
r,1103,84389
r,1104,84508
r,1105,84627
r,1106,84746
r,1107,84865
r,1108,84984
r,1109,85103
r,1110,85222
r,1111,85341
r,1112,85460
r,1113,85579
r,1114,85698
r,1115,85817
r,1116,85936
r,1117,86055
r,1118,86174
r,1119,86293
r,1120,86412
r,1121,86531
r,1122,86650
r,1123,86769
r,1124,86888
r,1125,87007
r,1126,87126
r,1127,87201
r,1128,87276
r,1129,87351
r,1130,87426
r,1131,87501
r,1132,87576
r,1133,87650
r,1134,87724
r,1135,87798
r,1136,87872
r,1137,87946
r,1138,88020
r,1139,88089
r,1140,88158
r,1141,88227
r,1142,88295
r,1143,88363
r,1144,88431
r,1145,88486
r,1146,88541
r,1147,88596
r,1148,88650
r,1149,88758
r,1150,88812
r,1151,88920
r,1152,89028
r,1153,89136
r,1154,89244
r,1155,89352
r,1156,89460
r,1157,89568
r,1158,89676
r,1159,89784
r,1160,89892
r,1161,90000
r,1162,90108
r,1163,90216
r,1164,90324
r,1165,90432
r,1166,90540
r,1167,90594
r,1168,90702
r,1169,90810
r,1170,90918
r,1171,91026
r,1172,91134
r,1173,91242
r,1174,91350
r,1175,91453
r,1176,91536
r,1177,91639
r,1178,91714
r,1179,91811
r,1180,91882
r,1181,91985
r,1182,92088
r,1183,92161
r,1184,92264
r,1185,92367
r,1186,92462
r,1187,92549
r,1188,92620
r,1189,92721
r,1190,92816
r,1191,92919
r,1192,93006
r,1193,93101
r,1194,93192
r,1195,93271
r,1196,93342
r,1197,93445
r,1198,93546
r,1199,93643
r,1200,93714
r,1201,93805
r,1202,93908
r,1203,93995
r,1204,94098
r,1205,94181
r,1206,94276
r,1207,94351
r,1208,94422
r,1209,94493
r,1210,94572
r,1211,94645
r,1212,94748
r,1213,94819
r,1214,94922
r,1215,95025
r,1216,95128
r,1217,95231
r,1218,95304
r,1219,95401
r,1220,95502
r,1221,95605
r,1222,95700
r,1223,95779
r,1224,95858
r,1225,95955
r,1226,96046
r,1227,96133
r,1228,96216
r,1229,96291
r,1230,96362
r,1231,96435
r,1232,96506
r,1233,96609
r,1234,96712
r,1235,96815
r,1236,96906
r,1237,97007
r,1238,97094
r,1239,97197
r,1240,97300
r,1241,97403
r,1242,97506
r,1243,97589
r,1244,97692
r,1245,97767
r,1246,97870
r,1247,97973
r,1248,98044
r,1249,98147
r,1250,98250
r,1251,98353
r,1252,98448
r,1253,98551
r,1254,98624
r,1255,98719
r,1256,98822
r,1257,98925
r,1258,98996
r,1259,99099
r,1260,99202
r,1261,99305
r,1262,99384
r,1263,99487
r,1264,99590
r,1265,99693
r,1266,99796
r,1267,99899
r,1268,100002
r,1269,100105
r,1270,100200
r,1271,100287
r,1272,100374
r,1273,100471
r,1274,100542
r,1275,100643
r,1276,100734
r,1277,100821
r,1278,100904
r,1279,100979
r,1280,101050
r,1281,101153
r,1282,101226
r,1283,101297
r,1284,101392
r,1285,101495
r,1286,101598
r,1287,101701
r,1288,101804
r,1289,101907
r,1290,102010
r,1291,102113
r,1292,102216
r,1293,102319
r,1294,102422
r,1295,102517
r,1296,102620
r,1297,102723
r,1298,102826
r,1299,102929
r,1300,103016
r,1301,103119
r,1302,103222
r,1303,103325
r,1304,103420
r,1305,103523
r,1306,103594
r,1307,103681
r,1308,103784
r,1309,103887
r,1310,103990
r,1311,104093
r,1312,104196
r,1313,104299
r,1314,104370
r,1315,104473
r,1316,104576
r,1317,104677
r,1318,104748
r,1319,104851
r,1320,104954
r,1321,105057
r,1322,105160
r,1323,105263
r,1324,105366
r,1325,105461
r,1326,105564
r,1327,105667
r,1328,105770
r,1329,105873
r,1330,105952
r,1331,106023
r,1332,106126
r,1333,106213
r,1334,106310
r,1335,106393
r,1336,106484
r,1337,106559
r,1338,106662
r,1339,106765
r,1340,106852
r,1341,106955
r,1342,107058
r,1343,107128
r,1344,107230
r,1345,107332
r,1346,107434
r,1347,107536
r,1348,107638
r,1349,107740
r,1350,107840
r,1351,107942
r,1352,108036
r,1353,108114
r,1354,108216
r,1355,108318
r,1356,108414
r,1357,108504
r,1358,108606
r,1359,108692
r,1360,108774
r,1361,108848
r,1362,108942
r,1363,109012
r,1364,109084
r,1365,109154
r,1366,109240
r,1367,109310
r,1368,109412
r,1369,109514
r,1370,109620
r,1371,109722
r,1372,109824
r,1373,109928
r,1374,110030
r,1375,110136
r,1376,110242
r,1377,110344
r,1378,110446
r,1379,110548
r,1380,110650
r,1381,110744
r,1382,110830
r,1383,110900
r,1384,111000
r,1385,111102
r,1386,111204
r,1387,111306
r,1388,111408
r,1389,111510
r,1390,111616
r,1391,111718
r,1392,111812
r,1393,111914
r,1394,112016
r,1395,112094
r,1396,112196
r,1397,112298
r,1398,112400
r,1399,112502
r,1400,112604
r,1401,112700
r,1402,112790
r,1403,112876
r,1404,112978
r,1405,113080
r,1406,113174
r,1407,113260
r,1408,113330
r,1409,113432
r,1410,113534
r,1411,113628
r,1412,113714
r,1413,113796
r,1414,113866
r,1415,113968
r,1416,114070
r,1417,114172
r,1418,114266
r,1419,114352
r,1420,114422
r,1421,114522
r,1422,114624
r,1423,114718
r,1424,114796
r,1425,114898
r,1426,114994
r,1427,115084
r,1428,115170
r,1429,115252
r,1430,115326
r,1431,115396
r,1432,115468
r,1433,115538
r,1434,115644
r,1435,115750
r,1436,115856
r,1437,115962
r,1438,116068
r,1439,116170
r,1440,116272
r,1441,116378
r,1442,116478
r,1443,116580
r,1444,116674
r,1445,116776
r,1446,116878
r,1447,116974
r,1448,117064
r,1449,117150
r,1450,117232
r,1451,117306
r,1452,117412
r,1453,117518
r,1454,117588
r,1455,117694
r,1456,117766
r,1457,117836
r,1458,117942
r,1459,118048
r,1460,118122
r,1461,118192
r,1462,118298
r,1463,118404
r,1464,118510
r,1465,118582
r,1466,118684
r,1467,118790
r,1468,118892
r,1469,118998
r,1470,119068
r,1471,119170
r,1472,119276
r,1473,119382
r,1474,119488
r,1475,119594
r,1476,119700
r,1477,119802
r,1478,119904
r,1479,119998
r,1480,120100
r,1481,120202
r,1482,120288
r,1483,120390
r,1484,120496
r,1485,120602
r,1486,120672
r,1487,120778
r,1488,120884
r,1489,120990
r,1490,121092
r,1491,121196
r,1492,121302
r,1493,121408
r,1494,121508
r,1495,121614
r,1496,121718
r,1497,121824
r,1498,121930
r,1499,122032
r,1500,122134
r,1501,122236
r,1502,122338
r,1503,122438
r,1504,122540
r,1505,122634
r,1506,122712
r,1507,122814
r,1508,122920
r,1509,123026
r,1510,123128
r,1511,123234
r,1512,123336
r,1513,123432
r,1514,123538
r,1515,123640
r,1516,123746
r,1517,123836
r,1518,123922
r,1519,124016
r,1520,124098
r,1521,124200
r,1522,124306
r,1523,124412
r,1524,124486
r,1525,124592
r,1526,124694
r,1527,124764
r,1528,124870
r,1529,124976
r,1530,125048
r,1531,125150
r,1532,125220
r,1533,125322
r,1534,125424
r,1535,125530
r,1536,125636
r,1537,125742
r,1538,125848
r,1539,125954
r,1540,126032
r,1541,126138
r,1542,126240
r,1543,126342
r,1544,126448
r,1545,126554
r,1546,126660
r,1547,126766
r,1548,126872
r,1549,126974
r,1550,127076
r,1551,127178
r,1552,127284
r,1553,127388
r,1554,127494
r,1555,127590
r,1556,127696
r,1557,127802
r,1558,127892
r,1559,127978
r,1560,128084
r,1561,128186
r,1562,128292
r,1563,128394
r,1564,128500
r,1565,128602
r,1566,128708
r,1567,128814
r,1568,128896
r,1569,128970
r,1570,129076
r,1571,129178
r,1572,129284
r,1573,129386
r,1574,129458
r,1575,129560
r,1576,129666
r,1577,129768
r,1578,129874
r,1579,129980
r,1580,130050
r,1581,130152
r,1582,130254
r,1583,130356
r,1584,130434
r,1585,130479
r,1586,130524
r,1587,130569
r,1588,130614
r,1589,130659
r,1590,130704
r,1591,130749
r,1592,130794
r,1593,130839
r,1594,130888
r,1595,130937
r,1596,130982
r,1597,131027
r,1598,131072
r,1599,131117
r,1600,131162
r,1601,131207
r,1602,131252
r,1603,131301
r,1604,131350
r,1605,131395
r,1606,131440
r,1607,131485
r,1608,131530
r,1609,131575
r,1610,131624
r,1611,131673
r,1612,131718
r,1613,131763
r,1614,131808
r,1615,131853
r,1616,131898
r,1617,131943
r,1618,131987
r,1619,132031
r,1620,132075
r,1621,132119
r,1622,132163
r,1623,132207
r,1624,132251
r,1625,132295
r,1626,132339
r,1627,132387
r,1628,132431
r,1629,132475
r,1630,132519
r,1631,132567
r,1632,132611
r,1633,132655
r,1634,132703
r,1635,132753
r,1636,132803
r,1637,132853
r,1638,132897
r,1639,132945
r,1640,132989
r,1641,133037
r,1642,133081
r,1643,133125
r,1644,133169
r,1645,133213
r,1646,133257
r,1647,133301
r,1648,133345
r,1649,133389
r,1650,133437
r,1651,133481
r,1652,133525
r,1653,133569
r,1654,133613
r,1655,133656
r,1656,133699
r,1657,133742
r,1658,133785
