language,lexer_function,lex_state,token_symbol
r,ts_lex,27,ts_builtin_sym_end
r,ts_lex,28,anon_sym_BSLASH
r,ts_lex,29,anon_sym_EQ
r,ts_lex,30,anon_sym_QMARK
r,ts_lex,31,anon_sym_TILDE
r,ts_lex,32,anon_sym_BANG
r,ts_lex,33,anon_sym_PLUS
r,ts_lex,34,anon_sym_DASH
r,ts_lex,35,anon_sym_LT_DASH
r,ts_lex,36,anon_sym_LT_LT_DASH
r,ts_lex,37,anon_sym_COLON_EQ
r,ts_lex,38,anon_sym_DASH_GT
r,ts_lex,39,anon_sym_DASH_GT_GT
r,ts_lex,40,anon_sym_PIPE
r,ts_lex,41,anon_sym_AMP
r,ts_lex,42,anon_sym_PIPE_PIPE
r,ts_lex,43,anon_sym_AMP_AMP
r,ts_lex,44,anon_sym_LT
r,ts_lex,45,anon_sym_LT_EQ
r,ts_lex,46,anon_sym_GT
r,ts_lex,47,anon_sym_GT_EQ
r,ts_lex,48,anon_sym_EQ_EQ
r,ts_lex,49,anon_sym_BANG_EQ
r,ts_lex,50,anon_sym_STAR
r,ts_lex,51,anon_sym_SLASH
r,ts_lex,52,anon_sym_STAR_STAR
r,ts_lex,53,anon_sym_CARET
r,ts_lex,54,aux_sym_binary_operator_token1
r,ts_lex,55,anon_sym_PIPE_GT
r,ts_lex,56,anon_sym_COLON
r,ts_lex,57,anon_sym_COLON
r,ts_lex,58,anon_sym_DOLLAR
r,ts_lex,59,anon_sym_AT
r,ts_lex,60,anon_sym_COLON_COLON
r,ts_lex,61,anon_sym_COLON_COLON_COLON
r,ts_lex,62,sym__hex_literal
r,ts_lex,63,sym__hex_literal
r,ts_lex,64,sym__hex_literal
r,ts_lex,65,sym__number_literal
r,ts_lex,66,sym__number_literal
r,ts_lex,67,sym__number_literal
r,ts_lex,68,sym__number_literal
r,ts_lex,69,sym__number_literal
r,ts_lex,70,anon_sym_SQUOTE
r,ts_lex,71,anon_sym_DQUOTE
r,ts_lex,72,aux_sym__single_quoted_string_content_token1
