language,LANGUAGE_VERSION,STATE_COUNT,LARGE_STATE_COUNT,SYMBOL_COUNT,ALIAS_COUNT,TOKEN_COUNT,EXTERNAL_TOKEN_COUNT,FIELD_COUNT,MAX_ALIAS_SEQUENCE_LENGTH,PRODUCTION_ID_COUNT,SUPERTYPE_COUNT
r,14,2112,405,136,0,82,16,20,10,59,
go,15,1442,29,214,5,95,0,35,9,111,4
rust,15,3825,1064,351,4,157,11,31,10,295,5
cpp,15,11734,3826,570,5,225,2,53,9,234,7
c,15,2015,455,360,3,161,0,39,9,131,7
python,15,2788,185,273,2,108,12,32,10,150,5
zig,15,1836,933,273,1,154,0,17,11,57,4
julia,15,8267,4085,243,1,120,16,6,7,22,1
nim,14,13022,6581,372,5,141,17,24,9,159,0
csharp,15,8495,4475,542,3,219,13,26,15,204,9
java,14,1385,406,320,1,138,0,40,11,208,
kotlin,14,10180,6938,374,4,154,10,4,12,20,
