language,construct_id,construct,evidence_name,parser_symbol,parser_symbol_id,resolved,implementation_class,implementation_role_vector
r,C001,ModuleNamespace,namespace_operator,sym_namespace_operator,108,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,_namespace_identifier,,,0,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,_namespace_specifier,sym__namespace_specifier,452,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,global_module_fragment_declaration,sym_global_module_fragment_declaration,403,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,module,,,0,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,module_declaration,sym_module_declaration,400,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,module_name,sym_module_name,398,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,module_partition,sym_module_partition,399,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,namespace,,,0,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,namespace_alias_definition,sym_namespace_alias_definition,451,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,namespace_definition,sym_namespace_definition,450,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,namespace_identifier,alias_sym_namespace_identifier,571,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,nested_namespace_specifier,sym_nested_namespace_specifier,453,1,IMPL_b43af1291396,10110000000000000000000000000000
cpp,C001,ModuleNamespace,private_module_fragment_declaration,sym_private_module_fragment_declaration,404,1,IMPL_b43af1291396,10110000000000000000000000000000
python,C001,ModuleNamespace,module,sym_module,108,1,IMPL_b43af1291396,10110000000000000000000000000000
zig,C001,ModuleNamespace,using_namespace_declaration,sym_using_namespace_declaration,166,1,IMPL_b43af1291396,10110000000000000000000000000000
zig,C001,ModuleNamespace,usingnamespace,,,0,IMPL_b43af1291396,10110000000000000000000000000000
