language,action_ref,action_ordinal,entry_count,reusable,action_kind,action_args
r,0,0,0,false,EMPTY,
r,1,0,1,false,RECOVER,
r,3,0,1,true,SHIFT_EXTRA,
r,5,0,1,true,SHIFT,443
r,7,0,1,true,REDUCE,"sym_if_statement, 5, 0, 37"
r,9,0,1,false,REDUCE,"sym_if_statement, 5, 0, 37"
r,11,0,1,false,SHIFT,636
r,13,0,1,true,SHIFT,637
r,15,0,1,true,SHIFT,638
r,17,0,1,false,SHIFT,638
r,19,0,1,true,SHIFT,639
r,21,0,1,false,SHIFT,640
r,23,0,1,true,SHIFT,640
r,25,0,1,false,SHIFT,641
r,27,0,1,false,SHIFT,642
r,29,0,1,true,SHIFT,641
r,31,0,1,true,SHIFT,642
r,33,0,1,false,SHIFT,643
r,35,0,1,true,SHIFT,643
r,37,0,1,false,SHIFT,644
r,39,0,1,true,SHIFT,644
r,41,0,1,true,SHIFT,645
r,43,0,1,true,SHIFT,646
r,45,0,1,false,SHIFT,647
r,47,0,1,true,SHIFT,133
r,49,0,1,true,SHIFT,510
r,51,0,1,true,SHIFT,271
r,53,0,1,true,SHIFT,272
r,55,0,1,true,SHIFT,273
r,57,0,1,false,REDUCE,"sym_if_statement, 7, 0, 46"
r,59,0,1,true,REDUCE,"sym_if_statement, 7, 0, 46"
r,61,0,1,false,SHIFT,776
r,63,0,1,true,SHIFT,777
r,65,0,1,true,SHIFT,778
r,67,0,1,false,SHIFT,778
r,69,0,1,true,SHIFT,779
r,71,0,1,false,SHIFT,780
r,73,0,1,true,SHIFT,780
r,75,0,1,false,SHIFT,781
r,77,0,1,false,SHIFT,782
r,79,0,1,true,SHIFT,781
r,81,0,1,true,SHIFT,782
r,83,0,1,false,SHIFT,783
r,85,0,1,true,SHIFT,783
r,87,0,1,false,SHIFT,784
r,89,0,1,true,SHIFT,784
r,91,0,1,true,SHIFT,785
r,93,0,1,true,SHIFT,786
r,95,0,1,false,SHIFT,787
r,97,0,1,true,SHIFT,247
r,99,0,1,true,SHIFT,833
r,101,0,1,true,SHIFT,276
r,103,0,1,true,SHIFT,277
r,105,0,1,true,SHIFT,278
r,107,0,1,true,REDUCE,"sym_if_statement, 6, 0, 42"
r,109,0,1,false,REDUCE,"sym_if_statement, 6, 0, 42"
r,111,0,1,true,SHIFT,620
r,113,0,1,true,SHIFT,634
r,115,0,1,true,REDUCE,"sym_if_statement, 6, 0, 41"
r,117,0,1,false,REDUCE,"sym_if_statement, 6, 0, 41"
