language,action_list_id,action_ordinal,action_count,reusable,action_kind,target_state,extra,repetition,lhs_symbol_id,lhs_symbol_name,child_count,dynamic_precedence,production_id
r,0,0,0,false,EMPTY,,false,false,,,,,
r,1,0,1,false,RECOVER,,false,false,,,,,
r,3,0,1,true,SHIFT_EXTRA,0,true,false,,,,,
r,5,0,1,true,SHIFT,443,false,false,,,,,
r,7,0,1,true,REDUCE,,false,false,89,sym_if_statement,5,0,37
r,9,0,1,false,REDUCE,,false,false,89,sym_if_statement,5,0,37
r,11,0,1,false,SHIFT,636,false,false,,,,,
r,13,0,1,true,SHIFT,637,false,false,,,,,
r,15,0,1,true,SHIFT,638,false,false,,,,,
r,17,0,1,false,SHIFT,638,false,false,,,,,
r,19,0,1,true,SHIFT,639,false,false,,,,,
r,21,0,1,false,SHIFT,640,false,false,,,,,
r,23,0,1,true,SHIFT,640,false,false,,,,,
r,25,0,1,false,SHIFT,641,false,false,,,,,
r,27,0,1,false,SHIFT,642,false,false,,,,,
r,29,0,1,true,SHIFT,641,false,false,,,,,
r,31,0,1,true,SHIFT,642,false,false,,,,,
r,33,0,1,false,SHIFT,643,false,false,,,,,
r,35,0,1,true,SHIFT,643,false,false,,,,,
r,37,0,1,false,SHIFT,644,false,false,,,,,
r,39,0,1,true,SHIFT,644,false,false,,,,,
r,41,0,1,true,SHIFT,645,false,false,,,,,
r,43,0,1,true,SHIFT,646,false,false,,,,,
r,45,0,1,false,SHIFT,647,false,false,,,,,
r,47,0,1,true,SHIFT,133,false,false,,,,,
r,49,0,1,true,SHIFT,510,false,false,,,,,
r,51,0,1,true,SHIFT,271,false,false,,,,,
r,53,0,1,true,SHIFT,272,false,false,,,,,
r,55,0,1,true,SHIFT,273,false,false,,,,,
r,57,0,1,false,REDUCE,,false,false,89,sym_if_statement,7,0,46
r,59,0,1,true,REDUCE,,false,false,89,sym_if_statement,7,0,46
r,61,0,1,false,SHIFT,776,false,false,,,,,
r,63,0,1,true,SHIFT,777,false,false,,,,,
r,65,0,1,true,SHIFT,778,false,false,,,,,
r,67,0,1,false,SHIFT,778,false,false,,,,,
r,69,0,1,true,SHIFT,779,false,false,,,,,
r,71,0,1,false,SHIFT,780,false,false,,,,,
r,73,0,1,true,SHIFT,780,false,false,,,,,
r,75,0,1,false,SHIFT,781,false,false,,,,,
r,77,0,1,false,SHIFT,782,false,false,,,,,
r,79,0,1,true,SHIFT,781,false,false,,,,,
r,81,0,1,true,SHIFT,782,false,false,,,,,
r,83,0,1,false,SHIFT,783,false,false,,,,,
r,85,0,1,true,SHIFT,783,false,false,,,,,
r,87,0,1,false,SHIFT,784,false,false,,,,,
r,89,0,1,true,SHIFT,784,false,false,,,,,
r,91,0,1,true,SHIFT,785,false,false,,,,,
r,93,0,1,true,SHIFT,786,false,false,,,,,
r,95,0,1,false,SHIFT,787,false,false,,,,,
r,97,0,1,true,SHIFT,247,false,false,,,,,
r,99,0,1,true,SHIFT,833,false,false,,,,,
r,101,0,1,true,SHIFT,276,false,false,,,,,
r,103,0,1,true,SHIFT,277,false,false,,,,,
r,105,0,1,true,SHIFT,278,false,false,,,,,
r,107,0,1,true,REDUCE,,false,false,89,sym_if_statement,6,0,42
r,109,0,1,false,REDUCE,,false,false,89,sym_if_statement,6,0,42
r,111,0,1,true,SHIFT,620,false,false,,,,,
r,113,0,1,true,SHIFT,634,false,false,,,,,
r,115,0,1,true,REDUCE,,false,false,89,sym_if_statement,6,0,41
r,117,0,1,false,REDUCE,,false,false,89,sym_if_statement,6,0,41
r,119,0,1,true,SHIFT,619,false,false,,,,,
r,121,0,1,true,SHIFT,494,false,false,,,,,
r,123,0,1,true,SHIFT,500,false,false,,,,,
r,125,0,1,true,SHIFT,501,false,false,,,,,
r,127,0,1,true,SHIFT,509,false,false,,,,,
r,129,0,1,true,SHIFT,694,false,false,,,,,
r,131,0,1,true,SHIFT,700,false,false,,,,,
r,133,0,1,true,SHIFT,701,false,false,,,,,
r,135,0,1,true,SHIFT,708,false,false,,,,,
r,137,0,1,true,SHIFT,820,false,false,,,,,
r,139,0,1,true,SHIFT,825,false,false,,,,,
r,141,0,1,true,SHIFT,826,false,false,,,,,
r,143,0,1,true,REDUCE,,false,false,106,sym_binary_operator,3,0,17
r,145,0,1,false,REDUCE,,false,false,106,sym_binary_operator,3,0,17
r,147,0,1,false,REDUCE,,false,false,89,sym_if_statement,10,0,58
r,149,0,1,true,REDUCE,,false,false,89,sym_if_statement,10,0,58
r,151,0,1,true,REDUCE,,false,false,92,sym_repeat_statement,2,0,3
r,153,0,1,false,REDUCE,,false,false,92,sym_repeat_statement,2,0,3
r,155,0,1,true,REDUCE,,false,false,105,sym_unary_operator,2,0,4
r,157,0,1,false,REDUCE,,false,false,105,sym_unary_operator,2,0,4
r,159,0,1,true,REDUCE,,false,false,83,sym_function_definition,3,0,10
r,161,0,1,false,REDUCE,,false,false,83,sym_function_definition,3,0,10
r,163,0,1,true,REDUCE,,false,false,92,sym_repeat_statement,3,0,14
r,165,0,1,false,REDUCE,,false,false,92,sym_repeat_statement,3,0,14
r,167,0,1,true,REDUCE,,false,false,105,sym_unary_operator,3,0,15
r,169,0,1,false,REDUCE,,false,false,105,sym_unary_operator,3,0,15
r,171,0,1,true,REDUCE,,false,false,83,sym_function_definition,4,0,24
r,173,0,1,false,REDUCE,,false,false,83,sym_function_definition,4,0,24
r,175,0,1,true,REDUCE,,false,false,83,sym_function_definition,4,0,26
r,177,0,1,false,REDUCE,,false,false,83,sym_function_definition,4,0,26
r,179,0,1,true,REDUCE,,false,false,106,sym_binary_operator,4,0,27
r,181,0,1,false,REDUCE,,false,false,106,sym_binary_operator,4,0,27
r,183,0,1,true,REDUCE,,false,false,83,sym_function_definition,5,0,36
r,185,0,1,false,REDUCE,,false,false,83,sym_function_definition,5,0,36
r,187,0,1,true,REDUCE,,false,false,91,sym_while_statement,5,0,38
r,189,0,1,false,REDUCE,,false,false,91,sym_while_statement,5,0,38
r,191,0,1,true,REDUCE,,false,false,91,sym_while_statement,6,0,43
r,193,0,1,false,REDUCE,,false,false,91,sym_while_statement,6,0,43
r,195,0,1,true,REDUCE,,false,false,91,sym_while_statement,6,0,44
r,197,0,1,false,REDUCE,,false,false,91,sym_while_statement,6,0,44
r,199,0,1,true,REDUCE,,false,false,89,sym_if_statement,7,0,45
r,201,0,1,false,REDUCE,,false,false,89,sym_if_statement,7,0,45
r,203,0,1,true,REDUCE,,false,false,90,sym_for_statement,7,0,47
r,205,0,1,false,REDUCE,,false,false,90,sym_for_statement,7,0,47
r,207,0,1,true,REDUCE,,false,false,91,sym_while_statement,7,0,48
r,209,0,1,false,REDUCE,,false,false,91,sym_while_statement,7,0,48
r,211,0,1,true,REDUCE,,false,false,89,sym_if_statement,8,0,49
r,213,0,1,false,REDUCE,,false,false,89,sym_if_statement,8,0,49
r,215,0,1,true,REDUCE,,false,false,89,sym_if_statement,8,0,50
r,217,0,1,false,REDUCE,,false,false,89,sym_if_statement,8,0,50
r,219,0,1,true,REDUCE,,false,false,89,sym_if_statement,8,0,51
r,221,0,1,false,REDUCE,,false,false,89,sym_if_statement,8,0,51
r,223,0,1,true,REDUCE,,false,false,90,sym_for_statement,8,0,52
r,225,0,1,false,REDUCE,,false,false,90,sym_for_statement,8,0,52
r,227,0,1,true,REDUCE,,false,false,90,sym_for_statement,8,0,53
r,229,0,1,false,REDUCE,,false,false,90,sym_for_statement,8,0,53
r,231,0,1,true,REDUCE,,false,false,89,sym_if_statement,9,0,54
r,233,0,1,false,REDUCE,,false,false,89,sym_if_statement,9,0,54
r,235,0,1,true,REDUCE,,false,false,89,sym_if_statement,9,0,55
r,237,0,1,false,REDUCE,,false,false,89,sym_if_statement,9,0,55
r,239,0,1,true,REDUCE,,false,false,89,sym_if_statement,9,0,56
r,241,0,1,false,REDUCE,,false,false,89,sym_if_statement,9,0,56
r,243,0,1,true,REDUCE,,false,false,90,sym_for_statement,9,0,57
r,245,0,1,false,REDUCE,,false,false,90,sym_for_statement,9,0,57
r,247,0,1,false,SHIFT,986,false,false,,,,,
r,249,0,1,true,SHIFT,988,false,false,,,,,
r,251,0,1,true,SHIFT,989,false,false,,,,,
r,253,0,1,false,SHIFT,989,false,false,,,,,
r,255,0,1,true,SHIFT,999,false,false,,,,,
r,257,0,1,false,SHIFT,1000,false,false,,,,,
r,259,0,1,true,SHIFT,1000,false,false,,,,,
r,261,0,1,false,SHIFT,1001,false,false,,,,,
r,263,0,1,false,SHIFT,1002,false,false,,,,,
r,265,0,1,true,SHIFT,1001,false,false,,,,,
r,267,0,1,true,SHIFT,1002,false,false,,,,,
r,269,0,1,false,SHIFT,1012,false,false,,,,,
r,271,0,1,true,SHIFT,1012,false,false,,,,,
r,273,0,1,false,SHIFT,1013,false,false,,,,,
r,275,0,1,true,SHIFT,1013,false,false,,,,,
r,277,0,1,true,SHIFT,1014,false,false,,,,,
r,279,0,1,true,SHIFT,1015,false,false,,,,,
r,281,0,1,false,SHIFT,1025,false,false,,,,,
r,283,0,1,true,SHIFT,256,false,false,,,,,
r,285,0,1,true,SHIFT,283,false,false,,,,,
r,287,0,1,true,SHIFT,263,false,false,,,,,
r,289,0,1,true,SHIFT,264,false,false,,,,,
r,291,0,1,true,SHIFT,1038,false,false,,,,,
