predicate_id,language,lexer_function,instruction_ordinal,opcode,arg1,arg2,source_guard
p_bd081d79cd7b89e5e2a2,r,ts_lex,0,PUSH_EOF,,,eof
p_151adefc0b37bc193da7,r,ts_lex,0,PUSH_INT,9,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,1,PUSH_LOOKAHEAD,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,2,CMP_LE,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,3,PUSH_LOOKAHEAD,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,4,PUSH_INT,13,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,5,CMP_LE,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,6,AND,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,7,PUSH_LOOKAHEAD,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,8,PUSH_INT,32,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,9,CMP_EQ,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_151adefc0b37bc193da7,r,ts_lex,10,OR,,,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' '
p_767eca23bb7fe406b2ab,r,ts_lex,0,PUSH_INT,49,,('1' <= lookahead && lookahead <= '9')
p_767eca23bb7fe406b2ab,r,ts_lex,1,PUSH_LOOKAHEAD,,,('1' <= lookahead && lookahead <= '9')
p_767eca23bb7fe406b2ab,r,ts_lex,2,CMP_LE,,,('1' <= lookahead && lookahead <= '9')
p_767eca23bb7fe406b2ab,r,ts_lex,3,PUSH_LOOKAHEAD,,,('1' <= lookahead && lookahead <= '9')
p_767eca23bb7fe406b2ab,r,ts_lex,4,PUSH_INT,57,,('1' <= lookahead && lookahead <= '9')
p_767eca23bb7fe406b2ab,r,ts_lex,5,CMP_LE,,,('1' <= lookahead && lookahead <= '9')
p_767eca23bb7fe406b2ab,r,ts_lex,6,AND,,,('1' <= lookahead && lookahead <= '9')
p_a14b2e65f3c13add0834,r,ts_lex,0,SET_CONTAINS,sym_identifier_character_set_2,669,"set_contains(sym_identifier_character_set_2, 669, lookahead)"
p_1f8e89671468d34a8a8c,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 33
