language,parse_state,lex_state,external_lex_state
c,0,0,0
c,1,120,0
c,2,45,0
c,3,45,0
c,4,45,0
c,5,45,0
c,6,45,0
c,7,45,0
c,8,45,0
c,9,45,0
c,10,45,0
c,11,45,0
c,12,45,0
c,13,45,0
c,14,45,0
c,15,45,0
c,16,45,0
c,17,45,0
c,18,45,0
c,19,45,0
c,20,45,0
c,21,45,0
c,22,45,0
c,23,120,0
c,24,47,0
c,25,120,0
c,26,47,0
c,27,120,0
c,28,120,0
c,29,120,0
c,30,120,0
c,31,120,0
c,32,120,0
c,33,120,0
c,34,120,0
c,35,120,0
c,36,47,0
c,37,120,0
c,38,120,0
c,39,120,0
c,40,120,0
c,41,120,0
c,42,120,0
c,43,120,0
c,44,120,0
c,45,45,0
c,46,45,0
c,47,45,0
c,48,45,0
c,49,45,0
c,50,120,0
c,51,120,0
c,52,120,0
c,53,120,0
c,54,120,0
c,55,120,0
c,56,120,0
c,57,47,0
c,58,47,0
c,59,47,0
c,60,47,0
c,61,120,0
c,62,47,0
c,63,120,0
c,64,120,0
c,65,120,0
c,66,120,0
c,67,120,0
c,68,120,0
c,69,120,0
c,70,120,0
c,71,120,0
c,72,120,0
c,73,120,0
c,74,120,0
c,75,120,0
c,76,120,0
c,77,120,0
c,78,120,0
c,79,120,0
c,80,45,0
c,81,45,0
c,82,45,0
c,83,45,0
c,84,45,0
c,85,45,0
c,86,45,0
c,87,120,0
c,88,45,0
c,89,120,0
c,90,45,0
c,91,45,0
c,92,45,0
c,93,45,0
c,94,45,0
c,95,45,0
c,96,45,0
c,97,45,0
c,98,45,0
c,99,45,0
c,100,45,0
c,101,45,0
c,102,45,0
c,103,45,0
c,104,45,0
c,105,45,0
c,106,45,0
c,107,45,0
c,108,45,0
c,109,45,0
c,110,45,0
c,111,45,0
c,112,45,0
c,113,45,0
c,114,45,0
c,115,45,0
c,116,45,0
c,117,45,0
c,118,45,0
c,119,45,0
c,120,45,0
c,121,45,0
c,122,45,0
c,123,45,0
c,124,45,0
c,125,45,0
c,126,45,0
c,127,45,0
c,128,45,0
c,129,45,0
c,130,45,0
c,131,45,0
c,132,45,0
c,133,45,0
c,134,45,0
c,135,45,0
c,136,45,0
c,137,45,0
c,138,45,0
c,139,45,0
c,140,45,0
c,141,45,0
c,142,45,0
c,143,45,0
c,144,45,0
c,145,45,0
c,146,120,0
c,147,120,0
c,148,47,0
c,149,47,0
c,150,120,0
c,151,120,0
c,152,120,0
c,153,120,0
c,154,120,0
c,155,120,0
c,156,120,0
c,157,120,0
c,158,120,0
c,159,120,0
c,160,120,0
c,161,120,0
c,162,120,0
c,163,120,0
c,164,120,0
c,165,120,0
c,166,120,0
c,167,120,0
c,168,120,0
c,169,120,0
c,170,120,0
c,171,120,0
c,172,120,0
c,173,120,0
c,174,120,0
c,175,120,0
c,176,47,0
c,177,47,0
c,178,47,0
c,179,120,0
c,180,47,0
c,181,47,0
c,182,47,0
c,183,47,0
c,184,47,0
c,185,47,0
c,186,47,0
c,187,120,0
c,188,47,0
c,189,120,0
c,190,120,0
c,191,120,0
c,192,47,0
c,193,47,0
c,194,47,0
c,195,47,0
c,196,47,0
c,197,47,0
c,198,120,0
c,199,120,0
c,200,47,0
c,201,47,0
c,202,47,0
c,203,47,0
c,204,47,0
c,205,120,0
c,206,47,0
c,207,47,0
c,208,47,0
c,209,47,0
c,210,47,0
c,211,47,0
c,212,47,0
c,213,47,0
c,214,47,0
c,215,47,0
c,216,47,0
c,217,47,0
c,218,120,0
c,219,120,0
c,220,120,0
c,221,120,0
c,222,120,0
c,223,120,0
c,224,120,0
c,225,120,0
c,226,120,0
c,227,120,0
c,228,120,0
c,229,120,0
c,230,120,0
c,231,120,0
c,232,120,0
c,233,120,0
c,234,120,0
c,235,120,0
c,236,120,0
c,237,120,0
c,238,120,0
c,239,120,0
c,240,120,0
c,241,120,0
c,242,120,0
c,243,120,0
c,244,120,0
c,245,120,0
c,246,120,0
c,247,120,0
c,248,120,0
c,249,120,0
c,250,120,0
c,251,120,0
c,252,120,0
c,253,120,0
c,254,47,0
c,255,120,0
c,256,120,0
c,257,120,0
c,258,120,0
c,259,120,0
c,260,120,0
c,261,120,0
c,262,120,0
c,263,120,0
c,264,120,0
c,265,120,0
c,266,120,0
c,267,120,0
c,268,120,0
c,269,120,0
c,270,44,0
c,271,120,0
c,272,120,0
c,273,120,0
c,274,120,0
c,275,120,0
c,276,120,0
c,277,120,0
c,278,120,0
c,279,120,0
c,280,120,0
c,281,120,0
c,282,47,0
c,283,120,0
c,284,47,0
c,285,47,0
c,286,47,0
c,287,47,0
c,288,47,0
c,289,47,0
c,290,47,0
c,291,47,0
c,292,47,0
c,293,47,0
c,294,47,0
c,295,47,0
c,296,47,0
c,297,47,0
c,298,47,0
c,299,47,0
c,300,47,0
c,301,47,0
c,302,47,0
c,303,47,0
c,304,47,0
c,305,47,0
c,306,47,0
c,307,47,0
c,308,47,0
c,309,120,0
c,310,120,0
c,311,47,0
c,312,44,0
c,313,120,0
c,314,120,0
c,315,120,0
