language,reserved_word_set_id,symbol_id,symbol_name
go,1,5,anon_sym_package
go,1,6,anon_sym_import
go,1,11,anon_sym_const
go,1,14,anon_sym_var
go,1,15,anon_sym_func
go,1,19,anon_sym_type
go,1,21,anon_sym_struct
go,1,25,anon_sym_interface
go,1,27,anon_sym_map
go,1,28,anon_sym_chan
go,1,45,anon_sym_fallthrough
go,1,46,anon_sym_break
go,1,47,anon_sym_continue
go,1,48,anon_sym_goto
go,1,49,anon_sym_return
go,1,50,anon_sym_go
go,1,51,anon_sym_defer
go,1,52,anon_sym_if
go,1,53,anon_sym_else
go,1,54,anon_sym_for
go,1,55,anon_sym_range
go,1,56,anon_sym_switch
go,1,57,anon_sym_case
go,1,58,anon_sym_default
go,1,59,anon_sym_select
go,2,5,anon_sym_package
go,2,6,anon_sym_import
go,2,53,anon_sym_else
go,2,55,anon_sym_range
go,3,5,anon_sym_package
go,3,6,anon_sym_import
go,3,53,anon_sym_else
go,3,55,anon_sym_range
go,3,57,anon_sym_case
go,3,58,anon_sym_default
go,4,5,anon_sym_package
go,4,6,anon_sym_import
go,4,11,anon_sym_const
go,4,14,anon_sym_var
go,4,19,anon_sym_type
go,4,45,anon_sym_fallthrough
go,4,46,anon_sym_break
go,4,47,anon_sym_continue
go,4,48,anon_sym_goto
go,4,49,anon_sym_return
go,4,50,anon_sym_go
go,4,51,anon_sym_defer
go,4,52,anon_sym_if
go,4,53,anon_sym_else
go,4,54,anon_sym_for
go,4,56,anon_sym_switch
go,4,57,anon_sym_case
go,4,58,anon_sym_default
go,4,59,anon_sym_select
go,5,5,anon_sym_package
go,5,6,anon_sym_import
go,5,11,anon_sym_const
go,5,14,anon_sym_var
go,5,19,anon_sym_type
go,5,45,anon_sym_fallthrough
go,5,46,anon_sym_break
go,5,47,anon_sym_continue
go,5,48,anon_sym_goto
go,5,49,anon_sym_return
go,5,50,anon_sym_go
go,5,51,anon_sym_defer
go,5,52,anon_sym_if
go,5,53,anon_sym_else
go,5,54,anon_sym_for
go,5,55,anon_sym_range
go,5,56,anon_sym_switch
go,5,57,anon_sym_case
go,5,58,anon_sym_default
go,5,59,anon_sym_select
go,6,5,anon_sym_package
go,6,6,anon_sym_import
go,6,11,anon_sym_const
go,6,14,anon_sym_var
go,6,19,anon_sym_type
go,6,45,anon_sym_fallthrough
go,6,46,anon_sym_break
go,6,47,anon_sym_continue
go,6,48,anon_sym_goto
go,6,49,anon_sym_return
go,6,50,anon_sym_go
go,6,51,anon_sym_defer
go,6,52,anon_sym_if
go,6,53,anon_sym_else
go,6,54,anon_sym_for
go,6,55,anon_sym_range
go,6,56,anon_sym_switch
go,6,59,anon_sym_select
go,7,5,anon_sym_package
go,7,6,anon_sym_import
go,7,11,anon_sym_const
go,7,14,anon_sym_var
go,7,15,anon_sym_func
go,7,19,anon_sym_type
go,7,21,anon_sym_struct
go,7,25,anon_sym_interface
go,7,27,anon_sym_map
go,7,28,anon_sym_chan
go,7,45,anon_sym_fallthrough
go,7,46,anon_sym_break
go,7,47,anon_sym_continue
go,7,48,anon_sym_goto
go,7,49,anon_sym_return
go,7,50,anon_sym_go
go,7,51,anon_sym_defer
go,7,52,anon_sym_if
go,7,53,anon_sym_else
go,7,54,anon_sym_for
go,7,55,anon_sym_range
go,7,56,anon_sym_switch
go,7,59,anon_sym_select
python,1,3,anon_sym_import
python,1,5,anon_sym_from
python,1,10,anon_sym_as
python,1,14,anon_sym_assert
python,1,16,anon_sym_return
python,1,17,anon_sym_del
python,1,18,anon_sym_raise
python,1,19,anon_sym_pass
python,1,20,anon_sym_break
python,1,21,anon_sym_continue
python,1,22,anon_sym_if
python,1,24,anon_sym_elif
python,1,25,anon_sym_else
python,1,28,anon_sym_async
python,1,29,anon_sym_for
python,1,30,anon_sym_in
python,1,31,anon_sym_while
python,1,32,anon_sym_try
python,1,33,anon_sym_except
python,1,35,anon_sym_finally
python,1,36,anon_sym_with
python,1,37,anon_sym_def
python,1,40,anon_sym_global
python,1,41,anon_sym_nonlocal
python,1,45,anon_sym_class
python,1,55,anon_sym_not
python,1,56,anon_sym_and
python,1,57,anon_sym_or
python,1,65,anon_sym_is
python,1,73,anon_sym_lambda
python,1,87,anon_sym_yield
python,1,95,anon_sym_await
python,1,96,sym_true
python,1,97,sym_false
python,1,98,sym_none
python,2,10,anon_sym_as
python,2,24,anon_sym_elif
python,2,25,anon_sym_else
python,2,30,anon_sym_in
python,2,33,anon_sym_except
python,2,35,anon_sym_finally
python,2,56,anon_sym_and
python,2,57,anon_sym_or
python,2,65,anon_sym_is
python,3,10,anon_sym_as
python,3,22,anon_sym_if
python,3,24,anon_sym_elif
python,3,25,anon_sym_else
python,3,29,anon_sym_for
python,3,30,anon_sym_in
python,3,31,anon_sym_while
python,3,32,anon_sym_try
python,3,33,anon_sym_except
python,3,35,anon_sym_finally
python,3,36,anon_sym_with
python,3,37,anon_sym_def
python,3,45,anon_sym_class
python,3,56,anon_sym_and
python,3,57,anon_sym_or
python,3,65,anon_sym_is
python,4,3,anon_sym_import
python,4,5,anon_sym_from
python,4,14,anon_sym_assert
python,4,16,anon_sym_return
python,4,17,anon_sym_del
python,4,18,anon_sym_raise
python,4,19,anon_sym_pass
python,4,20,anon_sym_break
python,4,21,anon_sym_continue
python,4,24,anon_sym_elif
python,4,25,anon_sym_else
python,4,29,anon_sym_for
python,4,31,anon_sym_while
python,4,32,anon_sym_try
python,4,33,anon_sym_except
python,4,35,anon_sym_finally
python,4,36,anon_sym_with
python,4,37,anon_sym_def
python,4,40,anon_sym_global
python,4,41,anon_sym_nonlocal
python,4,45,anon_sym_class
python,4,73,anon_sym_lambda
