language,parse_state,symbol_id,symbol_name,symbol_kind,dispatch_kind,next_state,action_list_id,table_kind
c,0,0,ts_builtin_sym_end,terminal,ACTION,,1,large
c,0,1,sym_identifier,terminal,ACTION,,1,large
c,0,2,aux_sym_preproc_include_token1,terminal,ACTION,,1,large
c,0,4,aux_sym_preproc_def_token1,terminal,ACTION,,1,large
c,0,5,anon_sym_LPAREN,terminal,ACTION,,1,large
c,0,6,anon_sym_DOT_DOT_DOT,terminal,ACTION,,1,large
c,0,7,anon_sym_COMMA,terminal,ACTION,,1,large
c,0,8,anon_sym_RPAREN,terminal,ACTION,,1,large
c,0,9,aux_sym_preproc_if_token1,terminal,ACTION,,1,large
c,0,11,aux_sym_preproc_if_token2,terminal,ACTION,,1,large
c,0,12,aux_sym_preproc_ifdef_token1,terminal,ACTION,,1,large
c,0,13,aux_sym_preproc_ifdef_token2,terminal,ACTION,,1,large
c,0,14,aux_sym_preproc_else_token1,terminal,ACTION,,1,large
c,0,15,aux_sym_preproc_elif_token1,terminal,ACTION,,1,large
c,0,16,aux_sym_preproc_elifdef_token1,terminal,ACTION,,1,large
c,0,17,aux_sym_preproc_elifdef_token2,terminal,ACTION,,1,large
c,0,19,sym_preproc_directive,terminal,ACTION,,1,large
c,0,20,anon_sym_LPAREN2,terminal,ACTION,,1,large
c,0,21,anon_sym_defined,terminal,ACTION,,1,large
c,0,22,anon_sym_BANG,terminal,ACTION,,1,large
c,0,23,anon_sym_TILDE,terminal,ACTION,,1,large
c,0,24,anon_sym_DASH,terminal,ACTION,,1,large
c,0,25,anon_sym_PLUS,terminal,ACTION,,1,large
c,0,26,anon_sym_STAR,terminal,ACTION,,1,large
c,0,27,anon_sym_SLASH,terminal,ACTION,,1,large
c,0,28,anon_sym_PERCENT,terminal,ACTION,,1,large
c,0,29,anon_sym_PIPE_PIPE,terminal,ACTION,,1,large
c,0,30,anon_sym_AMP_AMP,terminal,ACTION,,1,large
c,0,31,anon_sym_PIPE,terminal,ACTION,,1,large
c,0,32,anon_sym_CARET,terminal,ACTION,,1,large
c,0,33,anon_sym_AMP,terminal,ACTION,,1,large
c,0,34,anon_sym_EQ_EQ,terminal,ACTION,,1,large
c,0,35,anon_sym_BANG_EQ,terminal,ACTION,,1,large
c,0,36,anon_sym_GT,terminal,ACTION,,1,large
c,0,37,anon_sym_GT_EQ,terminal,ACTION,,1,large
c,0,38,anon_sym_LT_EQ,terminal,ACTION,,1,large
c,0,39,anon_sym_LT,terminal,ACTION,,1,large
c,0,40,anon_sym_LT_LT,terminal,ACTION,,1,large
c,0,41,anon_sym_GT_GT,terminal,ACTION,,1,large
c,0,42,anon_sym_SEMI,terminal,ACTION,,1,large
c,0,43,anon_sym___extension__,terminal,ACTION,,1,large
c,0,44,anon_sym_typedef,terminal,ACTION,,1,large
c,0,45,anon_sym_extern,terminal,ACTION,,1,large
c,0,46,anon_sym___attribute__,terminal,ACTION,,1,large
c,0,47,anon_sym___attribute,terminal,ACTION,,1,large
c,0,49,anon_sym_LBRACK_LBRACK,terminal,ACTION,,1,large
c,0,51,anon_sym___declspec,terminal,ACTION,,1,large
c,0,52,anon_sym___based,terminal,ACTION,,1,large
c,0,53,anon_sym___cdecl,terminal,ACTION,,1,large
c,0,54,anon_sym___clrcall,terminal,ACTION,,1,large
c,0,55,anon_sym___stdcall,terminal,ACTION,,1,large
c,0,56,anon_sym___fastcall,terminal,ACTION,,1,large
c,0,57,anon_sym___thiscall,terminal,ACTION,,1,large
c,0,58,anon_sym___vectorcall,terminal,ACTION,,1,large
c,0,59,sym_ms_restrict_modifier,terminal,ACTION,,1,large
c,0,60,sym_ms_unsigned_ptr_modifier,terminal,ACTION,,1,large
c,0,61,sym_ms_signed_ptr_modifier,terminal,ACTION,,1,large
c,0,62,anon_sym__unaligned,terminal,ACTION,,1,large
c,0,63,anon_sym___unaligned,terminal,ACTION,,1,large
c,0,64,anon_sym_LBRACE,terminal,ACTION,,1,large
c,0,65,anon_sym_RBRACE,terminal,ACTION,,1,large
c,0,66,anon_sym_signed,terminal,ACTION,,1,large
c,0,67,anon_sym_unsigned,terminal,ACTION,,1,large
c,0,68,anon_sym_long,terminal,ACTION,,1,large
c,0,69,anon_sym_short,terminal,ACTION,,1,large
c,0,70,anon_sym_LBRACK,terminal,ACTION,,1,large
c,0,71,anon_sym_static,terminal,ACTION,,1,large
c,0,72,anon_sym_RBRACK,terminal,ACTION,,1,large
c,0,73,anon_sym_EQ,terminal,ACTION,,1,large
c,0,74,anon_sym_auto,terminal,ACTION,,1,large
c,0,75,anon_sym_register,terminal,ACTION,,1,large
c,0,76,anon_sym_inline,terminal,ACTION,,1,large
c,0,77,anon_sym___inline,terminal,ACTION,,1,large
c,0,78,anon_sym___inline__,terminal,ACTION,,1,large
c,0,79,anon_sym___forceinline,terminal,ACTION,,1,large
c,0,80,anon_sym_thread_local,terminal,ACTION,,1,large
c,0,81,anon_sym___thread,terminal,ACTION,,1,large
c,0,82,anon_sym_const,terminal,ACTION,,1,large
c,0,83,anon_sym_constexpr,terminal,ACTION,,1,large
c,0,84,anon_sym_volatile,terminal,ACTION,,1,large
c,0,85,anon_sym_restrict,terminal,ACTION,,1,large
c,0,86,anon_sym___restrict__,terminal,ACTION,,1,large
c,0,87,anon_sym__Atomic,terminal,ACTION,,1,large
c,0,88,anon_sym__Noreturn,terminal,ACTION,,1,large
c,0,89,anon_sym_noreturn,terminal,ACTION,,1,large
c,0,90,anon_sym__Nonnull,terminal,ACTION,,1,large
c,0,91,anon_sym_alignas,terminal,ACTION,,1,large
c,0,92,anon_sym__Alignas,terminal,ACTION,,1,large
c,0,93,sym_primitive_type,terminal,ACTION,,1,large
c,0,94,anon_sym_enum,terminal,ACTION,,1,large
c,0,95,anon_sym_COLON,terminal,ACTION,,1,large
c,0,96,anon_sym_struct,terminal,ACTION,,1,large
c,0,97,anon_sym_union,terminal,ACTION,,1,large
c,0,98,anon_sym_if,terminal,ACTION,,1,large
c,0,99,anon_sym_else,terminal,ACTION,,1,large
c,0,100,anon_sym_switch,terminal,ACTION,,1,large
c,0,101,anon_sym_case,terminal,ACTION,,1,large
c,0,102,anon_sym_default,terminal,ACTION,,1,large
c,0,103,anon_sym_while,terminal,ACTION,,1,large
c,0,104,anon_sym_do,terminal,ACTION,,1,large
c,0,105,anon_sym_for,terminal,ACTION,,1,large
c,0,106,anon_sym_return,terminal,ACTION,,1,large
c,0,107,anon_sym_break,terminal,ACTION,,1,large
c,0,108,anon_sym_continue,terminal,ACTION,,1,large
c,0,109,anon_sym_goto,terminal,ACTION,,1,large
c,0,110,anon_sym___try,terminal,ACTION,,1,large
c,0,111,anon_sym___except,terminal,ACTION,,1,large
c,0,112,anon_sym___finally,terminal,ACTION,,1,large
c,0,113,anon_sym___leave,terminal,ACTION,,1,large
c,0,114,anon_sym_QMARK,terminal,ACTION,,1,large
c,0,115,anon_sym_STAR_EQ,terminal,ACTION,,1,large
c,0,116,anon_sym_SLASH_EQ,terminal,ACTION,,1,large
c,0,117,anon_sym_PERCENT_EQ,terminal,ACTION,,1,large
c,0,118,anon_sym_PLUS_EQ,terminal,ACTION,,1,large
c,0,119,anon_sym_DASH_EQ,terminal,ACTION,,1,large
c,0,120,anon_sym_LT_LT_EQ,terminal,ACTION,,1,large
c,0,121,anon_sym_GT_GT_EQ,terminal,ACTION,,1,large
c,0,122,anon_sym_AMP_EQ,terminal,ACTION,,1,large
c,0,123,anon_sym_CARET_EQ,terminal,ACTION,,1,large
c,0,124,anon_sym_PIPE_EQ,terminal,ACTION,,1,large
c,0,125,anon_sym_DASH_DASH,terminal,ACTION,,1,large
c,0,126,anon_sym_PLUS_PLUS,terminal,ACTION,,1,large
c,0,127,anon_sym_sizeof,terminal,ACTION,,1,large
