language,production_id,child_index,alias_symbol_id,alias_symbol_name
c,1,0,362,alias_sym_type_identifier
c,7,1,362,alias_sym_type_identifier
c,10,0,362,alias_sym_type_identifier
c,15,1,362,alias_sym_type_identifier
c,21,0,93,sym_primitive_type
c,24,1,362,alias_sym_type_identifier
c,25,2,362,alias_sym_type_identifier
c,29,1,361,alias_sym_statement_identifier
c,31,0,361,alias_sym_statement_identifier
c,36,2,360,alias_sym_field_identifier
c,38,2,362,alias_sym_type_identifier
c,51,1,362,alias_sym_type_identifier
c,52,0,360,alias_sym_field_identifier
c,53,2,362,alias_sym_type_identifier
c,54,3,362,alias_sym_type_identifier
c,77,1,362,alias_sym_type_identifier
c,79,3,362,alias_sym_type_identifier
c,98,1,360,alias_sym_field_identifier
c,105,4,360,alias_sym_field_identifier
c,113,0,360,alias_sym_field_identifier
cpp,1,0,574,alias_sym_type_identifier
cpp,15,0,571,alias_sym_namespace_identifier
cpp,16,0,574,alias_sym_type_identifier
cpp,17,0,574,alias_sym_type_identifier
cpp,19,0,574,alias_sym_type_identifier
cpp,20,0,571,alias_sym_namespace_identifier
cpp,35,1,574,alias_sym_type_identifier
cpp,36,1,574,alias_sym_type_identifier
cpp,43,0,98,sym_primitive_type
cpp,44,0,288,sym_pointer_declarator
cpp,54,1,573,alias_sym_statement_identifier
cpp,57,0,573,alias_sym_statement_identifier
cpp,64,1,571,alias_sym_namespace_identifier
cpp,65,1,571,alias_sym_namespace_identifier
cpp,69,0,572,alias_sym_simple_requirement
cpp,75,2,570,alias_sym_field_identifier
cpp,80,2,574,alias_sym_type_identifier
cpp,98,2,571,alias_sym_namespace_identifier
cpp,101,1,570,alias_sym_field_identifier
cpp,104,1,574,alias_sym_type_identifier
cpp,106,0,570,alias_sym_field_identifier
cpp,114,1,574,alias_sym_type_identifier
cpp,125,0,570,alias_sym_field_identifier
cpp,126,1,570,alias_sym_field_identifier
cpp,140,1,574,alias_sym_type_identifier
cpp,146,3,571,alias_sym_namespace_identifier
cpp,148,0,570,alias_sym_field_identifier
cpp,168,2,574,alias_sym_type_identifier
cpp,172,1,571,alias_sym_namespace_identifier
cpp,172,3,571,alias_sym_namespace_identifier
cpp,173,1,571,alias_sym_namespace_identifier
cpp,188,1,574,alias_sym_type_identifier
cpp,201,4,570,alias_sym_field_identifier
cpp,205,1,574,alias_sym_type_identifier
csharp,1,0,251,sym_modifier
csharp,2,0,542,alias_sym_element_binding_expression
csharp,4,0,543,alias_sym_implicit_parameter
csharp,23,1,544,alias_sym_interpolation_quote
csharp,23,2,544,alias_sym_interpolation_quote
csharp,24,1,543,alias_sym_implicit_parameter
csharp,41,2,542,alias_sym_element_binding_expression
csharp,49,1,544,alias_sym_interpolation_quote
csharp,49,3,544,alias_sym_interpolation_quote
csharp,50,2,543,alias_sym_implicit_parameter
go,1,0,218,alias_sym_type_identifier
go,2,1,216,alias_sym_package_identifier
go,8,1,215,alias_sym_label_name
go,11,0,218,alias_sym_type_identifier
go,12,0,218,alias_sym_type_identifier
go,16,0,216,alias_sym_package_identifier
go,24,0,218,alias_sym_type_identifier
go,25,0,218,alias_sym_type_identifier
go,26,0,215,alias_sym_label_name
go,31,0,216,alias_sym_package_identifier
go,31,2,218,alias_sym_type_identifier
go,34,2,214,alias_sym_field_identifier
go,45,2,214,alias_sym_field_identifier
go,49,0,218,alias_sym_type_identifier
go,50,0,218,alias_sym_type_identifier
go,51,1,218,alias_sym_type_identifier
go,52,0,214,alias_sym_field_identifier
go,53,0,218,alias_sym_type_identifier
go,55,0,214,alias_sym_field_identifier
go,68,1,217,alias_sym_type_constraint
go,72,2,214,alias_sym_field_identifier
go,73,2,214,alias_sym_field_identifier
go,74,0,218,alias_sym_type_identifier
go,75,1,218,alias_sym_type_identifier
go,77,1,214,alias_sym_field_identifier
go,78,0,214,alias_sym_field_identifier
go,79,0,214,alias_sym_field_identifier
go,80,0,214,alias_sym_field_identifier
go,96,2,217,alias_sym_type_constraint
go,98,2,214,alias_sym_field_identifier
go,99,0,214,alias_sym_field_identifier
java,1,0,1,sym_identifier
java,2,0,320,alias_sym_type_identifier
java,15,1,320,alias_sym_type_identifier
java,18,1,320,alias_sym_type_identifier
java,19,1,320,alias_sym_type_identifier
java,30,0,320,alias_sym_type_identifier
java,30,2,320,alias_sym_type_identifier
java,42,2,320,alias_sym_type_identifier
java,49,1,320,alias_sym_type_identifier
java,50,1,320,alias_sym_type_identifier
java,52,2,320,alias_sym_type_identifier
java,55,2,320,alias_sym_type_identifier
java,56,2,320,alias_sym_type_identifier
java,66,0,320,alias_sym_type_identifier
java,66,3,320,alias_sym_type_identifier
java,77,3,320,alias_sym_type_identifier
java,80,3,320,alias_sym_type_identifier
java,83,2,320,alias_sym_type_identifier
java,84,2,320,alias_sym_type_identifier
java,86,3,320,alias_sym_type_identifier
java,116,4,320,alias_sym_type_identifier
julia,1,0,200,sym_identifier
julia,2,0,243,alias_sym_argument_list
julia,3,0,151,sym_import_path
julia,4,1,174,sym_field_expression
julia,5,0,214,sym_operator
julia,8,1,214,sym_operator
julia,9,2,243,alias_sym_argument_list
julia,12,3,243,alias_sym_argument_list
julia,16,3,214,sym_operator
kotlin,1,0,377,alias_sym_type_identifier
kotlin,2,1,377,alias_sym_type_identifier
kotlin,3,1,46,sym_label
kotlin,4,1,375,alias_sym_interpolated_identifier
kotlin,5,1,327,sym_identifier
kotlin,6,2,377,alias_sym_type_identifier
kotlin,8,1,374,alias_sym_interpolated_expression
kotlin,8,2,376,alias_sym_interpolation_expression_end
kotlin,10,3,377,alias_sym_type_identifier
kotlin,14,5,377,alias_sym_type_identifier
nim,4,0,375,alias_sym_proc_type
nim,5,0,373,alias_sym_iterator_type
nim,6,0,173,sym__infix_typeof_expression
