language,lexer_function,lex_state,token_symbol,token_symbol_id
r,ts_lex,27,ts_builtin_sym_end,0
r,ts_lex,28,anon_sym_BSLASH,2
r,ts_lex,29,anon_sym_EQ,4
r,ts_lex,30,anon_sym_QMARK,10
r,ts_lex,31,anon_sym_TILDE,11
r,ts_lex,32,anon_sym_BANG,12
r,ts_lex,33,anon_sym_PLUS,13
r,ts_lex,34,anon_sym_DASH,14
r,ts_lex,35,anon_sym_LT_DASH,15
r,ts_lex,36,anon_sym_LT_LT_DASH,16
r,ts_lex,37,anon_sym_COLON_EQ,17
r,ts_lex,38,anon_sym_DASH_GT,18
r,ts_lex,39,anon_sym_DASH_GT_GT,19
r,ts_lex,40,anon_sym_PIPE,20
r,ts_lex,41,anon_sym_AMP,21
r,ts_lex,42,anon_sym_PIPE_PIPE,22
r,ts_lex,43,anon_sym_AMP_AMP,23
r,ts_lex,44,anon_sym_LT,24
r,ts_lex,45,anon_sym_LT_EQ,25
r,ts_lex,46,anon_sym_GT,26
r,ts_lex,47,anon_sym_GT_EQ,27
r,ts_lex,48,anon_sym_EQ_EQ,28
r,ts_lex,49,anon_sym_BANG_EQ,29
r,ts_lex,50,anon_sym_STAR,30
r,ts_lex,51,anon_sym_SLASH,31
r,ts_lex,52,anon_sym_STAR_STAR,32
r,ts_lex,53,anon_sym_CARET,33
r,ts_lex,54,aux_sym_binary_operator_token1,34
r,ts_lex,55,anon_sym_PIPE_GT,35
r,ts_lex,56,anon_sym_COLON,36
r,ts_lex,57,anon_sym_COLON,36
r,ts_lex,58,anon_sym_DOLLAR,37
r,ts_lex,59,anon_sym_AT,38
r,ts_lex,60,anon_sym_COLON_COLON,39
r,ts_lex,61,anon_sym_COLON_COLON_COLON,40
r,ts_lex,62,sym__hex_literal,43
r,ts_lex,63,sym__hex_literal,43
r,ts_lex,64,sym__hex_literal,43
r,ts_lex,65,sym__number_literal,44
r,ts_lex,66,sym__number_literal,44
r,ts_lex,67,sym__number_literal,44
r,ts_lex,68,sym__number_literal,44
r,ts_lex,69,sym__number_literal,44
r,ts_lex,70,anon_sym_SQUOTE,45
r,ts_lex,71,anon_sym_DQUOTE,46
r,ts_lex,72,aux_sym__single_quoted_string_content_token1,47
r,ts_lex,73,aux_sym__single_quoted_string_content_token1,47
r,ts_lex,74,aux_sym__single_quoted_string_content_token1,47
r,ts_lex,75,aux_sym__double_quoted_string_content_token1,48
r,ts_lex,76,aux_sym__double_quoted_string_content_token1,48
r,ts_lex,77,aux_sym__double_quoted_string_content_token1,48
r,ts_lex,78,sym_escape_sequence,49
r,ts_lex,79,sym_escape_sequence,49
r,ts_lex,80,sym_escape_sequence,49
r,ts_lex,81,sym_escape_sequence,49
r,ts_lex,82,sym_escape_sequence,49
r,ts_lex,83,sym_escape_sequence,49
r,ts_lex,84,sym_escape_sequence,49
r,ts_lex,85,sym_escape_sequence,49
r,ts_lex,86,sym_escape_sequence,49
r,ts_lex,87,sym_escape_sequence,49
r,ts_lex,88,sym_dots,50
r,ts_lex,89,sym_dot_dot_i,51
r,ts_lex,90,sym_identifier,1
r,ts_lex,91,sym_identifier,1
r,ts_lex,92,sym_identifier,1
r,ts_lex,93,sym_identifier,1
r,ts_lex,94,sym_identifier,1
r,ts_lex,95,sym_identifier,1
r,ts_lex,96,sym_comment,64
r,ts_lex,97,sym_comma,65
r,ts_lex_keywords,3,anon_sym_L,41
r,ts_lex_keywords,8,anon_sym_i,42
r,ts_lex_keywords,14,anon_sym_NA,59
