component,attribute_annotation,class,constant,enum,function,generic,import,interface_trait,module,parameter,struct,variable,visibility
ast,29,2,7,8,3,158,57,0,56,13,1,95,1
binding,0,0,0,0,0,5,4,0,1,1,0,8,0
codegen,31,1,1,7,29,34,149,16,415,5,12,135,5
docs,539,49,339,93,147,566,1667,72,835,693,54,651,86
grammar,176,1,66,24,10,87,154,1,33,170,0,275,1
ir,0,0,0,1,0,0,12,1,3,0,0,12,0
lexer,0,0,108,1,1,32,43,2,2,2,0,54,1
optimizer,5,0,11,2,3,11,41,1,115,2,0,60,0
other,1713,176,829,411,784,4529,10117,458,5487,1377,900,10438,569
runtime,25,8,65,31,24,351,427,12,163,101,41,1179,37
tests,462,97,352,479,242,2370,5942,225,585,674,448,5800,351
types,4,4,3,14,5,172,85,8,11,14,8,185,0
