feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
abi_calling_convention,212,56,16,10,30,26,71,6,2,15,9,9,29,26,13,36,68,57,23,0,66,9,58,5,70,94,83,11,12,81,83,28,33,118,23,16,11,33,21,193,12,50,35,79,88,6,131,136,4,30,7,68,31,0,4,9,0,99,64,0,24,23,27,31,34,93,44,20,3,62,115,5,14,26,13,17,36,0,10,3,65,22,1,5,50,68,58,18,71,8,10,2,4,44,165,74,13,55
allocation,56,200,11,9,30,42,52,10,1,8,12,10,25,26,11,27,48,44,22,1,52,4,48,6,44,82,70,10,7,79,74,17,53,92,22,16,11,27,11,177,6,48,34,67,77,5,129,134,5,18,15,43,104,0,5,7,1,73,57,0,26,29,29,26,37,65,36,15,3,38,87,5,25,20,9,6,37,0,6,4,43,19,2,3,55,94,50,19,64,10,8,1,4,51,164,57,7,53
array_list,16,11,65,7,23,14,38,2,3,22,3,9,22,20,3,15,44,28,22,1,39,14,35,3,28,48,30,3,24,44,35,21,14,57,21,6,7,20,34,63,3,18,8,40,25,4,54,55,2,16,0,50,2,0,4,22,0,45,37,0,2,15,16,16,25,46,32,10,1,30,41,4,9,10,7,23,23,0,6,2,17,16,0,6,15,16,21,2,49,9,6,2,2,24,60,28,25,35
array_type,10,9,7,24,12,9,14,1,1,9,3,4,7,9,2,13,18,14,8,0,15,6,13,3,14,16,14,0,7,16,17,9,7,21,13,3,4,11,8,24,4,10,4,13,14,3,22,22,3,7,1,17,3,0,2,7,0,16,15,0,3,7,6,9,11,19,10,9,4,17,20,5,3,6,3,8,13,0,3,3,13,12,0,3,6,10,9,0,21,7,8,1,4,13,23,12,8,16
assignment,30,30,23,12,111,19,52,6,3,20,2,12,27,26,8,31,51,44,29,0,53,13,41,10,46,61,52,6,19,62,48,27,26,77,26,13,12,24,32,95,12,26,25,52,44,8,79,81,4,26,1,54,11,1,4,16,0,67,45,0,10,26,23,25,33,62,34,23,4,36,52,5,13,19,20,23,34,0,8,6,37,20,4,4,32,30,38,4,62,10,13,1,6,35,96,36,22,50
atomic,26,42,14,9,19,111,43,2,1,9,9,8,21,22,15,26,35,40,19,1,39,5,34,10,29,57,46,9,8,49,42,19,37,77,18,9,9,19,12,104,5,33,20,43,51,3,87,80,2,16,9,38,19,0,6,9,2,51,54,0,16,20,24,19,28,44,27,17,2,22,62,3,12,11,11,11,31,0,2,3,33,16,0,3,35,65,31,15,47,8,10,1,4,41,92,39,10,40
attribute_annotation,71,52,38,14,52,43,297,15,3,28,10,12,43,54,15,52,99,87,53,2,96,19,79,14,104,153,124,23,29,134,119,49,40,209,50,19,16,66,43,266,13,64,45,129,85,8,194,184,5,34,8,152,18,2,6,22,1,163,89,1,32,41,48,57,47,130,79,24,5,75,127,5,25,32,22,35,73,0,12,10,75,36,3,12,75,78,86,21,128,18,20,2,7,69,234,99,33,93
await,6,10,2,1,6,2,15,94,0,0,0,0,3,2,2,5,21,8,3,0,6,0,14,1,8,36,9,3,0,13,11,2,4,27,3,0,1,3,3,92,0,12,8,28,12,0,55,29,1,4,0,15,8,0,0,1,0,20,6,0,27,1,5,4,4,11,3,1,0,4,13,0,5,6,2,4,7,0,1,1,2,2,0,0,94,17,24,0,14,0,2,0,0,7,67,9,0,16
binary_op,2,1,3,1,3,1,3,0,6,2,0,1,2,2,0,1,4,2,3,0,2,0,1,0,4,3,4,0,2,4,3,1,1,5,2,0,2,1,4,4,3,2,1,4,3,0,6,5,0,1,0,3,0,0,2,3,0,3,3,0,0,3,2,0,2,4,3,2,0,3,4,2,1,0,1,2,1,0,0,1,2,2,1,0,1,2,1,0,4,1,0,3,1,2,5,2,3,3
break,15,8,22,9,20,9,28,0,2,32,2,8,15,16,0,11,28,18,14,0,25,20,25,1,17,28,20,1,25,31,25,12,9,32,14,6,7,13,31,32,5,10,6,23,14,3,28,32,3,13,1,29,1,0,2,17,0,26,22,0,1,11,10,7,15,25,21,7,4,23,27,4,5,9,3,29,18,0,6,4,12,12,1,4,11,12,13,0,30,10,4,2,3,18,30,17,28,18
