language,repository,from_rule,to_symbol,path
r,r-lib/tree-sitter-r,program,_start,$.members[0]
r,r-lib/tree-sitter-r,program,_expression,$.members[1].content.members[0]
r,r-lib/tree-sitter-r,program,_semicolon,$.members[1].content.members[1]
r,r-lib/tree-sitter-r,program,_newline,$.members[1].content.members[2]
r,r-lib/tree-sitter-r,function_definition,_newline,$.content.members[1].content
r,r-lib/tree-sitter-r,function_definition,parameters,$.content.members[2].content
r,r-lib/tree-sitter-r,function_definition,_newline,$.content.members[3].content
r,r-lib/tree-sitter-r,function_definition,_expression,$.content.members[4].content
r,r-lib/tree-sitter-r,parameters,_open_parenthesis,$.members[0].content
r,r-lib/tree-sitter-r,parameters,parameter,$.members[1].members[0].members[0].content
r,r-lib/tree-sitter-r,parameters,comma,$.members[1].members[0].members[1].content.members[0]
r,r-lib/tree-sitter-r,parameters,parameter,$.members[1].members[0].members[1].content.members[1].content
r,r-lib/tree-sitter-r,parameters,_close_parenthesis,$.members[2].content
r,r-lib/tree-sitter-r,parameter,_parameter_with_default,$.members[0]
r,r-lib/tree-sitter-r,parameter,_parameter_without_default,$.members[1]
r,r-lib/tree-sitter-r,_parameter_with_default,_parameter_name,$.members[0]
r,r-lib/tree-sitter-r,_parameter_with_default,_expression,$.members[2].content
r,r-lib/tree-sitter-r,_parameter_without_default,_parameter_name,$
r,r-lib/tree-sitter-r,_parameter_name,_identifier,$.content
r,r-lib/tree-sitter-r,if_statement,_newline,$.content.members[1].content
r,r-lib/tree-sitter-r,if_statement,_open_parenthesis,$.content.members[2].content
r,r-lib/tree-sitter-r,if_statement,_expression,$.content.members[3].content
r,r-lib/tree-sitter-r,if_statement,_close_parenthesis,$.content.members[4].content
r,r-lib/tree-sitter-r,if_statement,_newline,$.content.members[5].content
r,r-lib/tree-sitter-r,if_statement,_expression,$.content.members[6].content
r,r-lib/tree-sitter-r,if_statement,_else,$.content.members[7].members[0].members[0]
r,r-lib/tree-sitter-r,if_statement,_newline,$.content.members[7].members[0].members[1].content
r,r-lib/tree-sitter-r,if_statement,_expression,$.content.members[7].members[0].members[2].content
r,r-lib/tree-sitter-r,for_statement,_newline,$.content.members[1].content
r,r-lib/tree-sitter-r,for_statement,_open_parenthesis,$.content.members[2].content
r,r-lib/tree-sitter-r,for_statement,_identifier,$.content.members[3].content
r,r-lib/tree-sitter-r,for_statement,_expression,$.content.members[5].content
r,r-lib/tree-sitter-r,for_statement,_close_parenthesis,$.content.members[6].content
r,r-lib/tree-sitter-r,for_statement,_newline,$.content.members[7].content
r,r-lib/tree-sitter-r,for_statement,_expression,$.content.members[8].content
