language,repository,category,path,value_kind,value_json
r,r-lib/tree-sitter-r,word,word,str,"""identifier"""
r,r-lib/tree-sitter-r,externals,externals[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[0].name,str,"""_start"""
r,r-lib/tree-sitter-r,externals,externals[1].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[1].name,str,"""_newline"""
r,r-lib/tree-sitter-r,externals,externals[2].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[2].name,str,"""_semicolon"""
r,r-lib/tree-sitter-r,externals,externals[3].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[3].name,str,"""_raw_string_open"""
r,r-lib/tree-sitter-r,externals,externals[4].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[4].name,str,"""_raw_string_content"""
r,r-lib/tree-sitter-r,externals,externals[5].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[5].name,str,"""_raw_string_close"""
r,r-lib/tree-sitter-r,externals,externals[6].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[6].name,str,"""_external_else"""
r,r-lib/tree-sitter-r,externals,externals[7].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[7].name,str,"""_external_open_parenthesis"""
r,r-lib/tree-sitter-r,externals,externals[8].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[8].name,str,"""_external_close_parenthesis"""
r,r-lib/tree-sitter-r,externals,externals[9].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[9].name,str,"""_external_open_brace"""
r,r-lib/tree-sitter-r,externals,externals[10].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[10].name,str,"""_external_close_brace"""
r,r-lib/tree-sitter-r,externals,externals[11].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[11].name,str,"""_external_open_bracket"""
r,r-lib/tree-sitter-r,externals,externals[12].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[12].name,str,"""_external_close_bracket"""
r,r-lib/tree-sitter-r,externals,externals[13].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[13].name,str,"""_external_open_bracket2"""
r,r-lib/tree-sitter-r,externals,externals[14].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[14].name,str,"""_external_close_bracket2"""
r,r-lib/tree-sitter-r,externals,externals[15].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,externals,externals[15].name,str,"""_error_sentinel"""
r,r-lib/tree-sitter-r,extras,extras[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,extras,extras[0].name,str,"""comment"""
r,r-lib/tree-sitter-r,extras,extras[1].type,str,"""PATTERN"""
r,r-lib/tree-sitter-r,extras,extras[1].value,str,"""\\s"""
r,r-lib/tree-sitter-r,inline,inline[0],str,"""_identifier"""
r,r-lib/tree-sitter-r,inline,inline[1],str,"""_string_or_identifier"""
r,r-lib/tree-sitter-r,conflicts,conflicts,array,[]
r,r-lib/tree-sitter-r,supertypes,supertypes,array,[]
r,r-lib/tree-sitter-r,precedences,precedences,array,[]
go,tree-sitter/tree-sitter-go,word,word,str,"""identifier"""
go,tree-sitter/tree-sitter-go,externals,externals,array,[]
go,tree-sitter/tree-sitter-go,extras,extras[0].type,str,"""SYMBOL"""
go,tree-sitter/tree-sitter-go,extras,extras[0].name,str,"""comment"""
go,tree-sitter/tree-sitter-go,extras,extras[1].type,str,"""PATTERN"""
go,tree-sitter/tree-sitter-go,extras,extras[1].value,str,"""\\s"""
go,tree-sitter/tree-sitter-go,inline,inline[0],str,"""_type"""
go,tree-sitter/tree-sitter-go,inline,inline[1],str,"""_type_identifier"""
go,tree-sitter/tree-sitter-go,inline,inline[2],str,"""_field_identifier"""
go,tree-sitter/tree-sitter-go,inline,inline[3],str,"""_package_identifier"""
go,tree-sitter/tree-sitter-go,inline,inline[4],str,"""_top_level_declaration"""
go,tree-sitter/tree-sitter-go,inline,inline[5],str,"""_string_literal"""
go,tree-sitter/tree-sitter-go,inline,inline[6],str,"""_interface_elem"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[0][0],str,"""_simple_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[0][1],str,"""_expression"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[1][0],str,"""_simple_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[1][1],str,"""generic_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[1][2],str,"""_expression"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[2][0],str,"""qualified_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[2][1],str,"""_expression"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[3][0],str,"""generic_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[3][1],str,"""_simple_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[4][0],str,"""parameter_declaration"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[4][1],str,"""_simple_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[5][0],str,"""type_parameter_declaration"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[5][1],str,"""_simple_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[5][2],str,"""_expression"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[6][0],str,"""type_parameter_declaration"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[6][1],str,"""_expression"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[7][0],str,"""type_parameter_declaration"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[7][1],str,"""_simple_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[7][2],str,"""generic_type"""
go,tree-sitter/tree-sitter-go,conflicts,conflicts[7][3],str,"""_expression"""
go,tree-sitter/tree-sitter-go,supertypes,supertypes[0],str,"""_expression"""
go,tree-sitter/tree-sitter-go,supertypes,supertypes[1],str,"""_type"""
go,tree-sitter/tree-sitter-go,supertypes,supertypes[2],str,"""_simple_type"""
go,tree-sitter/tree-sitter-go,supertypes,supertypes[3],str,"""_statement"""
go,tree-sitter/tree-sitter-go,supertypes,supertypes[4],str,"""_simple_statement"""
go,tree-sitter/tree-sitter-go,precedences,precedences,array,[]
go,tree-sitter/tree-sitter-go,reserved,reserved.global[0].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[0].value,str,"""break"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[1].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[1].value,str,"""default"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[2].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[2].value,str,"""func"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[3].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[3].value,str,"""interface"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[4].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[4].value,str,"""select"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[5].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[5].value,str,"""case"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[6].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[6].value,str,"""defer"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[7].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[7].value,str,"""go"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[8].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[8].value,str,"""map"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[9].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[9].value,str,"""struct"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[10].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[10].value,str,"""chan"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[11].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[11].value,str,"""else"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[12].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[12].value,str,"""goto"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[13].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[13].value,str,"""package"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[14].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[14].value,str,"""switch"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[15].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[15].value,str,"""const"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[16].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[16].value,str,"""fallthrough"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[17].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[17].value,str,"""if"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[18].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[18].value,str,"""range"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[19].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[19].value,str,"""type"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[20].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[20].value,str,"""continue"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[21].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[21].value,str,"""for"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[22].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[22].value,str,"""import"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[23].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[23].value,str,"""return"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[24].type,str,"""STRING"""
go,tree-sitter/tree-sitter-go,reserved,reserved.global[24].value,str,"""var"""
rust,tree-sitter/tree-sitter-rust,word,word,str,"""identifier"""
rust,tree-sitter/tree-sitter-rust,externals,externals[0].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[0].name,str,"""string_content"""
rust,tree-sitter/tree-sitter-rust,externals,externals[1].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[1].name,str,"""string_close"""
rust,tree-sitter/tree-sitter-rust,externals,externals[2].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[2].name,str,"""_raw_string_literal_start"""
rust,tree-sitter/tree-sitter-rust,externals,externals[3].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[3].name,str,"""raw_string_literal_content"""
rust,tree-sitter/tree-sitter-rust,externals,externals[4].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[4].name,str,"""_raw_string_literal_end"""
rust,tree-sitter/tree-sitter-rust,externals,externals[5].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[5].name,str,"""float_literal"""
rust,tree-sitter/tree-sitter-rust,externals,externals[6].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[6].name,str,"""_outer_block_doc_comment_marker"""
rust,tree-sitter/tree-sitter-rust,externals,externals[7].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[7].name,str,"""_inner_block_doc_comment_marker"""
rust,tree-sitter/tree-sitter-rust,externals,externals[8].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[8].name,str,"""_block_comment_content"""
rust,tree-sitter/tree-sitter-rust,externals,externals[9].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[9].name,str,"""_line_doc_content"""
rust,tree-sitter/tree-sitter-rust,externals,externals[10].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,externals,externals[10].name,str,"""_error_sentinel"""
rust,tree-sitter/tree-sitter-rust,extras,extras[0].type,str,"""PATTERN"""
rust,tree-sitter/tree-sitter-rust,extras,extras[0].value,str,"""\\s"""
rust,tree-sitter/tree-sitter-rust,extras,extras[1].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,extras,extras[1].name,str,"""line_comment"""
rust,tree-sitter/tree-sitter-rust,extras,extras[2].type,str,"""SYMBOL"""
rust,tree-sitter/tree-sitter-rust,extras,extras[2].name,str,"""block_comment"""
rust,tree-sitter/tree-sitter-rust,inline,inline[0],str,"""_path"""
rust,tree-sitter/tree-sitter-rust,inline,inline[1],str,"""_type_identifier"""
rust,tree-sitter/tree-sitter-rust,inline,inline[2],str,"""_tokens"""
rust,tree-sitter/tree-sitter-rust,inline,inline[3],str,"""_field_identifier"""
rust,tree-sitter/tree-sitter-rust,inline,inline[4],str,"""_non_special_token"""
rust,tree-sitter/tree-sitter-rust,inline,inline[5],str,"""_declaration_statement"""
rust,tree-sitter/tree-sitter-rust,inline,inline[6],str,"""_reserved_identifier"""
rust,tree-sitter/tree-sitter-rust,inline,inline[7],str,"""_expression_ending_with_block"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[0][0],str,"""_type"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[0][1],str,"""_pattern"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[1][0],str,"""unit_type"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[1][1],str,"""tuple_pattern"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[2][0],str,"""scoped_identifier"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[2][1],str,"""scoped_type_identifier"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[3][0],str,"""parameters"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[3][1],str,"""_pattern"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[4][0],str,"""parameters"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[4][1],str,"""tuple_struct_pattern"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[5][0],str,"""array_expression"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[6][0],str,"""visibility_modifier"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[7][0],str,"""visibility_modifier"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[7][1],str,"""scoped_identifier"""
