language,repository,rule,path,value_kind,value_json
r,r-lib/tree-sitter-r,,$schema,str,"""https://tree-sitter.github.io/tree-sitter/assets/schemas/grammar.schema.json"""
r,r-lib/tree-sitter-r,,name,str,"""r"""
r,r-lib/tree-sitter-r,,word,str,"""identifier"""
r,r-lib/tree-sitter-r,program,rules.program.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,program,rules.program.members[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,program,rules.program.members[0].name,str,"""_start"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].content.type,str,"""CHOICE"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].content.members[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].content.members[0].name,str,"""_expression"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].content.members[1].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].content.members[1].name,str,"""_semicolon"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].content.members[2].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,program,rules.program.members[1].content.members[2].name,str,"""_newline"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.type,str,"""PREC_LEFT"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.value,int,2
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[0].name,str,"""name"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[0].content.type,str,"""CHOICE"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[0].content.members[0].type,str,"""STRING"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[0].content.members[0].value,str,"""\\"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[0].content.members[1].type,str,"""STRING"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[0].content.members[1].value,str,"""function"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[1].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[2].name,str,"""parameters"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[2].content.name,str,"""parameters"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[3].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[3].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[3].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[4].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[4].name,str,"""body"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[4].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,function_definition,rules.function_definition.content.members[4].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[0].name,str,"""open"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[0].content.name,str,"""_open_parenthesis"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].type,str,"""CHOICE"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].type,str,"""SEQ"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[0].name,str,"""parameter"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[0].content.name,str,"""parameter"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].content.members[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].content.members[0].name,str,"""comma"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].content.members[1].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].content.members[1].name,str,"""parameter"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].content.members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[0].members[1].content.members[1].content.name,str,"""parameter"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[1].members[1].type,str,"""BLANK"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[2].name,str,"""close"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parameters,rules.parameters.members[2].content.name,str,"""_close_parenthesis"""
r,r-lib/tree-sitter-r,parameter,rules.parameter.type,str,"""CHOICE"""
r,r-lib/tree-sitter-r,parameter,rules.parameter.members[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parameter,rules.parameter.members[0].name,str,"""_parameter_with_default"""
r,r-lib/tree-sitter-r,parameter,rules.parameter.members[1].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parameter,rules.parameter.members[1].name,str,"""_parameter_without_default"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[0].name,str,"""_parameter_name"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[1].type,str,"""STRING"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[1].value,str,"""="""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[2].name,str,"""default"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,_parameter_with_default,rules._parameter_with_default.members[2].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,_parameter_without_default,rules._parameter_without_default.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,_parameter_without_default,rules._parameter_without_default.name,str,"""_parameter_name"""
r,r-lib/tree-sitter-r,_parameter_name,rules._parameter_name.type,str,"""FIELD"""
r,r-lib/tree-sitter-r,_parameter_name,rules._parameter_name.name,str,"""name"""
r,r-lib/tree-sitter-r,_parameter_name,rules._parameter_name.content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,_parameter_name,rules._parameter_name.content.name,str,"""_identifier"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.type,str,"""PREC_RIGHT"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.value,int,3
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[0].type,str,"""STRING"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[0].value,str,"""if"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[1].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[2].name,str,"""open"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[2].content.name,str,"""_open_parenthesis"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[3].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[3].name,str,"""condition"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[3].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[3].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[4].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[4].name,str,"""close"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[4].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[4].content.name,str,"""_close_parenthesis"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[5].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[5].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[5].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[6].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[6].name,str,"""consequence"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[6].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[6].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].type,str,"""CHOICE"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].type,str,"""SEQ"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[0].name,str,"""_else"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[1].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[2].name,str,"""alternative"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[0].members[2].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,if_statement,rules.if_statement.content.members[7].members[1].type,str,"""BLANK"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.type,str,"""PREC_LEFT"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.value,int,2
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[0].type,str,"""STRING"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[0].value,str,"""for"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[1].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[2].name,str,"""open"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[2].content.name,str,"""_open_parenthesis"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[3].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[3].name,str,"""variable"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[3].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[3].content.name,str,"""_identifier"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[4].type,str,"""STRING"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[4].value,str,"""in"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[5].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[5].name,str,"""sequence"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[5].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[5].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[6].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[6].name,str,"""close"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[6].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[6].content.name,str,"""_close_parenthesis"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[7].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[7].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[7].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[8].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[8].name,str,"""body"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[8].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,for_statement,rules.for_statement.content.members[8].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.type,str,"""PREC_LEFT"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.value,int,2
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[0].type,str,"""STRING"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[0].value,str,"""while"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[1].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[2].name,str,"""open"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[2].content.name,str,"""_open_parenthesis"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[3].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[3].name,str,"""condition"""
