language,repository,rule,field,path,payload_json
r,r-lib/tree-sitter-r,function_definition,name,$.content.members[0],"{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""STRING"",""value"":""\\""},{""type"":""STRING"",""value"":""function""}]}}"
r,r-lib/tree-sitter-r,function_definition,parameters,$.content.members[2],"{""type"":""FIELD"",""name"":""parameters"",""content"":{""type"":""SYMBOL"",""name"":""parameters""}}"
r,r-lib/tree-sitter-r,function_definition,body,$.content.members[4],"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,parameters,open,$.members[0],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,parameters,parameter,$.members[1].members[0].members[0],"{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}"
r,r-lib/tree-sitter-r,parameters,parameter,$.members[1].members[0].members[1].content.members[1],"{""type"":""FIELD"",""name"":""parameter"",""content"":{""type"":""SYMBOL"",""name"":""parameter""}}"
r,r-lib/tree-sitter-r,parameters,close,$.members[2],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,_parameter_with_default,default,$.members[2],"{""type"":""FIELD"",""name"":""default"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,_parameter_name,name,$,"{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}}"
r,r-lib/tree-sitter-r,if_statement,open,$.content.members[2],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,if_statement,condition,$.content.members[3],"{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,if_statement,close,$.content.members[4],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,if_statement,consequence,$.content.members[6],"{""type"":""FIELD"",""name"":""consequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,if_statement,alternative,$.content.members[7].members[0].members[2],"{""type"":""FIELD"",""name"":""alternative"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,for_statement,open,$.content.members[2],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,for_statement,variable,$.content.members[3],"{""type"":""FIELD"",""name"":""variable"",""content"":{""type"":""SYMBOL"",""name"":""_identifier""}}"
r,r-lib/tree-sitter-r,for_statement,sequence,$.content.members[5],"{""type"":""FIELD"",""name"":""sequence"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,for_statement,close,$.content.members[6],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,for_statement,body,$.content.members[8],"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,while_statement,open,$.content.members[2],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,while_statement,condition,$.content.members[3],"{""type"":""FIELD"",""name"":""condition"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,while_statement,close,$.content.members[4],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,while_statement,body,$.content.members[6],"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,repeat_statement,body,$.content.members[2],"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,braced_expression,open,$.content.members[0],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_brace""}}"
r,r-lib/tree-sitter-r,braced_expression,body,$.content.members[1].content,"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_expression""},{""type"":""SYMBOL"",""name"":""_semicolon""},{""type"":""SYMBOL"",""name"":""_newline""}]}}"
r,r-lib/tree-sitter-r,braced_expression,close,$.content.members[2],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_brace""}}"
r,r-lib/tree-sitter-r,parenthesized_expression,open,$.content.members[0],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,parenthesized_expression,body,$.content.members[1],"{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,parenthesized_expression,close,$.content.members[2],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,call,function,$.content.members[0],"{""type"":""FIELD"",""name"":""function"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,call,arguments,$.content.members[1],"{""type"":""FIELD"",""name"":""arguments"",""content"":{""type"":""ALIAS"",""content"":{""type"":""SYMBOL"",""name"":""call_arguments""},""named"":true,""value"":""arguments""}}"
r,r-lib/tree-sitter-r,subset,function,$.content.members[0],"{""type"":""FIELD"",""name"":""function"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,subset,arguments,$.content.members[1],"{""type"":""FIELD"",""name"":""arguments"",""content"":{""type"":""ALIAS"",""content"":{""type"":""SYMBOL"",""name"":""subset_arguments""},""named"":true,""value"":""arguments""}}"
r,r-lib/tree-sitter-r,subset2,function,$.content.members[0],"{""type"":""FIELD"",""name"":""function"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,subset2,arguments,$.content.members[1],"{""type"":""FIELD"",""name"":""arguments"",""content"":{""type"":""ALIAS"",""content"":{""type"":""SYMBOL"",""name"":""subset2_arguments""},""named"":true,""value"":""arguments""}}"
r,r-lib/tree-sitter-r,call_arguments,open,$.members[0],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}}"
r,r-lib/tree-sitter-r,call_arguments,argument,$.members[1].members[0].members[0],"{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}}"
r,r-lib/tree-sitter-r,call_arguments,argument,$.members[1].members[1].content.members[1].members[0],"{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}}"
r,r-lib/tree-sitter-r,call_arguments,close,$.members[2],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}"
r,r-lib/tree-sitter-r,subset_arguments,open,$.members[0],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_bracket""}}"
r,r-lib/tree-sitter-r,subset_arguments,argument,$.members[1].members[0].members[0],"{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}}"
r,r-lib/tree-sitter-r,subset_arguments,argument,$.members[1].members[1].content.members[1].members[0],"{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}}"
r,r-lib/tree-sitter-r,subset_arguments,close,$.members[2],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_bracket""}}"
r,r-lib/tree-sitter-r,subset2_arguments,open,$.members[0],"{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_bracket2""}}"
r,r-lib/tree-sitter-r,subset2_arguments,argument,$.members[1].members[0].members[0],"{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}}"
r,r-lib/tree-sitter-r,subset2_arguments,argument,$.members[1].members[1].content.members[1].members[0],"{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}}"
r,r-lib/tree-sitter-r,subset2_arguments,close,$.members[2],"{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_bracket2""}}"
r,r-lib/tree-sitter-r,_argument_named,name,$.members[0],"{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""SYMBOL"",""name"":""_argument_name_string_or_identifier_or_null""}}"
r,r-lib/tree-sitter-r,_argument_value,value,$,"{""type"":""FIELD"",""name"":""value"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,unary_operator,operator,$.members[0].content.members[0],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""?""}}"
r,r-lib/tree-sitter-r,unary_operator,rhs,$.members[0].content.members[2],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,unary_operator,operator,$.members[1].content.members[0],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""~""}}"
r,r-lib/tree-sitter-r,unary_operator,rhs,$.members[1].content.members[2],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,unary_operator,operator,$.members[2].content.members[0],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""!""}}"
r,r-lib/tree-sitter-r,unary_operator,rhs,$.members[2].content.members[2],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,unary_operator,operator,$.members[3].content.members[0],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""+""}}"
r,r-lib/tree-sitter-r,unary_operator,rhs,$.members[3].content.members[2],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,unary_operator,operator,$.members[4].content.members[0],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""-""}}"
r,r-lib/tree-sitter-r,unary_operator,rhs,$.members[4].content.members[2],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[0].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[0].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""?""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[0].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[1].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[1].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""~""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[1].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[2].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[2].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""<-""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[2].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[3].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
