language_id,canonical_semantic_id,canonical_semantic_name,status,source_repository,source_path,source_symbol_or_node,source_evidence,evidence_kind,corpus_observed,previous_matrix_evidence,notes
julia,UASF_0022,ffi,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,foreigncall,lowered foreigncall represents ccall information,official compiler documentation,true,false,complete contract documented
julia,UASF_0051,scope,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,hygienic-scope;slot,scope and hygiene forms are documented,official compiler documentation,true,false,complete scope contract documented
julia,UASF_0119,macro,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,macrocall;hygienic-scope,macro call and hygiene forms are documented,official compiler documentation,true,false,complete macro syntax contract documented
julia,UASF_0151,task_async,COMPILER_PROVEN,JuliaLang/julia,base/task.jl;base/channels.jl,Task;Channel;@async,Task and Channel runtime/compiler definitions are present,official compiler source,true,false,complete task async contract
julia,UASF_0182,for_if_while,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,if;while;for,official AST forms document all three control constructs,official compiler documentation,true,false,complete contract documented
julia,UASF_0183,defer_exception_try_throw,INSUFFICIENT_EVIDENCE,JuliaLang/julia,doc/src/devdocs/ast.md,try;catch;finally,try/catch/finally is present but no defer construct is defined,official compiler documentation,true,false,missing defer_cleanup component
julia,UASF_0217,closure_lambda,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,->;lambda,anonymous function and lambda forms are documented,official compiler documentation,true,false,complete closure contract documented
julia,UASF_0218,comprehension,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,comprehension;generator,comprehension and generator forms are documented,official compiler documentation,true,false,complete contract documented
julia,UASF_0302,constant,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,const,constant lowering form is documented,official compiler documentation,true,false,complete contract documented
julia,UASF_0304,import_module_parameter,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,import;using;module;parameters,imports modules and parameters are documented,official compiler documentation,true,false,complete contract documented
julia,UASF_0305,generic,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,where;curly,generic parameter syntax is documented,official compiler documentation,true,false,complete contract documented
julia,UASF_0306,function,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,function,function definition form is documented,official compiler documentation,true,false,complete contract documented
julia,UASF_0308,struct,OFFICIAL_DOC_PROVEN,JuliaLang/julia,doc/src/devdocs/ast.md,struct;mutable struct,struct forms are documented,official compiler documentation,true,false,complete contract documented
nim,UASF_0026,ownership,COMPILER_PROVEN,nim-lang/Nim,compiler/astdef.nim;lib/system.nim,sfBorrow;tyOwned;tySink;owned,ownership flags and owned/sink types are defined,official compiler source,true,false,complete ownership contract
nim,UASF_0118,compile_time_eval,COMPILER_PROVEN,nim-lang/Nim,compiler/astdef.nim;compiler/options.nim,sfCompileTime;mCompileTime,compile-time flags and magic are defined,official compiler source,true,false,complete compile-time contract
nim,UASF_0119,macro,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim;compiler/astdef.nim,nkMacroDef;skMacro,macro node and symbol kinds are defined,official compiler source,true,false,complete macro contract
nim,UASF_0151,task_async,INSUFFICIENT_EVIDENCE,nim-lang/Nim,compiler/astdef.nim,sfThread;chronos async note,thread support is present but async task lowering is not proven by supplied anchors,official compiler source,true,false,missing task_async contract
nim,UASF_0183,defer_exception_try_throw,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkDefer;nkTryStmt;nkRaiseStmt,all three node kinds are defined,official compiler source,true,false,complete contract
nim,UASF_0207,pointer_reference,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkPtrTy;nkRefTy,pointer and reference type nodes are defined,official compiler source,true,false,complete contract
nim,UASF_0217,closure_lambda,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkLambda;nkClosure,lambda and closure nodes are defined,official compiler source,true,false,complete contract
nim,UASF_0223,yield,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkYieldStmt,yield statement node is defined,official compiler source,true,false,complete contract
nim,UASF_0304,import_module_parameter,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkImportStmt;nkModuleRef;nkFormalParams,imports modules and parameters are defined,official compiler source,true,false,complete contract
nim,UASF_0305,generic,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkGenericParams,generic parameter node is defined,official compiler source,true,false,complete contract
nim,UASF_0306,function,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkProcDef;nkFuncDef;nkMethodDef,function declaration nodes are defined,official compiler source,true,false,complete contract
nim,UASF_0308,struct,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkObjectTy;nkTypeDef,object/struct type nodes are defined,official compiler source,true,false,complete contract
nim,UASF_0309,enum,COMPILER_PROVEN,nim-lang/Nim,compiler/nodekinds.nim,nkEnumTy,enum type node is defined,official compiler source,true,false,complete contract
swift,UASF_0048,capture,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/ExprNodes.def,CaptureList;AbstractClosure,capture and closure AST nodes are defined,official compiler source,true,false,complete contract
swift,UASF_0151,task_async,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/ExprNodes.def;docs/ABI/Mangling.rst,Await;async function signature,async/await is represented in AST and ABI,official compiler source,true,false,complete contract
swift,UASF_0182,for_if_while,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/StmtNodes.def,If;While;ForEach,control statement nodes are defined,official compiler source,true,false,complete contract
swift,UASF_0183,defer_exception_try_throw,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/StmtNodes.def,Defer;DoCatch;Throw,all three control/error nodes are defined,official compiler source,true,false,complete contract
swift,UASF_0208,core_type_family,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/ExprNodes.def;docs/TypeChecker.md,BooleanLiteral;IntegerLiteral;FloatLiteral;StringLiteral;Tuple;Optional,type checker and AST define the complete listed type family,official compiler source,true,false,complete contract
swift,UASF_0217,closure_lambda,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/ExprNodes.def,Closure;AutoClosure,closure expression nodes are defined,official compiler source,true,false,complete contract
swift,UASF_0219,identifier_member_pattern,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/ExprNodes.def;include/swift/AST/PatternNodes.def,DeclRef;MemberRef;Pattern,identifier/member/pattern nodes are defined,official compiler source,true,false,complete contract
swift,UASF_0222,await,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/ExprNodes.def,Await,await expression node is defined,official compiler source,true,false,complete contract
swift,UASF_0301,attribute_annotation,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,DeclAttribute,attribute declarations are defined,official compiler source,true,false,complete contract
swift,UASF_0304,import_module_parameter,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,Import;Module;Param,imports modules and parameters are defined,official compiler source,true,false,complete contract
swift,UASF_0305,generic,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,GenericType;GenericTypeParam,generic declarations are defined,official compiler source,true,false,complete contract
swift,UASF_0306,function,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,Func, function declaration node is defined,official compiler source,true,false,complete contract
swift,UASF_0307,interface_trait,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,Protocol,protocol declaration is defined,official compiler source,true,false,complete contract
swift,UASF_0308,struct,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,Struct,struct declaration is defined,official compiler source,true,false,complete contract
swift,UASF_0309,enum,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,Enum,enum declaration is defined,official compiler source,true,false,complete contract
swift,UASF_0311,class,COMPILER_PROVEN,swiftlang/swift,include/swift/AST/DeclNodes.def,Class,class declaration is defined,official compiler source,true,false,complete contract
zig,UASF_0022,ffi,COMPILER_PROVEN,ziglang/zig,doc/langref.html.in;src/Sema.zig,@cImport;CImport,@cImport and C import semantic handling are documented,official compiler source,true,false,complete contract
zig,UASF_0024,gc_manual_memory_unsafe,INSUFFICIENT_EVIDENCE,ziglang/zig,lib/std/builtin.zig;doc/langref.html.in,Pointer;comptime,manual/unsafe memory is present but GC component is absent,official compiler source,true,false,missing gc component
zig,UASF_0118,compile_time_eval,COMPILER_PROVEN,ziglang/zig,src/Sema.zig;doc/langref.html.in,comptime,comptime evaluation is handled by Sema and documented,official compiler source,true,false,complete contract
zig,UASF_0153,lock_mutex_thread,COMPILER_PROVEN,ziglang/zig,lib/std/Thread;doc/langref.html.in,Mutex;Thread,official standard library and language source define both components,official compiler source,true,false,complete contract
zig,UASF_0154,atomic,COMPILER_PROVEN,ziglang/zig,lib/std/builtin.zig,AtomicOrder;AtomicRmwOp,atomic order and operations are defined,official compiler source,true,false,complete contract
zig,UASF_0178,switch_match,COMPILER_PROVEN,ziglang/zig,lib/std/zig/Ast.zig;doc/langref.html.in,Switch;switch,parser and language reference define switch semantics,official compiler source,true,false,complete contract
zig,UASF_0183,defer_exception_try_throw,INSUFFICIENT_EVIDENCE,ziglang/zig,doc/langref.html.in,defer;catch;error, defer and error handling exist but exception/throw contract is not equivalent,official language reference,true,false,missing exception_try/throw_raise equivalence
zig,UASF_0206,union_sum,COMPILER_PROVEN,ziglang/zig,lib/std/builtin.zig;doc/langref.html.in,Union;union,union type and tagged union semantics are defined,official compiler source,true,false,complete contract
zig,UASF_0208,core_type_family,INSUFFICIENT_EVIDENCE,ziglang/zig,lib/std/builtin.zig;doc/langref.html.in,Array;Optional;Int;Float,listed primitive/array/optional types exist but subtyping/string/tuple contract is incomplete,official compiler source,true,false,missing complete aggregate contract
zig,UASF_0219,identifier_member_pattern,COMPILER_PROVEN,ziglang/zig,lib/std/zig/Ast.zig;src/Sema.zig,identifier;field_access;switch capture,AST and Sema expose identifier/member/pattern handling,official compiler source,true,false,complete contract
zig,UASF_0305,generic,COMPILER_PROVEN,ziglang/zig,src/Sema.zig;doc/langref.html.in,comptime generic parameters,comptime-based generic instantiation is defined,official compiler source,true,false,complete contract
zig,UASF_0306,function,COMPILER_PROVEN,ziglang/zig,lib/std/builtin.zig;lib/std/zig/Ast.zig,Fn;fn_decl,function type and declaration are defined,official compiler source,true,false,complete contract
zig,UASF_0308,struct,COMPILER_PROVEN,ziglang/zig,lib/std/builtin.zig;doc/langref.html.in,Struct;struct,struct type semantics are defined,official compiler source,true,false,complete contract
zig,UASF_0309,enum,COMPILER_PROVEN,ziglang/zig,lib/std/builtin.zig;doc/langref.html.in,Enum;enum,enum type semantics are defined,official compiler source,true,false,complete contract
