element_id,required_by_capabilities
abi.calls,UASF_0010;UASF_0022;UASF_0023
annotation.applies,UASF_0301
binding.shadows,UASF_0047;UASF_0048;UASF_0049;UASF_0064;UASF_0075;UASF_0076;UASF_0086;UASF_0178;UASF_0218;UASF_0254;UASF_0302;UASF_0303;UASF_0305;UASF_0306;UASF_0307;UASF_0308;UASF_0310;UASF_0311
capture.captures,UASF_0048;UASF_0306;UASF_0307;UASF_0308;UASF_0310;UASF_0311
compiletime.depends,UASF_0118;UASF_0119
concurrency.atomic_order,UASF_0142;UASF_0144;UASF_0147;UASF_0151;UASF_0152;UASF_0153;UASF_0154;UASF_0155;UASF_0222
concurrency.communicates,UASF_0142;UASF_0144;UASF_0147;UASF_0151;UASF_0152;UASF_0153;UASF_0154;UASF_0155;UASF_0222
concurrency.spawns,UASF_0142;UASF_0144;UASF_0147;UASF_0151;UASF_0152;UASF_0153;UASF_0154;UASF_0155;UASF_0222
concurrency.synchronizes,UASF_0142;UASF_0144;UASF_0147;UASF_0151;UASF_0152;UASF_0153;UASF_0154;UASF_0155;UASF_0222
contract.requires,UASF_0120;UASF_0203;UASF_0334
control.loop_back,UASF_0064;UASF_0142;UASF_0151;UASF_0168;UASF_0177;UASF_0178;UASF_0183;UASF_0218;UASF_0222;UASF_0223;UASF_0306
conversion.converts,UASF_0006;UASF_0007;UASF_0008;UASF_0009;UASF_0053;UASF_0065;UASF_0066;UASF_0067;UASF_0068;UASF_0114;UASF_0157;UASF_0191;UASF_0192;UASF_0193;UASF_0194;UASF_0195;UASF_0196;UASF_0197;UASF_0198;UASF_0199;UASF_0200;UASF_0201;UASF_0202;UASF_0203;UASF_0204;UASF_0205;UASF_0206;UASF_0207;UASF_0208;UASF_0209
coroutine.suspends,UASF_0158;UASF_0159;UASF_0210
data.result,UASF_0075;UASF_0076;UASF_0118;UASF_0144;UASF_0152;UASF_0178;UASF_0214;UASF_0218;UASF_0226;UASF_0231;UASF_0255;UASF_0302;UASF_0303;UASF_0306
dialect.requires,UASF_0002;UASF_0003;UASF_0010;UASF_0011;UASF_0033;UASF_0034;UASF_0077;UASF_0078;UASF_0079;UASF_0102;UASF_0116;UASF_0117;UASF_0118;UASF_0119;UASF_0120;UASF_0121;UASF_0122;UASF_0123;UASF_0124;UASF_0125;UASF_0126;UASF_0237;UASF_0238;UASF_0239;UASF_0240;UASF_0241;UASF_0242;UASF_0243;UASF_0244;UASF_0245
dispatch.resolves,UASF_0086;UASF_0204;UASF_0256;UASF_0291;UASF_0307
exception.unwinds_to,UASF_0261;UASF_0262;UASF_0265
initialization.before,UASF_0108;UASF_0266;UASF_0267;UASF_0268
language.contract,UASF_0263;UASF_0269;UASF_0270;UASF_0271;UASF_0272;UASF_0273;UASF_0274
layout.field,UASF_0025;UASF_0033;UASF_0206;UASF_0308;UASF_0309
lifetime.outlives,UASF_0026;UASF_0050
linkage.links,UASF_0001;UASF_0084;UASF_0275;UASF_0276
lowering.requires,UASF_0120;UASF_0122
memory.aliases,UASF_0010;UASF_0024;UASF_0026;UASF_0033;UASF_0050;UASF_0147;UASF_0154;UASF_0155;UASF_0207;UASF_0231;UASF_0258
memory.borrows,UASF_0010;UASF_0024;UASF_0026;UASF_0033;UASF_0050;UASF_0147;UASF_0154;UASF_0155;UASF_0207;UASF_0231;UASF_0258
memory.owns,UASF_0010;UASF_0024;UASF_0026;UASF_0033;UASF_0050;UASF_0147;UASF_0154;UASF_0155;UASF_0207;UASF_0231;UASF_0258
module.exports,UASF_0275;UASF_0290
module.imports,UASF_0275;UASF_0290
overload.candidate,UASF_0086;UASF_0204;UASF_0256;UASF_0291;UASF_0307
pointer.provenance,UASF_0200;UASF_0271;UASF_0282;UASF_0284
preprocessor.expands,UASF_0135;UASF_0290
runtime.requires,UASF_0005;UASF_0007;UASF_0008;UASF_0011;UASF_0014;UASF_0015;UASF_0018;UASF_0021;UASF_0027;UASF_0030;UASF_0032;UASF_0037;UASF_0039;UASF_0044;UASF_0046;UASF_0057;UASF_0066;UASF_0069;UASF_0072;UASF_0077;UASF_0079;UASF_0081;UASF_0083;UASF_0090;UASF_0093;UASF_0097;UASF_0098;UASF_0111;UASF_0112;UASF_0121;UASF_0124;UASF_0126;UASF_0127;UASF_0129;UASF_0136;UASF_0139;UASF_0143;UASF_0145;UASF_0148;UASF_0157;UASF_0170;UASF_0171;UASF_0173;UASF_0176;UASF_0185;UASF_0188;UASF_0191;UASF_0192;UASF_0196;UASF_0197;UASF_0201;UASF_0211;UASF_0212;UASF_0213;UASF_0216;UASF_0227;UASF_0228;UASF_0229;UASF_0230;UASF_0232;UASF_0233;UASF_0234;UASF_0237;UASF_0238;UASF_0239;UASF_0240;UASF_0241;UASF_0242;UASF_0243;UASF_0244;UASF_0245;UASF_0247;UASF_0248;UASF_0250;UASF_0251;UASF_0254;UASF_0255;UASF_0256;UASF_0257;UASF_0258;UASF_0259;UASF_0260;UASF_0262;UASF_0265;UASF_0268;UASF_0269;UASF_0273;UASF_0274;UASF_0277;UASF_0278;UASF_0281;UASF_0286;UASF_0288;UASF_0289;UASF_0297;UASF_0314;UASF_0315;UASF_0323;UASF_0324;UASF_0325;UASF_0331
storage.resides_in,UASF_0010;UASF_0024;UASF_0026;UASF_0033;UASF_0050;UASF_0147;UASF_0154;UASF_0155;UASF_0156;UASF_0207;UASF_0231;UASF_0258;UASF_0268;UASF_0320
template.instantiates,UASF_0133;UASF_0137;UASF_0316;UASF_0317;UASF_0328;UASF_0329
type.constraint,UASF_0023;UASF_0025;UASF_0064;UASF_0076;UASF_0086;UASF_0177;UASF_0203;UASF_0204;UASF_0205;UASF_0206;UASF_0207;UASF_0208;UASF_0214;UASF_0226;UASF_0231;UASF_0256;UASF_0259;UASF_0291;UASF_0305;UASF_0307;UASF_0308;UASF_0309;UASF_0311;UASF_0334
type.convert,UASF_0023;UASF_0025;UASF_0064;UASF_0076;UASF_0086;UASF_0177;UASF_0203;UASF_0204;UASF_0205;UASF_0206;UASF_0207;UASF_0208;UASF_0214;UASF_0226;UASF_0231;UASF_0256;UASF_0259;UASF_0291;UASF_0305;UASF_0307;UASF_0308;UASF_0309;UASF_0311;UASF_0334
type.parameter,UASF_0023;UASF_0025;UASF_0064;UASF_0076;UASF_0086;UASF_0177;UASF_0203;UASF_0204;UASF_0205;UASF_0206;UASF_0207;UASF_0208;UASF_0214;UASF_0226;UASF_0231;UASF_0256;UASF_0259;UASF_0291;UASF_0305;UASF_0307;UASF_0308;UASF_0309;UASF_0311;UASF_0334
validation.proves,UASF_0034;UASF_0084;UASF_0108;UASF_0265;UASF_0274;UASF_0293;UASF_0332;UASF_0334
value.category,UASF_0193;UASF_0319;UASF_0321
