element_id,required_by_capabilities
ABIContract,UASF_0023
AddressOf,UASF_0231
Annotation,UASF_0301
ArraySliceType,UASF_0208
AtomicOp,UASF_0154
AwaitExpr,UASF_0222
Binding,UASF_0049
BindingResolution,UASF_0047
BoolType,UASF_0208
CaptureRelation,UASF_0048
ChannelType,UASF_0144
ChannelTypeOp,UASF_0152
CloseOp,UASF_0144
CompileTimeEval,UASF_0118
ComprehensionExpr,UASF_0218
ConcurrencyOp,UASF_0151;UASF_0153
ConstantDecl,UASF_0302
ConvertExpr,UASF_0226
DeferCleanupStmt,UASF_0183
DeferStmt,UASF_0168
Deref,UASF_0231
DispatchResolution,UASF_0204
DispatchSemantics,UASF_0256
Effect,UASF_0254;UASF_0255;UASF_0257;UASF_0258
EmbeddedField,UASF_0086
ExecutionModel,UASF_0121
FloatType,UASF_0208
ForeignDeclCall,UASF_0010;UASF_0022
FunctionDecl,UASF_0306
FunctionType,UASF_0205
GenericParam,UASF_0334
GenericParamDecl,UASF_0305
IRFact,UASF_0122
Instantiation,UASF_0334
IntegerType,UASF_0208
InterfaceType,UASF_0291
InterfaceTypeDecl,UASF_0307
LayoutContract,UASF_0025
LifetimeRegion,UASF_0050
LoweringFact,UASF_0122
MacroCompileTime,UASF_0119
MapIndexExpr,UASF_0214
MapType,UASF_0205;UASF_0214
MemoryManagement,UASF_0024
MemoryModelContract,UASF_0147;UASF_0155
MethodDecl,UASF_0086
MethodExpr,UASF_0086
MethodSet,UASF_0291
MethodValue,UASF_0086
NominalTypeDecl,UASF_0311
OptimizationFact,UASF_0120
OptionalType,UASF_0208
OwnershipSemantics,UASF_0026
PanicRecover,UASF_0168
PointerType,UASF_0207;UASF_0231
RaisePanicStmt,UASF_0183
ReceiveExpr,UASF_0144
RecordTypeDecl,UASF_0308
ReferenceType,UASF_0207
ReflectionOp,UASF_0259
SafetyRegion,UASF_0024;UASF_0033
SelectStmt,UASF_0142
SendStmt,UASF_0144
ShadowingRelation,UASF_0049
SliceExpr,UASF_0231
SliceType,UASF_0231
SpawnStmt,UASF_0142
StringType,UASF_0208
SwitchMatchStmt,UASF_0178
SynchronizationOp,UASF_0153
TryStmt,UASF_0183
TupleResult,UASF_0076
TupleType,UASF_0208
TypeAssertExpr,UASF_0177
TypeConstraint,UASF_0203
TypeInferenceFact,UASF_0203
TypeRelation,UASF_0208
TypeSet,UASF_0334
TypeSwitchStmt,UASF_0064
UnionVariantType,UASF_0206
UnsafeIntrinsic,UASF_0033
VariableDecl,UASF_0303
VariableDeclGroup,UASF_0075
VariantTypeDecl,UASF_0309
Visibility,UASF_0310
YieldExpr,UASF_0223
