semanticprogram_field,universal_field
SemanticStatement.Name,name
SemanticStatement.AssignOp,operation
SemanticStatement.Expression,operands
SemanticStatement.Condition,condition
SemanticStatement.Sequence,operands
SemanticStatement.Then,branches
SemanticStatement.Else,branches
SemanticStatement.Body,body
SemanticStatement.Statements,members
SemanticExpression.Name,name
SemanticExpression.Operator,operation
SemanticExpression.LiteralKind,value
SemanticExpression.Text,value
SemanticExpression.Left,operands
SemanticExpression.Right,operands
SemanticExpression.Value,value
SemanticExpression.Value[Kind=call],callee
SemanticExpression.Function,body
SemanticExpression.Resolution,candidates
SemanticExpression.DoubleIndex,operation
SemanticFunction.Binding,dispatch
SemanticFunction.DefaultEvaluation,evaluation_order
SemanticFunction.Body,body
SemanticParameter.Name,name
SemanticParameter.Mode,operation
SemanticParameter.Default,value
