file,bytes,sha256
00_README_CODEX_MATRIX_FIRST.md,2993,778b5fc4cbe5feae77957c555cc0cd058ad4d6b0fde5ce189272c797b6bfaac3
01_source_trust_weight_matrix.csv,884821,28e40e265e466db3145ea9513143d8707c64be039cb489668d5b7310d501b8d7
02_weighted_file_feature_matrix.csv,9870490,39ca9cf5674508aaaf9f2be6d8eec7cf38607d0c03358c4778f3275b29345fb7
03_generic_feature_trust_summary.csv,10021,85c64614bf1d3ff4fe1cb85c807f5a7a947f4c90e65230b808de4b49dc008fd0
04_current_sp_generic_coverage_dimension_matrix.csv,4797,b9197c855b07d39211c26d3d5bc9ae5ef4bcf4988b5159dc3c81ce249d3e1603
05_generic_feature_gap_vector.csv,4692,9b5c4055158418635899404b598e7eb6423af52c8f7a00316f817ff5dc6ec87e
06_clang_cpp_specific_feature_source_matrix.csv,7452,32ddf6dd5e7732eca7a521a3b2979463882a63ec5d329d56a5ac7a243b75890d
07_clang_cpp_specific_source_weight_vector.csv,503,eaeda0464ff8453ff1cd273d1f1b7f6d510de1148f3f0f096cbd31f49a141cb0
08_clang_cpp_specific_semanticprogram_projection_matrix.csv,9889,40527211b957b10445eed39e8b2b0a82bec5d4d3bc8e3e413871caca2d4a3c6f
09_clang_cpp_specific_sp_coverage_dimension_matrix.csv,5460,c7abe550425ca3e4e3b825a61e9ae302c406827ad39dc6ce6364b8ba2d4faa4f
10_clang_cpp_specific_gap_vector.csv,6729,19ec857a86f2962cb429ffeb74a3653db835f0ab54966e874e7edaa78ed94d20
11_combined_feature_family_projection_matrix.csv,10540,8027fab622cb80eaa206b8be13df70d4de3faa8fa5bcbb1d0f416d50f386acba
12_combined_feature_coupling_matrix.csv,212180,1c7eb1f7decc0ffc81b93a4bea8939d20597042af56ab24d10fb2ea69944fcb1
13_gap_propagation_operator.csv,241764,a6f66e181239de0602483c54759f7ca5cc6857602c5ebbcfe12ae69e1c9be5ee
14_semanticprogram_axis_gap_vector.csv,1262,0d3eeba588d7918345396e5e610bb1ca8112ca98d59565638af346b84fd14e21
15_matrix_derived_clusters.csv,2985,30e6ba590129e09a90c3348978ad1df9acdf30ffaf2faa38097bcfe88c983693
16_codex_cluster_implementation_matrix.csv,8298,0f9d1b78bce787e293d7f6e0ad54c5b9b8597b55b11964f28ba8142008c88ec5
17_clang_ast_sema_gap_matrix.csv,277055,00e74e4338e10656c8fe0989da24d49625204cf6bef5f2181a0ab72e8c36fd0a
18_clang_codegen_abi_gap_matrix.csv,15558,65cee8fdf62853d09c0b9fd7e9eee8973bfd33e816579329db9438789f2e3f09
19_detector_fix_matrix.csv,1049,b07767e1c630c7c655f17282c5f28f4300736945951cd332dfe1b7a4e6e74375
20_collector_clang_cpp_ontology_extension_matrix.csv,18996,84a1e73bb7d668e8006091cb1b35deb0803d87a6673a63c1bc7ba1840c7e965f
21_profile_correction.json,330,cfbf0cb90a246e7fff0d889432be0e99a2efc73b5aa8da600ad12630d468477b
90_original_language_matrix_misdetected_swift.zip,1443555,9d97d560ed4eeefc602c781081e25ade848801239ab3ad23d9f61cd237dce8a1
