feature,category,importance,mean_sp_coverage,base_gap
abi_calling_convention,memory,0.820098,0.242000,0.621635
allocation,effect,0.728440,0.292000,0.515736
array_list,expression,0.574959,0.492000,0.292079
array_type,type,0.676995,0.642000,0.242364
assignment,expression,0.664083,0.876000,0.082346
atomic,concurrency,0.765887,0.142000,0.657131
attribute_annotation,declaration,0.902666,0.242000,0.684221
await,expression,0.501380,0.072000,0.465281
binary_op,expression,0.675786,0.812000,0.127048
break,control,0.400669,0.876000,0.049683
bytecode_vm,meta,0.602858,0.052000,0.571509
call,expression,0.648193,0.860000,0.090747
capture,binding,0.764975,0.342000,0.503354
cast_conversion,expression,0.802648,0.442000,0.447877
channel,concurrency,0.320663,0.072000,0.297575
class,declaration,0.868411,0.172000,0.719044
closure_lambda,expression,0.737804,0.642000,0.264134
code_generation,meta,0.779020,0.592000,0.317840
compile_time_eval,meta,0.707969,0.084000,0.648500
comprehension,expression,0.000000,0.052000,0.000000
constant,declaration,0.850529,0.876000,0.105466
continue,control,0.396890,0.876000,0.049214
defer_cleanup,control,0.742950,0.096000,0.671627
dynamic_dispatch,effect,0.679732,0.172000,0.562818
enum,declaration,0.728684,0.292000,0.515908
exception_try,control,0.802269,0.084000,0.734878
ffi,memory,0.792123,0.342000,0.521217
filesystem,effect,0.548781,0.542000,0.251342
for,control,0.470210,0.772000,0.107208
foreach_iteration,control,0.766076,0.612000,0.297237
function,declaration,0.942149,0.836000,0.154512
function_type,type,0.697027,0.642000,0.249536
gc,memory,0.542029,0.096000,0.489995
generic,declaration,0.939286,0.172000,0.777729
generic_constraint,type,0.632021,0.112000,0.561234
global_state,effect,0.480710,0.542000,0.220165
goto_label,control,0.581636,0.084000,0.532779
identifier,expression,0.801265,0.910000,0.072114
if,control,0.470964,0.910000,0.042387
import,declaration,0.933526,0.084000,0.855110
index,expression,0.604441,0.712000,0.174079
interface_trait,declaration,0.827942,0.096000,0.748459
io,effect,0.528996,0.542000,0.242280
ir,meta,0.758013,0.712000,0.218308
layout_alignment,memory,0.809056,0.212000,0.637536
lifetime,binding,0.652343,0.212000,0.514046
literal_boolean,expression,0.918203,0.910000,0.082638
literal_null,expression,0.926339,0.876000,0.114866
literal_numeric,expression,0.531715,0.712000,0.153134
literal_string,expression,0.633495,0.876000,0.078553
lock_mutex,concurrency,0.606569,0.112000,0.538633
macro,meta,0.795343,0.052000,0.753985
manual_memory,memory,0.659485,0.112000,0.585623
map_dict,expression,0.572615,0.442000,0.319519
map_type,type,0.515900,0.412000,0.303349
member_access,expression,0.598229,0.272000,0.435511
memory_model,concurrency,0.134137,0.112000,0.119113
module,declaration,0.887030,0.084000,0.812520
mutation,effect,0.813004,0.712000,0.234145
name_resolution,binding,0.541267,0.212000,0.426518
network,effect,0.235114,0.492000,0.119438
optimizer,meta,0.559863,0.096000,0.506117
optional_nullable,type,0.712045,0.442000,0.397321
overload_resolution,type,0.729235,0.072000,0.676730
ownership,memory,0.614054,0.192000,0.496156
parameter,declaration,0.890538,0.836000,0.146048
pattern,expression,0.634620,0.052000,0.601620
pointer,type,0.742609,0.312000,0.510915
primitive_bool,type,0.290276,0.876000,0.035994
primitive_float,type,0.822985,0.672000,0.269939
primitive_integer,type,0.853011,0.392000,0.518631
primitive_string,type,0.376861,0.836000,0.061805
random,effect,0.448386,0.542000,0.205361
reference,type,0.640834,0.272000,0.466527
reflection,effect,0.595795,0.052000,0.564814
return,control,0.534458,0.876000,0.066273
scope,binding,0.830765,0.772000,0.189414
set,expression,0.317772,0.342000,0.209094
shadowing,binding,0.485493,0.542000,0.222356
slice,expression,0.061277,0.442000,0.034192
struct,declaration,0.911903,0.442000,0.508842
subtyping,type,0.605020,0.084000,0.554198
switch_match,control,0.474853,0.172000,0.393178
symbol_table,binding,0.346242,0.212000,0.272839
task_async,concurrency,0.725457,0.072000,0.673224
thread,concurrency,0.724918,0.112000,0.643727
throw_raise,control,0.550758,0.084000,0.504494
time,effect,0.258418,0.542000,0.118355
tuple,expression,0.570998,0.442000,0.318617
tuple_type,type,0.000000,0.342000,0.000000
type_inference,type,0.539572,0.172000,0.446766
unary_op,expression,0.602674,0.812000,0.113303
union_sum,type,0.431657,0.242000,0.327196
unsafe,memory,0.574114,0.072000,0.532778
variable,declaration,1.000000,0.876000,0.124000
visibility,declaration,0.859860,0.142000,0.737760
while,control,0.426329,0.876000,0.052865
yield,expression,0.516730,0.052000,0.489860
