ast_node,kind,file,line,mapped_gap_features,mapped_gap_score
OverloadedOperatorKind,declaration,include/clang/AST/TemplateName.h,32,cpp_operator_overload;cpp_overload_resolution;cpp_template_deduction;cpp_temp_materialization;cpp_name_lookup,7.203049
OverloadedTemplateStorage,declaration,include/clang/AST/TemplateName.h,33,cpp_overload_resolution;cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_operator_overload,6.140884
OverloadedTemplateStorage,declaration,include/clang/AST/TemplateName.h,95,cpp_overload_resolution;cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_operator_overload,6.140884
CompareTemplateSpecCandidatesForDisplay,declaration,lib/Sema/SemaOverload.cpp,10743,cpp_overload_resolution;cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_operator_overload,6.140884
ICK_Pointer_Member,enum_variant,include/clang/Sema/Overload.h,123,cpp_overload_resolution;cpp_member_pointers;c_flexible_array_member;cpp_operator_overload;c_pointer_arithmetic,6.061833
SpecialMemberOverloadResult,declaration,include/clang/Sema/Sema.h,1044,cpp_overload_resolution;cpp_member_pointers;c_flexible_array_member;cpp_operator_overload;c_union_active_member,6.056746
SpecialMemberOverloadResultEntry,declaration,include/clang/Sema/Sema.h,1067,cpp_overload_resolution;cpp_member_pointers;c_flexible_array_member;cpp_operator_overload;c_union_active_member,6.056746
MemberLookup,enum_variant,lib/Sema/SemaOverload.cpp,13538,cpp_overload_resolution;cpp_member_pointers;c_flexible_array_member;cpp_operator_overload;c_union_active_member,6.056746
MemberSpecializationInfo,declaration,include/clang/AST/DeclTemplate.h,608,cpp_member_pointers;cpp_template_deduction;c_flexible_array_member;cpp_temp_materialization;cpp_partial_specialization,6.030317
TPC_ClassTemplateMember,enum_variant,include/clang/Sema/Sema.h,6186,cpp_member_pointers;cpp_template_deduction;c_flexible_array_member;cpp_temp_materialization;c_union_active_member,6.027770
PCC_MemberTemplate,enum_variant,include/clang/Sema/Sema.h,10208,cpp_member_pointers;cpp_template_deduction;c_flexible_array_member;cpp_temp_materialization;c_union_active_member,6.027770
Overloaded,enum_variant,include/clang/AST/TemplateName.h,47,cpp_overload_resolution;cpp_template_deduction;cpp_temp_materialization;cpp_operator_overload;cpp_name_lookup,5.998085
OverloadedTemplate,enum_variant,include/clang/AST/TemplateName.h,194,cpp_overload_resolution;cpp_template_deduction;cpp_temp_materialization;cpp_operator_overload;cpp_name_lookup,5.998085
TemplateSpecializationTypeBitfields,declaration,include/clang/AST/Type.h,1638,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;c_bitfields,5.996314
DependentTemplateSpecializationTypeBitfields,declaration,include/clang/AST/Type.h,1656,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;c_bitfields,5.996314
TDF_ParamWithReferenceType,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,74,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_reference_binding,5.991108
