feature,family,description,ast_name_hits,ast_core,sema_core,parser_core,lexer_preprocessor,basic_language_model,codegen_abi,analysis_cfg,serialization,frontend,static_analyzer,conformance_tests,derived_importance
c_integer_promotions,numeric_types,Integer promotions and usual arithmetic conversions,56,1,1,0,0,1,0,0,0,0,0,0,0.832419
c_signed_overflow_ub,undefined_behavior,Signed overflow UB,82,0,1,0,0,0,1,0,0,0,0,0,0.859183
c_unsigned_wrap,numeric_types,Unsigned modular arithmetic,183,0,1,0,0,0,1,0,0,0,0,0,0.885056
c_char_signedness,numeric_types,Implementation-defined char signedness,176,0,1,0,0,1,0,0,0,0,0,0,0.859401
c_bitfields,layout_abi,Bit-field layout/access,140,1,1,0,0,0,1,0,0,0,0,0,0.878117
c_flexible_array_member,layout_abi,Flexible array member layout,1658,1,1,0,0,0,1,0,0,0,0,0,0.958237
c_vla,object_lifetime,VLA bound/lifetime,0,1,1,0,0,0,1,0,0,0,0,0,0.717283
c_array_decay,pointer_memory,Array/function decay,473,1,1,0,0,0,0,0,0,0,0,0,0.930592
c_pointer_arithmetic,pointer_memory,Pointer arithmetic,620,0,1,0,0,0,1,0,0,0,0,0,0.924589
c_pointer_provenance,pointer_memory,Pointer provenance/object association,613,0,1,0,0,0,1,1,0,0,0,0,0.880778
c_effective_type_aliasing,pointer_memory,Effective type/strict aliasing,2867,0,1,0,0,0,1,1,0,0,0,0,0.930873
c_qualifiers,pointer_memory,const/volatile/restrict,26,1,1,0,0,0,1,0,0,0,0,0,0.824397
c_storage_duration,object_lifetime,Automatic/static/thread storage duration,47,1,1,0,0,0,1,0,0,0,0,0,0.843097
c_linkage,modules_linkage,C linkage semantics,129,1,1,0,0,0,0,0,0,0,0,0,0.888548
c_unspecified_eval_order,evaluation_ub,Unspecified sequencing/evaluation order,279,0,1,0,0,0,0,1,0,0,0,0,0.845753
c_designated_initializers,initialization,Designated initializers,221,1,1,1,0,0,0,0,0,0,0,0,0.871720
c_compound_literals,initialization,Compound literal object lifetime,91,1,1,1,0,0,0,0,0,0,0,0,0.843091
c_variadic,calls_abi,C varargs/default promotions,250,0,1,0,0,0,1,0,0,0,0,0,0.895148
c_function_pointer,calls_abi,Function pointer invocation,1620,1,1,0,0,0,1,0,0,0,0,0,0.957483
c_union_active_member,object_lifetime,Union active member/type punning,1374,1,1,0,0,0,1,0,0,0,0,0,0.952134
c_atomic_memory_order,concurrency_memory,Atomic memory order/fences,153,0,1,0,0,0,1,1,0,0,0,0,0.835829
