language,repository,node_type,required,multiple,child_type,child_named
r,r-lib/tree-sitter-r,arguments,False,True,comma,True
r,r-lib/tree-sitter-r,parameters,False,True,comma,True
r,r-lib/tree-sitter-r,program,False,True,binary_operator,True
r,r-lib/tree-sitter-r,program,False,True,braced_expression,True
r,r-lib/tree-sitter-r,program,False,True,break,True
r,r-lib/tree-sitter-r,program,False,True,call,True
r,r-lib/tree-sitter-r,program,False,True,complex,True
r,r-lib/tree-sitter-r,program,False,True,dot_dot_i,True
r,r-lib/tree-sitter-r,program,False,True,dots,True
r,r-lib/tree-sitter-r,program,False,True,extract_operator,True
r,r-lib/tree-sitter-r,program,False,True,false,True
r,r-lib/tree-sitter-r,program,False,True,float,True
r,r-lib/tree-sitter-r,program,False,True,for_statement,True
r,r-lib/tree-sitter-r,program,False,True,function_definition,True
r,r-lib/tree-sitter-r,program,False,True,identifier,True
r,r-lib/tree-sitter-r,program,False,True,if_statement,True
r,r-lib/tree-sitter-r,program,False,True,inf,True
r,r-lib/tree-sitter-r,program,False,True,integer,True
r,r-lib/tree-sitter-r,program,False,True,na,True
r,r-lib/tree-sitter-r,program,False,True,namespace_operator,True
r,r-lib/tree-sitter-r,program,False,True,nan,True
r,r-lib/tree-sitter-r,program,False,True,next,True
r,r-lib/tree-sitter-r,program,False,True,null,True
r,r-lib/tree-sitter-r,program,False,True,parenthesized_expression,True
r,r-lib/tree-sitter-r,program,False,True,repeat_statement,True
r,r-lib/tree-sitter-r,program,False,True,string,True
r,r-lib/tree-sitter-r,program,False,True,subset,True
r,r-lib/tree-sitter-r,program,False,True,subset2,True
r,r-lib/tree-sitter-r,program,False,True,true,True
r,r-lib/tree-sitter-r,program,False,True,unary_operator,True
r,r-lib/tree-sitter-r,program,False,True,while_statement,True
r,r-lib/tree-sitter-r,string_content,False,True,escape_sequence,True
go,tree-sitter/tree-sitter-go,argument_list,False,True,_expression,True
go,tree-sitter/tree-sitter-go,argument_list,False,True,_type,True
go,tree-sitter/tree-sitter-go,argument_list,False,True,variadic_argument,True
go,tree-sitter/tree-sitter-go,block,False,False,statement_list,True
go,tree-sitter/tree-sitter-go,break_statement,False,False,label_name,True
go,tree-sitter/tree-sitter-go,communication_case,False,False,statement_list,True
go,tree-sitter/tree-sitter-go,const_declaration,False,True,const_spec,True
go,tree-sitter/tree-sitter-go,continue_statement,False,False,label_name,True
go,tree-sitter/tree-sitter-go,dec_statement,True,False,_expression,True
go,tree-sitter/tree-sitter-go,default_case,False,False,statement_list,True
go,tree-sitter/tree-sitter-go,defer_statement,True,False,_expression,True
go,tree-sitter/tree-sitter-go,expression_case,False,False,statement_list,True
go,tree-sitter/tree-sitter-go,expression_list,True,True,_expression,True
go,tree-sitter/tree-sitter-go,expression_statement,True,False,_expression,True
go,tree-sitter/tree-sitter-go,expression_switch_statement,False,True,default_case,True
go,tree-sitter/tree-sitter-go,expression_switch_statement,False,True,expression_case,True
go,tree-sitter/tree-sitter-go,field_declaration_list,False,True,field_declaration,True
go,tree-sitter/tree-sitter-go,for_statement,False,False,_expression,True
go,tree-sitter/tree-sitter-go,for_statement,False,False,for_clause,True
go,tree-sitter/tree-sitter-go,for_statement,False,False,range_clause,True
go,tree-sitter/tree-sitter-go,go_statement,True,False,_expression,True
go,tree-sitter/tree-sitter-go,goto_statement,True,False,label_name,True
go,tree-sitter/tree-sitter-go,import_declaration,True,False,import_spec,True
go,tree-sitter/tree-sitter-go,import_declaration,True,False,import_spec_list,True
go,tree-sitter/tree-sitter-go,import_spec_list,False,True,import_spec,True
go,tree-sitter/tree-sitter-go,inc_statement,True,False,_expression,True
go,tree-sitter/tree-sitter-go,interface_type,False,True,method_elem,True
go,tree-sitter/tree-sitter-go,interface_type,False,True,type_elem,True
go,tree-sitter/tree-sitter-go,interpreted_string_literal,False,True,escape_sequence,True
go,tree-sitter/tree-sitter-go,interpreted_string_literal,False,True,interpreted_string_literal_content,True
go,tree-sitter/tree-sitter-go,labeled_statement,False,False,_statement,True
