language,ALIAS,BLANK,CHOICE,FIELD,IMMEDIATE_TOKEN,PATTERN,PREC,PREC_DYNAMIC,PREC_LEFT,PREC_RIGHT,REPEAT,REPEAT1,SEQ,STRING,SYMBOL,TOKEN
c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cpp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
csharp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
go,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
julia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kotlin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nim,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
python,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
r,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
rust,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
swift,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zig,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
