language,repository,file,sha256,source
r,r-lib/tree-sitter-r,queries/highlights.scm,7fd08df9b6529a3b38507aac14da883025779f81c255a896ba961900cf0b4cd6,"; highlights.scm

; Literals

(integer) @number
(float) @number
(complex) @number

(string) @string
(string (string_content (escape_sequence) @string.escape))

; Comments

(comment) @comment

; Operators

[
  ""?"" "":="" ""="" ""<-"" ""<<-"" ""->"" ""->>""
  ""~"" ""|>"" ""||"" ""|"" ""&&"" ""&""
  ""<"" ""<="" "">"" "">="" ""=="" ""!=""
  ""+"" ""-"" ""*"" ""/"" ""::"" "":::""
  ""**"" ""^"" ""$"" ""@"" "":"" ""!""
  ""special""
] @operator

; Punctuation

[
  ""(""  "")""
  ""{""  ""}""
  ""[""  ""]""
  ""[["" ""]]""
] @punctuation.bracket

(comma) @punctuation.delimiter

; Variables

(identifier) @variable

; Functions

(binary_operator
    lhs: (identifier) @function
    operator: ""<-""
    rhs: (function_definition)
)

(binary_operator
    lhs: (identifier) @function
    operator: ""=""
    rhs: (function_definition)
)

; Calls

(call function: (identifier) @function)

; - `return` is just a regular identifier in our grammar (#189), but people
;   expect `return()` to be highlighted
; - We feel confident that we can use `#eq?` here, as other grammars use
;   `#eq?` and `#match?` predicates already, even though support for predicates
;   is dependent on the library that binds to tree-sitter's C library, not the
;   C library itself.
;   https://github.com/tree-sitter/tree-sitter-javascript/blob/58404d8cf191d69f2674a8fd507bd5776f46cb11/queries/highlights.scm#L65-L67
;   https://github.com/tree-sitter/tree-sitter-rust/blob/77a3747266f4d621d0757825e6b11edcbf991ca5/queries/highlights.scm#L9-L11
; - Placed after `(call function: (identifier) @function)` for correct precedence
(
    (call function: (identifier) @keyword)
    (#eq? @keyword ""return"")
)

; Parameters

(parameters (parameter name: (identifier) @variable.parameter))
(arguments (argument name: (identifier) @variable.parameter))

; Namespace

(namespace_operator lhs: (identifier) @namespace)

(call
    function: (namespace_operator rhs: (identifier) @function)
)

; Keywords

(function_definition name: ""function"" @keyword.function)
(function_definition name: ""\\"" @operator)

[
  ""in""
  (next)
  (break)
] @keyword

[
  ""if""
  ""else""
] @conditional

[
  ""while""
  ""repeat""
  ""for""
] @repeat

[
  (true)
  (false)
] @boolean

[
  (null)
  (inf)
  (nan)
  (na)
  (dots)
  (dot_dot_i)
] @constant.builtin

; Error

(ERROR) @error
"
r,r-lib/tree-sitter-r,queries/locals.scm,33c4c3a9631820de93bb02b256bcb64d8b918e8b1e00422f14fb1c08e6f930ab,"; locals.scm

(function_definition) @local.scope

(argument  name: (identifier) @local.definition)
(parameter name: (identifier) @local.definition)

(binary_operator
    lhs: (identifier) @local.definition
    operator: ""<-"")
(binary_operator
    lhs: (identifier) @local.definition
    operator: ""="")
(binary_operator
    operator: ""->""
    rhs: (identifier) @local.definition)

(identifier) @local.reference
"
r,r-lib/tree-sitter-r,queries/tags.scm,282aac27b55709b027ccf78fa690c5158a3cb2646c4fcd7776cb5ae8775c6dd0,"(binary_operator
    lhs: (identifier) @name
    operator: ""<-""
    rhs: (function_definition)
) @definition.function

(binary_operator
    lhs: (identifier) @name
    operator: ""=""
    rhs: (function_definition)
) @definition.function

(binary_operator
    lhs: (string) @name
    operator: ""<-""
    rhs: (function_definition)
) @definition.function

(binary_operator
    lhs: (string) @name
    operator: ""=""
    rhs: (function_definition)
) @definition.function

(call
    function: (identifier) @name
) @reference.call

(call
    function: (namespace_operator
        rhs: (identifier) @name
    )
) @reference.call
"
go,tree-sitter/tree-sitter-go,queries/highlights.scm,81182c986547eba7fa6316e82dfd621fb13b8fc89efac85432aee51a48ed0896,"; Function calls

(call_expression
  function: (identifier) @function)

(call_expression
  function: (identifier) @function.builtin
  (#match? @function.builtin ""^(append|cap|close|complex|copy|delete|imag|len|make|new|panic|print|println|real|recover)$""))

(call_expression
  function: (selector_expression
    field: (field_identifier) @function.method))

; Function definitions

(function_declaration
  name: (identifier) @function)

(method_declaration
  name: (field_identifier) @function.method)

; Identifiers

(type_identifier) @type
(field_identifier) @property
(identifier) @variable

; Operators

[
  ""--""
  ""-""
  ""-=""
  "":=""
  ""!""
  ""!=""
  ""...""
  ""*""
  ""*""
  ""*=""
  ""/""
  ""/=""
  ""&""
  ""&&""
  ""&=""
  ""%""
  ""%=""
  ""^""
  ""^=""
  ""+""
  ""++""
  ""+=""
  ""<-""
  ""<""
  ""<<""
  ""<<=""
  ""<=""
  ""=""
  ""==""
  "">""
  "">=""
  "">>""
  "">>=""
  ""|""
  ""|=""
  ""||""
  ""~""
] @operator

; Keywords

[
  ""break""
  ""case""
  ""chan""
  ""const""
  ""continue""
  ""default""
  ""defer""
  ""else""
  ""fallthrough""
  ""for""
  ""func""
  ""go""
  ""goto""
  ""if""
  ""import""
  ""interface""
  ""map""
  ""package""
  ""range""
  ""return""
  ""select""
  ""struct""
  ""switch""
  ""type""
  ""var""
] @keyword

; Literals

[
  (interpreted_string_literal)
  (raw_string_literal)
  (rune_literal)
] @string

(escape_sequence) @escape

[
  (int_literal)
  (float_literal)
  (imaginary_literal)
] @number

[
  (true)
  (false)
  (nil)
  (iota)
] @constant.builtin

(comment) @comment
"
go,tree-sitter/tree-sitter-go,queries/tags.scm,d1a9b1f678fe0278b85054e2dc56a28ef26aa478b8c88fb2b0dd83cdcdb9db35,"(
  (comment)* @doc
  .
  (function_declaration
    name: (identifier) @name) @definition.function
  (#strip! @doc ""^//\\s*"")
  (#set-adjacent! @doc @definition.function)
)

(
  (comment)* @doc
  .
  (method_declaration
    name: (field_identifier) @name) @definition.method
  (#strip! @doc ""^//\\s*"")
  (#set-adjacent! @doc @definition.method)
)

(call_expression
  function: [
    (identifier) @name
    (parenthesized_expression (identifier) @name)
    (selector_expression field: (field_identifier) @name)
    (parenthesized_expression (selector_expression field: (field_identifier) @name))
  ]) @reference.call

(type_spec
  name: (type_identifier) @name) @definition.type

(type_identifier) @name @reference.type

(package_clause ""package"" (package_identifier) @name)

(type_declaration (type_spec name: (type_identifier) @name type: (interface_type)))

(type_declaration (type_spec name: (type_identifier) @name type: (struct_type)))

(import_declaration (import_spec) @name)

(var_declaration (var_spec name: (identifier) @name))

(const_declaration (const_spec name: (identifier) @name))
"
rust,tree-sitter/tree-sitter-rust,queries/highlights.scm,0f0343107f14a7690157f51090a979eb8f8bfe4eada7c61763ddb4c54b1311d1,"; Identifiers

(type_identifier) @type
(primitive_type) @type.builtin
(field_identifier) @property

; Identifier conventions

; Assume all-caps names are constants
((identifier) @constant
 (#match? @constant ""^[A-Z][A-Z\\d_]+$'""))

; Assume uppercase names are enum constructors
((identifier) @constructor
 (#match? @constructor ""^[A-Z]""))

; Assume that uppercase names in paths are types
((scoped_identifier
  path: (identifier) @type)
 (#match? @type ""^[A-Z]""))
((scoped_identifier
  path: (scoped_identifier
    name: (identifier) @type))
 (#match? @type ""^[A-Z]""))
((scoped_type_identifier
  path: (identifier) @type)
 (#match? @type ""^[A-Z]""))
((scoped_type_identifier
  path: (scoped_identifier
    name: (identifier) @type))
 (#match? @type ""^[A-Z]""))

; Assume all qualified names in struct patterns are enum constructors. (They're
; either that, or struct names; highlighting both as constructors seems to be
; the less glaring choice of error, visually.)
(struct_pattern
  type: (scoped_type_identifier
    name: (type_identifier) @constructor))

; Function calls

(call_expression
  function: (identifier) @function)
(call_expression
  function: (field_expression
    field: (field_identifier) @function.method))
(call_expression
  function: (scoped_identifier
    ""::""
    name: (identifier) @function))

(generic_function
  function: (identifier) @function)
(generic_function
  function: (scoped_identifier
    name: (identifier) @function))
(generic_function
  function: (field_expression
    field: (field_identifier) @function.method))

(macro_invocation
  macro: (identifier) @function.macro
  ""!"" @function.macro)

; Function definitions

(function_item (identifier) @function)
(function_signature_item (identifier) @function)

(line_comment) @comment
(block_comment) @comment

(line_comment (doc_comment)) @comment.documentation
(block_comment (doc_comment)) @comment.documentation

""("" @punctuation.bracket
"")"" @punctuation.bracket
""["" @punctuation.bracket
""]"" @punctuation.bracket
""{"" @punctuation.bracket
""}"" @punctuation.bracket

(type_arguments
  ""<"" @punctuation.bracket
  "">"" @punctuation.bracket)
(type_parameters
  ""<"" @punctuation.bracket
  "">"" @punctuation.bracket)

""::"" @punctuation.delimiter
"":"" @punctuation.delimiter
""."" @punctuation.delimiter
"","" @punctuation.delimiter
"";"" @punctuation.delimiter

(parameter (identifier) @variable.parameter)

(lifetime (identifier) @label)

""as"" @keyword
""async"" @keyword
""await"" @keyword
""break"" @keyword
""const"" @keyword
""continue"" @keyword
""default"" @keyword
""dyn"" @keyword
""else"" @keyword
""enum"" @keyword
""extern"" @keyword
""fn"" @keyword
""for"" @keyword
""gen"" @keyword
""if"" @keyword
""impl"" @keyword
""in"" @keyword
""let"" @keyword
""loop"" @keyword
""macro_rules!"" @keyword
""match"" @keyword
""mod"" @keyword
""move"" @keyword
""pub"" @keyword
""raw"" @keyword
""ref"" @keyword
""return"" @keyword
""static"" @keyword
""struct"" @keyword
""trait"" @keyword
""type"" @keyword
""union"" @keyword
""unsafe"" @keyword
""use"" @keyword
""where"" @keyword
""while"" @keyword
""yield"" @keyword
(crate) @keyword
(mutable_specifier) @keyword
(use_list (self) @keyword)
(scoped_use_list (self) @keyword)
(scoped_identifier (self) @keyword)
(super) @keyword

(self) @variable.builtin

(char_literal) @string
(string_literal) @string
(raw_string_literal) @string

(boolean_literal) @constant.builtin
(integer_literal) @constant.builtin
(float_literal) @constant.builtin

(escape_sequence) @escape

(attribute_item) @attribute
(inner_attribute_item) @attribute

""*"" @operator
""&"" @operator
""'"" @operator
"
rust,tree-sitter/tree-sitter-rust,queries/injections.scm,723146f179bc0edfba2f51731c99afce8bed3b677dfb4435c303859fae299ba5,"((macro_invocation
  (token_tree) @injection.content)
 (#set! injection.language ""rust"")
 (#set! injection.include-children))

((macro_rule
  (token_tree) @injection.content)
 (#set! injection.language ""rust"")
 (#set! injection.include-children))
"
rust,tree-sitter/tree-sitter-rust,queries/tags.scm,f22867fdebde5cb091861c08d34690dc2540f4318068bf81be9f6b0d348ab8c1,"; ADT definitions

(struct_item
    name: (type_identifier) @name) @definition.class

(enum_item
    name: (type_identifier) @name) @definition.class

(union_item
    name: (type_identifier) @name) @definition.class

; type aliases

(type_item
    name: (type_identifier) @name) @definition.class

; method definitions

(declaration_list
    (function_item
        name: (identifier) @name) @definition.method)

; function definitions

(function_item
    name: (identifier) @name) @definition.function

; trait definitions
(trait_item
    name: (type_identifier) @name) @definition.interface

; module definitions
(mod_item
    name: (identifier) @name) @definition.module

; macro definitions

(macro_definition
    name: (identifier) @name) @definition.macro

; references

(call_expression
    function: (identifier) @name) @reference.call

(call_expression
    function: (field_expression
        field: (field_identifier) @name)) @reference.call

(macro_invocation
    macro: (identifier) @name) @reference.call

; implementations

(impl_item
    trait: (type_identifier) @name) @reference.implementation

(impl_item
    type: (type_identifier) @name
    !trait) @reference.implementation
"
cpp,tree-sitter/tree-sitter-cpp,queries/highlights.scm,da7f4979c8aebcf8432dc454da8c3506c56a8a90ddbc0e5d2c775bbf15ccb5cc,"; Functions

(call_expression
  function: (qualified_identifier
    name: (identifier) @function))

(template_function
  name: (identifier) @function)

(template_method
  name: (field_identifier) @function)

(template_function
  name: (identifier) @function)

(function_declarator
  declarator: (qualified_identifier
    name: (identifier) @function))

(function_declarator
  declarator: (field_identifier) @function)

; Types

((namespace_identifier) @type
 (#match? @type ""^[A-Z]""))

(auto) @type

; Constants

(this) @variable.builtin
(null ""nullptr"" @constant)

; Modules
(module_name
  (identifier) @module)

; Keywords

[
 ""catch""
 ""class""
 ""co_await""
 ""co_return""
 ""co_yield""
 ""constexpr""
 ""constinit""
 ""consteval""
 ""delete""
 ""explicit""
 ""final""
 ""friend""
 ""mutable""
 ""namespace""
 ""noexcept""
 ""new""
 ""override""
 ""private""
 ""protected""
 ""public""
 ""template""
 ""throw""
 ""try""
 ""typename""
 ""using""
 ""concept""
 ""requires""
 ""virtual""
 ""import""
 ""export""
 ""module""
] @keyword

; Strings

(raw_string_literal) @string
"
cpp,tree-sitter/tree-sitter-cpp,queries/injections.scm,0791a308ef7c0a9e40b8415a2e9cee85b528a8bb21697e65c79872e8848dd972,"(raw_string_literal
  delimiter: (raw_string_delimiter) @injection.language
  (raw_string_content) @injection.content)
"
