target_id,canonical_semantic_id,direct,rewrite,helper,emulate,runtime,tested
r,UASF_0001,false,false,false,false,false,false
r,UASF_0002,false,false,false,false,false,false
r,UASF_0003,false,false,false,false,false,false
r,UASF_0004,false,false,false,false,false,false
r,UASF_0005,false,false,false,false,false,false
r,UASF_0006,false,false,false,false,false,false
r,UASF_0007,false,false,false,false,false,false
r,UASF_0008,false,false,false,false,false,false
r,UASF_0009,false,false,false,false,false,false
r,UASF_0010,false,false,false,false,false,false
r,UASF_0011,false,false,false,false,false,false
r,UASF_0012,false,false,false,false,false,false
r,UASF_0013,false,false,false,false,false,false
r,UASF_0014,false,false,false,false,false,false
r,UASF_0015,false,false,false,false,false,false
r,UASF_0016,false,false,false,false,false,false
r,UASF_0017,false,false,false,false,false,false
r,UASF_0018,false,false,false,false,false,false
r,UASF_0019,false,false,false,false,false,false
r,UASF_0020,false,false,false,false,false,false
r,UASF_0021,false,false,false,false,false,false
r,UASF_0022,false,false,false,false,false,false
r,UASF_0023,false,false,false,false,false,false
r,UASF_0024,false,false,false,false,false,false
r,UASF_0025,false,false,false,false,false,false
r,UASF_0026,false,false,false,false,false,false
r,UASF_0027,false,false,false,false,false,false
r,UASF_0028,false,false,false,false,false,false
r,UASF_0029,false,false,false,false,false,false
r,UASF_0030,false,false,false,false,false,false
r,UASF_0031,false,false,false,false,false,false
r,UASF_0032,false,false,false,false,false,false
r,UASF_0033,false,false,false,false,false,false
r,UASF_0034,false,false,false,false,false,false
r,UASF_0035,false,false,false,false,false,false
r,UASF_0036,false,false,false,false,false,false
r,UASF_0037,false,false,false,false,false,false
r,UASF_0038,false,false,false,false,false,false
r,UASF_0039,false,false,false,false,false,false
r,UASF_0040,false,false,false,false,false,false
r,UASF_0041,false,false,false,false,false,false
r,UASF_0042,false,false,false,false,false,false
r,UASF_0043,false,false,false,false,false,false
r,UASF_0044,false,false,false,false,false,false
r,UASF_0045,false,false,false,false,false,false
r,UASF_0046,false,false,false,false,false,false
r,UASF_0047,false,false,false,false,false,false
r,UASF_0048,false,false,false,false,false,false
r,UASF_0049,false,false,false,false,false,false
r,UASF_0050,false,false,false,false,false,false
r,UASF_0051,true,false,false,false,false,true
r,UASF_0052,false,false,false,false,false,false
r,UASF_0053,false,false,false,false,false,false
r,UASF_0054,true,false,false,false,false,true
r,UASF_0055,false,false,false,false,false,false
r,UASF_0056,false,false,false,false,false,false
r,UASF_0057,false,false,false,false,false,false
r,UASF_0058,false,false,false,false,false,false
r,UASF_0059,false,false,false,false,false,false
r,UASF_0060,false,false,false,false,false,false
r,UASF_0061,false,false,false,false,false,false
r,UASF_0062,false,false,false,false,false,false
r,UASF_0063,false,false,false,false,false,false
r,UASF_0064,false,false,false,false,false,false
r,UASF_0065,false,false,false,false,false,false
r,UASF_0066,false,false,false,false,false,false
r,UASF_0067,false,false,false,false,false,false
r,UASF_0068,false,false,false,false,false,false
r,UASF_0069,false,false,false,false,false,false
r,UASF_0070,false,false,false,false,false,false
r,UASF_0071,false,false,false,false,false,false
r,UASF_0072,false,false,false,false,false,false
r,UASF_0073,false,false,false,false,false,false
r,UASF_0074,false,false,false,false,false,false
r,UASF_0075,false,false,false,false,false,false
r,UASF_0076,false,false,false,false,false,false
r,UASF_0077,false,false,false,false,false,false
r,UASF_0078,false,false,false,false,false,false
r,UASF_0079,false,false,false,false,false,false
r,UASF_0080,false,false,false,false,false,false
r,UASF_0081,false,false,false,false,false,false
r,UASF_0082,false,false,false,false,false,false
r,UASF_0083,false,false,false,false,false,false
r,UASF_0084,false,false,false,false,false,false
r,UASF_0085,false,false,false,false,false,false
r,UASF_0086,false,false,false,false,false,false
r,UASF_0087,false,false,false,false,false,false
r,UASF_0088,false,false,false,false,false,false
r,UASF_0089,false,false,false,false,false,false
r,UASF_0090,false,false,false,false,false,false
r,UASF_0091,false,false,false,false,false,false
r,UASF_0092,false,false,false,false,false,false
r,UASF_0093,false,false,false,false,false,false
r,UASF_0094,false,false,false,false,false,false
r,UASF_0095,false,false,false,false,false,false
r,UASF_0096,false,false,false,false,false,false
r,UASF_0097,false,false,false,false,false,false
r,UASF_0098,false,false,false,false,false,false
r,UASF_0099,false,false,false,false,false,false
r,UASF_0100,false,false,false,false,false,false
r,UASF_0101,false,false,false,false,false,false
r,UASF_0102,false,false,false,false,false,false
r,UASF_0103,false,false,false,false,false,false
r,UASF_0104,false,false,false,false,false,false
r,UASF_0105,false,false,false,false,false,false
r,UASF_0106,false,false,false,false,false,false
r,UASF_0107,false,false,false,false,false,false
r,UASF_0108,false,false,false,false,false,false
r,UASF_0109,false,false,false,false,false,false
r,UASF_0110,false,false,false,false,false,false
r,UASF_0111,false,false,false,false,false,false
r,UASF_0112,false,false,false,false,false,false
r,UASF_0113,false,false,false,false,false,false
r,UASF_0114,false,false,false,false,false,false
r,UASF_0115,false,false,false,false,false,false
r,UASF_0116,false,false,false,false,false,false
r,UASF_0117,false,false,false,false,false,false
r,UASF_0118,false,false,false,false,false,false
r,UASF_0119,false,false,false,false,false,false
r,UASF_0120,false,false,false,false,false,false
r,UASF_0121,false,false,false,false,false,false
r,UASF_0122,false,false,false,false,false,false
r,UASF_0123,false,false,false,false,false,false
r,UASF_0124,false,false,false,false,false,false
r,UASF_0125,false,false,false,false,false,false
r,UASF_0126,false,false,false,false,false,false
r,UASF_0127,false,false,false,false,false,false
r,UASF_0128,false,false,false,false,false,false
r,UASF_0129,false,false,false,false,false,false
r,UASF_0130,false,false,false,false,false,false
r,UASF_0131,false,false,false,false,false,false
r,UASF_0132,false,false,false,false,false,false
r,UASF_0133,false,false,false,false,false,false
r,UASF_0134,false,false,false,false,false,false
r,UASF_0135,false,false,false,false,false,false
r,UASF_0136,false,false,false,false,false,false
r,UASF_0137,false,false,false,false,false,false
r,UASF_0138,false,false,false,false,false,false
r,UASF_0139,false,false,false,false,false,false
r,UASF_0140,false,false,false,false,false,false
r,UASF_0141,false,false,false,false,false,false
r,UASF_0142,false,false,false,false,false,false
r,UASF_0143,false,false,false,false,false,false
r,UASF_0144,false,false,false,false,false,false
r,UASF_0145,false,false,false,false,false,false
r,UASF_0146,false,false,false,false,false,false
r,UASF_0147,false,false,false,false,false,false
r,UASF_0148,false,false,false,false,false,false
r,UASF_0149,false,false,false,false,false,false
r,UASF_0150,false,false,false,false,false,false
r,UASF_0151,false,false,false,false,false,false
r,UASF_0152,false,false,false,false,false,false
r,UASF_0153,false,false,false,false,false,false
r,UASF_0154,false,false,false,false,false,false
r,UASF_0155,false,false,false,false,false,false
r,UASF_0156,false,false,false,false,false,false
r,UASF_0157,false,false,false,false,false,false
r,UASF_0158,false,false,false,false,false,false
r,UASF_0159,false,false,false,false,false,false
r,UASF_0160,false,false,false,false,false,false
r,UASF_0161,false,false,false,false,false,false
