canonical_semantic_id,signature_hash,basis_ones,BASIS_001,BASIS_002,BASIS_003,BASIS_004,BASIS_005,BASIS_006,BASIS_007,BASIS_008,BASIS_009,BASIS_010,BASIS_011,BASIS_012,BASIS_013,BASIS_014,BASIS_015,BASIS_016,BASIS_017,BASIS_018,BASIS_019,BASIS_020,BASIS_021,BASIS_022,BASIS_023,BASIS_024,BASIS_025,BASIS_026,BASIS_027,BASIS_028,BASIS_029,BASIS_030,BASIS_031,BASIS_032,BASIS_033,BASIS_034,BASIS_035,BASIS_036,BASIS_037,BASIS_038,BASIS_039,BASIS_040,BASIS_041,BASIS_042,BASIS_043,BASIS_044,BASIS_045,BASIS_046,BASIS_047,BASIS_048,BASIS_049,BASIS_050,BASIS_051,BASIS_052,BASIS_053,BASIS_054,BASIS_055,BASIS_056,BASIS_057,BASIS_058,BASIS_059,BASIS_060,BASIS_061,BASIS_062,BASIS_063,BASIS_064,BASIS_065,BASIS_066,BASIS_067
UASF_0001,b81611f5843c8c694b61b062,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0002,28e1a47261a7ab2d578ce7f7,7,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0003,252b0fd5684558269cabf9f3,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0004,ea662fb017401577402dfe6c,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0005,7de890a4af2a9be05992cfcc,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0006,f15ca0e35918e691d151b0ca,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0007,7d7b0fd9da3b106fa144f140,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0008,688fbd082aed41ed3a01745b,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0009,963138d780d70f68262db2dc,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0010,c55b5e4407105a97a1fb9e68,8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
UASF_0011,2c4c2f2ecce21d4462154d8a,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
