source_id,language_id,source_type,title,semantic_scope,url,notes
GLOBAL_CBS,*,FORMAL_COMPONENT_LIBRARY,PLanCompS CBS / Funcons,Reusable fundamental programming constructs with operational semantics,https://plancomps.github.io/CBS-beta/math/Funcons-beta/index.html,Formal reusable semantic basis; not a direct spec for all 13 languages.
GLOBAL_CBS_LANG,*,FORMAL_COMPONENT_LIBRARY,CBS example language specifications,Language constructs translated compositionally to Funcons,https://plancomps.github.io/CBS-beta/docs/Languages-beta/,Useful as an external semantic basis/crosswalk model.
C_WG14,c,NORMATIVE_NEAR_FINAL_DRAFT,ISO C23 / WG14 N3220,"Core C semantics, types, expressions, sequencing, storage duration, atomics",https://www.open-std.org/jtc1/sc22/wg14/www/docs/n3220.pdf,N3220 has essentially C23 technical content per WG14 project status.
C_WG14_HOME,c,OFFICIAL_STANDARDS_BODY,WG14 C project,Official standardization status and document index,https://www.open-std.org/jtc1/sc22/wg14/,
C_K,c,EXECUTABLE_FORMAL_SEMANTICS,K Framework C semantics,Executable semantics with deterministic/nondeterministic sequencing and thread interleaving modes,https://github.com/kframework/c-semantics,Strong external formal cross-check.
CPP_DRAFT,cpp,NORMATIVE_DRAFT_MIRROR,"Working Draft, Standard for C++","Core C++ semantics: expressions, value categories, lifetime, sequencing, exceptions, concurrency",https://eel.is/c++draft/,Widely used HTML mirror of the C++ working draft.
CPP_ISOFAQ,cpp,OFFICIAL_COMMUNITY_REFERENCE,ISO C++ FAQ: value vs reference semantics,Value/reference semantics and object model concepts,https://isocpp.org/wiki/faq/value-vs-ref-semantics#val-vs-ref-semantics,"Focused source, not a complete language semantics."
CPP_HYLIAN,cpp,RESEARCH_SEMANTIC_MODEL,Hylian: language-complete C++ semantic graph,Abstract semantic graph built from GCC parse trees plus C++ semantic information,https://dl.acm.org/doi/10.1145/2184512.2184552,Research model useful for independent semantic-graph comparison.
CPP_GIT,cpp,OFFICIAL_DRAFT_SOURCE,cplusplus/draft,Machine-readable source of the C++ working draft,https://github.com/cplusplus/draft,
CSHARP_SPEC,csharp,OFFICIAL_SPEC,C# language specification,"Types, variables, expressions, statements, classes, async, exceptions",https://learn.microsoft.com/en-us/dotnet/csharp/language-reference/language-specification/,
CSHARP_ECMA,csharp,STANDARD,ECMA-334 C# Language Specification,Standardized C# syntax and semantic rules,https://ecma-international.org/publications-and-standards/standards/ecma-334/,
GO_SPEC,go,OFFICIAL_SPEC,The Go Programming Language Specification,"Types, method sets, interfaces, expressions, statements, evaluation order, generics",https://go.dev/ref/spec,
GO_MEM,go,OFFICIAL_MEMORY_MODEL,The Go Memory Model,"Happens-before, synchronization, channel and atomic visibility rules",https://go.dev/ref/mem,
GO_K,go,EXECUTABLE_FORMAL_SEMANTICS_RESEARCH,K-Go,Executable K semantics for Go 1.18 core constructs and channel concurrency,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/blc2.12024,Research model; not the normative Go spec.
JAVA_JLS,java,OFFICIAL_SPEC,"Java Language Specification, Java SE 26","Types, values, evaluation, statements, exceptions, generics, patterns, threads and memory model",https://docs.oracle.com/javase/specs/jls/se26/html/,
JAVA_K,java,EXECUTABLE_FORMAL_SEMANTICS,K-Java,Executable semantics of Java with tests against the JDK,https://github.com/kframework/java-semantics,Historical model; useful independent formal evidence.
JULIA_TYPES,julia,OFFICIAL_REFERENCE,Julia Manual: Types,Dynamic nominative parametric type system,https://docs.julialang.org/en/v1/manual/types/,
JULIA_METHODS,julia,OFFICIAL_REFERENCE,Julia Manual: Methods,Multiple dispatch and parametric methods,https://docs.julialang.org/en/v1/manual/methods/,
JULIA_FUNCTIONS,julia,OFFICIAL_REFERENCE,Julia Manual: Functions,"Pass-by-sharing, closures/function values, defaults",https://docs.julialang.org/en/v1/manual/functions/,
JULIA_ASYNC,julia,OFFICIAL_REFERENCE,Julia Manual: Asynchronous Programming,Tasks and Channels,https://docs.julialang.org/en/v1/manual/asynchronous-programming/,
JULIA_META,julia,OFFICIAL_REFERENCE,Julia Manual: Metaprogramming,"AST macros, quoting, generated functions",https://docs.julialang.org/en/v1/manual/metaprogramming/,
KOTLIN_SPEC,kotlin,OFFICIAL_SPEC,Kotlin Language Specification,"Kotlin/Core type system, expressions, overload resolution, exceptions, control/data-flow",https://kotlinlang.org/spec/kotlin-spec.html,
KOTLIN_EXPR,kotlin,OFFICIAL_SPEC,Kotlin Specification: Expressions,"Evaluation order, function calls, try/throw/return",https://kotlinlang.org/spec/expressions.html,
OPENREWRITE,kotlin,EXTERNAL_SEMANTIC_TREE,OpenRewrite LST,Type-attributed lossless semantic trees; official OpenRewrite support includes Java and Kotlin,https://docs.openrewrite.org/reference/supported-languages,Useful independent semantic-tree cross-check.
NIM_MANUAL,nim,OFFICIAL_REFERENCE,Nim Manual,"Syntax and semantics, evaluation order, effects, exceptions, generics, templates/macros, modules",https://nim-lang.org/docs/manual.html,
NIM_MM,nim,OFFICIAL_REFERENCE,Nim Memory Management,ORC/ARC/refc and alternate memory-management strategies,https://nim-lang.org/1.6.6/mm.html,"Versioned document; memory model concepts remain useful, current default is ORC in Nim 2.x."
NIM_MOVE,nim,OFFICIAL_REFERENCE,Nim Destructors and Move Semantics,Precise destructor/move semantics for ARC/ORC,https://nim-lang.org/docs/destructors.html,
