file,sha256,size_bytes
01_semantic_basis_67.csv,c01e4a760db8b02e56d6b0935c953132631bcf1ba04ffc2a0cfe3bda9e16e280,2803
02_uasf_basis_signature_matrix.csv,15cd1e696f1a17642ce9df766b0e39a3ddef48ed1998a82d467ea129e6ca0c5f,58170
03_source_feature_to_uasf_exact_proof.csv,870132cc3f3b3da609ac1b2b8f8604fb527be4de6cad85341de159a8b3dd5545,121484
04_exact_semantic_quotient_classes.csv,9c8a0fba503a9578793cb5adf4467e2ef6cefe627e9c5f8309c0497a8bef8574,70576
05_language_uasf_presence_13.csv,d4044b007ef17d6d0d3b7e7fcf2019a10968534862362faaa9b65ed7d0433f78,12115
06_language_uasf_counts.csv,0b149955254a117be1cf04004cbcd355323536c98d9d6a079106d000259315fa,10378
07_external_atom_to_basis_crosswalk.csv,ecdf35d57c89ba0b233315dde5bb57ab533e35d8462568f572e306fc3647e9d3,9376
08_language_basis_external_support.csv,6a14075f1303b5a38f8d7de5bab46477d9dd60ac5f6e98666758cb1516a893b2,62624
09_kjava_formal_semantic_rules.csv,777d10352fd22ce7b05af11de726cca16654da4364b0afe0236a0e5c13d2a67c,3333
10_language_basis_corroboration.csv,53dca71431541872718843bb1a451eb6de4a88e0a12fbc605e589aa4ba0fbeb7,47556
11_language_uasf_corroboration.csv,67bc70e6decf125611ec90cec6bfa187e392bdfd2852a4873e24ff4442ddd38f,72717
12_uasf_proof_compression_summary.csv,fd7c79dd07231b4791abf5bedff0375cdbd55fb843e2500a659e873c5b67ffd3,36116
13_language_residual_summary.csv,986fc328eedb9b434d997a1a5c71388ae277b7707348ab4b17e0425124324ee0,438
14_input_manifest.csv,50fdaf4d65d26476e0151946d7f93b233fb79edb7a48d87156be0767ad99f9d5,564
15_external_source_catalog.csv,fb3b916151a33aa14add603edc1f1ab465d211f4eda9f72e53b695fb687315b6,8226
16_external_semantic_atom_dictionary.csv,91069b5e3b40addfb341b4d99399b97fe97a52cc844d5f32df6364ba9845637c,4072
FORMULAS.md,898cb7e6263990ce7787e893e97739bb035f3ba9b64ad80690d9789ea32f85cf,1490
README.md,6e8f4275850e73ec5137b19e65e29e4f3c04164eb37127e16b1dbb0cb0d27437,1591
SUMMARY.json,391f51075178f461a3d3f4f1fb60690384c5c68dbc5144612a072e159ed74410,946
VERIFICATION_RESULT.txt,4f98043e34b623fb27bf9308b6163c4c36263e202bb308e74b47a09166a4114f,113
VERIFY_COMPRESSION.cmd,b373f573648a40b2a2ee09744e32ee8be842df3750b4b2e6a5c026269839e8c5,149
semantic-proof-compressor-linux,d67bc4578a7d3ceb1103b55317440dfc871c74e206e3a15158d2f8c33ff87933,1892504
semantic-proof-compressor.exe,d4150c0005155090fbffcf4cfdafa94eecd05e4fa7beab5b108baf8a8639790f,2029056
tool-src/go.mod,9fcbf94dffe14818d3b7b8da36554b2c2e933eaab23bce2bfc84feeb16f4b702,42
tool-src/main.go,1c161af9831254c364dd762cb372b389629bf40f025a9cce3cd318a12b472456,2255
uast-semantic-proof-compression-v1.xlsx,d8c27f3f6632844ba3b1ce4484d32b0450b9d090a2f1ac932fb649566b422481,65416
