canonical_semantic_id,source_feature_count,language_count,languages,basis_ones,independently_corroborated_basis_ones,has_lowering_axis,proof_compression_state,corroborated_basis_ids
UASF_0001,1,2,c;cpp,3,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001
UASF_0002,9,1,kotlin,7,4,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_008;BASIS_011;BASIS_030
UASF_0003,5,1,kotlin,6,3,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_037;BASIS_042
UASF_0004,1,1,rust,4,3,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_006;BASIS_042
UASF_0005,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_008;BASIS_014;BASIS_036
UASF_0006,1,2,c;cpp,2,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_009
UASF_0007,3,1,java,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_009;BASIS_023;BASIS_036
UASF_0008,2,1,kotlin,6,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_009;BASIS_023;BASIS_036;BASIS_042
UASF_0009,1,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_009;BASIS_030;BASIS_042
UASF_0010,1,1,go,8,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_045
UASF_0011,1,1,r,4,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_036
UASF_0012,1,1,rust,4,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023
UASF_0013,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_030;BASIS_032
UASF_0014,4,2,java;r,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_013;BASIS_023;BASIS_036
UASF_0015,2,1,java,6,6,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_013;BASIS_030;BASIS_036;BASIS_037;BASIS_042
UASF_0016,1,2,c;cpp,3,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023
UASF_0017,1,1,rust,4,3,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_042
UASF_0018,1,1,csharp,3,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_036
UASF_0019,1,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_042
UASF_0020,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_030
UASF_0021,1,1,rust,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_030;BASIS_032;BASIS_036
UASF_0022,5,13,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift;zig,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_032;BASIS_045;BASIS_058
UASF_0023,3,11,c;cpp;csharp;go;java;kotlin;nim;python;r;rust;zig,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_032;BASIS_045;BASIS_067
UASF_0024,8,12,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;zig,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_032;BASIS_058
UASF_0025,2,10,c;cpp;csharp;go;java;kotlin;python;r;rust;zig,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_032;BASIS_067
UASF_0026,3,11,c;cpp;csharp;go;java;kotlin;nim;python;r;rust;swift,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_032;BASIS_063
UASF_0027,1,1,r,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_036
UASF_0028,2,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_032;BASIS_042
UASF_0029,1,1,rust,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_023;BASIS_042
UASF_0030,2,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_030;BASIS_036;BASIS_042
UASF_0031,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_030;BASIS_042
UASF_0032,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_001;BASIS_036;BASIS_042
UASF_0033,1,1,go,6,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_023
UASF_0034,1,2,c;cpp,3,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_043
UASF_0035,2,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_023;BASIS_042
UASF_0036,1,2,c;cpp,2,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_029
UASF_0037,1,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_030;BASIS_036
UASF_0038,1,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_030;BASIS_042
UASF_0039,1,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_036;BASIS_042
