external_atom_id,basis_id,basis_kind,dimension,mapping_strength
EXTSEM_STATIC_TYPING,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_STATIC_TYPING,BASIS_043,semantic_axis,validation.contract,CORROBORATING
EXTSEM_DYNAMIC_TYPING,BASIS_041,semantic_axis,types.origin,CORROBORATING
EXTSEM_DYNAMIC_TYPING,BASIS_036,semantic_axis,runtime.contract,CORROBORATING
EXTSEM_NOMINAL_TYPE_IDENTITY,BASIS_042,semantic_axis,types.structure,DIRECT
EXTSEM_STRUCTURAL_CONFORMANCE,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_STRUCTURAL_CONFORMANCE,BASIS_052,relation_axis,constraint.graph,CORROBORATING
EXTSEM_PARAMETRIC_POLYMORPHISM,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_PARAMETRIC_POLYMORPHISM,BASIS_040,semantic_axis,template.instantiation,CORROBORATING
EXTSEM_TYPE_INFERENCE,BASIS_041,semantic_axis,types.origin,DIRECT
EXTSEM_TYPE_INFERENCE,BASIS_043,semantic_axis,validation.contract,CORROBORATING
EXTSEM_FLOW_SENSITIVE_TYPING,BASIS_011,semantic_axis,data.flow,DIRECT
EXTSEM_FLOW_SENSITIVE_TYPING,BASIS_055,relation_axis,data.flow,DIRECT
EXTSEM_FLOW_SENSITIVE_TYPING,BASIS_041,semantic_axis,types.origin,CORROBORATING
EXTSEM_TYPE_LEVEL_NULL_SAFETY,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_TYPE_LEVEL_NULL_SAFETY,BASIS_043,semantic_axis,validation.contract,CORROBORATING
EXTSEM_VALUE_TYPES,BASIS_044,semantic_axis,value.category,DIRECT
EXTSEM_VALUE_TYPES,BASIS_029,semantic_axis,object.lifetime,CORROBORATING
EXTSEM_REFERENCE_TYPES,BASIS_044,semantic_axis,value.category,DIRECT
EXTSEM_REFERENCE_TYPES,BASIS_023,semantic_axis,memory.model,CORROBORATING
EXTSEM_EXPLICIT_POINTER_REFERENCE,BASIS_033,semantic_axis,pointer.provenance,DIRECT
EXTSEM_EXPLICIT_POINTER_REFERENCE,BASIS_023,semantic_axis,memory.model,CORROBORATING
EXTSEM_LEXICAL_SCOPING,BASIS_037,semantic_axis,scope.binding,DIRECT
EXTSEM_LEXICAL_SCOPING,BASIS_065,relation_axis,scope.binding,DIRECT
EXTSEM_LEXICAL_SCOPING,BASIS_066,relation_axis,scope.graph,CORROBORATING
EXTSEM_FIRST_CLASS_FUNCTIONS,BASIS_028,semantic_axis,nodes.expression,CORROBORATING
EXTSEM_FIRST_CLASS_FUNCTIONS,BASIS_030,semantic_axis,operations,CORROBORATING
EXTSEM_CLOSURES,BASIS_004,semantic_axis,capture.shadowing,DIRECT
EXTSEM_CLOSURES,BASIS_049,relation_axis,capture.graph,DIRECT
EXTSEM_CLOSURES,BASIS_003,semantic_axis,binding.graph,CORROBORATING
EXTSEM_CLOSURES,BASIS_047,relation_axis,binding.graph,CORROBORATING
EXTSEM_LAZY_ARGUMENTS,BASIS_015,semantic_axis,evaluation.order,DIRECT
EXTSEM_LAZY_ARGUMENTS,BASIS_036,semantic_axis,runtime.contract,CORROBORATING
EXTSEM_LEFT_TO_RIGHT_GENERAL_EVAL,BASIS_015,semantic_axis,evaluation.order,DIRECT
EXTSEM_PARTIAL_UNSPECIFIED_EVAL,BASIS_020,semantic_axis,language.unspecified_behavior,DIRECT
EXTSEM_PARTIAL_UNSPECIFIED_EVAL,BASIS_015,semantic_axis,evaluation.order,DIRECT
EXTSEM_SHORT_CIRCUIT_BOOL,BASIS_008,semantic_axis,control.flow,DIRECT
EXTSEM_SHORT_CIRCUIT_BOOL,BASIS_054,relation_axis,control.flow,DIRECT
EXTSEM_SHORT_CIRCUIT_BOOL,BASIS_015,semantic_axis,evaluation.order,DIRECT
EXTSEM_SHORT_CIRCUIT_BOOL,BASIS_014,semantic_axis,effects.control,CORROBORATING
EXTSEM_PASS_BY_VALUE_CORE,BASIS_044,semantic_axis,value.category,CORROBORATING
EXTSEM_PASS_BY_VALUE_CORE,BASIS_009,semantic_axis,conversion.semantics,CORROBORATING
