state_id,language,rule,operators
S000753,c,_abstract_declarator,CHOICE|SYMBOL
S000825,c,_assignment_left_expression,CHOICE|SYMBOL
S000693,c,_block_item,ALIAS|CHOICE|SYMBOL
S000750,c,_declaration_declarator,ALIAS|CHOICE|SYMBOL
S000734,c,_declaration_modifiers,CHOICE|SYMBOL
S000735,c,_declaration_specifiers,FIELD|PREC_RIGHT|REPEAT|SEQ|SYMBOL
S000749,c,_declarator,CHOICE|SYMBOL
S000870,c,_empty_declaration,SEQ|STRING|SYMBOL
S000821,c,_expression_not_binary,CHOICE|SYMBOL
S000790,c,_field_declaration_declarator,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000788,c,_field_declaration_list_item,ALIAS|CHOICE|SYMBOL
S000751,c,_field_declarator,ALIAS|CHOICE|SYMBOL
S000868,c,_field_identifier,ALIAS|SYMBOL
S000811,c,_for_statement_body,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000766,c,_function_declaration_declarator,BLANK|CHOICE|FIELD|PREC_RIGHT|REPEAT|SEQ|SYMBOL
S000799,c,_non_case_statement,CHOICE|SYMBOL
S000770,c,_old_style_function_declarator,ALIAS|FIELD|SEQ|SYMBOL
S000729,c,_old_style_function_definition,ALIAS|BLANK|CHOICE|FIELD|REPEAT1|SEQ|SYMBOL
S000795,c,_old_style_parameter_list,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000721,c,_preproc_expression,ALIAS|CHOICE|SYMBOL
S000869,c,_statement_identifier,ALIAS|SYMBOL
S000822,c,_string,CHOICE|PREC_LEFT|SYMBOL
S000802,c,_top_level_expression_statement,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000692,c,_top_level_item,ALIAS|CHOICE|SYMBOL
S000800,c,_top_level_statement,ALIAS|CHOICE|SYMBOL
S000752,c,_type_declarator,ALIAS|CHOICE|STRING|SYMBOL
S000733,c,_type_definition_declarators,FIELD|REPEAT|SEQ|STRING|SYMBOL
S000732,c,_type_definition_type,FIELD|REPEAT|SEQ|SYMBOL
S000867,c,_type_identifier,ALIAS|SYMBOL
S000774,c,abstract_array_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000769,c,abstract_function_declarator,BLANK|CHOICE|FIELD|PREC|SEQ|SYMBOL
S000757,c,abstract_parenthesized_declarator,BLANK|CHOICE|PREC|SEQ|STRING|SYMBOL
S000764,c,abstract_pointer_declarator,BLANK|CHOICE|FIELD|PREC_DYNAMIC|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL
S000779,c,alignas_qualifier,CHOICE|SEQ|STRING|SYMBOL
S000834,c,alignof_expression,CHOICE|FIELD|PREC|SEQ|STRING|SYMBOL
S000848,c,argument_list,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000771,c,array_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000772,c,array_field_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000773,c,array_type_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000826,c,assignment_expression,CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000738,c,attribute,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000739,c,attribute_declaration,REPEAT|SEQ|STRING|SYMBOL
S000737,c,attribute_specifier,CHOICE|SEQ|STRING|SYMBOL
S000758,c,attributed_declarator,PREC_RIGHT|REPEAT1|SEQ|SYMBOL
S000759,c,attributed_field_declarator,PREC_RIGHT|REPEAT1|SEQ|SYMBOL
S000797,c,attributed_statement,REPEAT1|SEQ|SYMBOL
S000760,c,attributed_type_declarator,PREC_RIGHT|REPEAT1|SEQ|SYMBOL
S000829,c,binary_expression,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000791,c,bitfield_clause,SEQ|STRING|SYMBOL
S000813,c,break_statement,SEQ|STRING
S000838,c,call_expression,FIELD|PREC|SEQ|SYMBOL
S000807,c,case_statement,CHOICE|FIELD|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL
S000831,c,cast_expression,FIELD|PREC|SEQ|STRING|SYMBOL
S000858,c,char_literal,ALIAS|CHOICE|IMMEDIATE_TOKEN|PATTERN|REPEAT1|SEQ|STRING|SYMBOL
