language,rule,symbol
r,program,_expression
r,program,_newline
r,program,_semicolon
r,program,_start
r,function_definition,_expression
r,function_definition,_newline
r,function_definition,parameters
r,parameters,_close_parenthesis
r,parameters,_open_parenthesis
r,parameters,comma
r,parameters,parameter
r,parameter,_parameter_with_default
r,parameter,_parameter_without_default
r,_parameter_with_default,_expression
r,_parameter_with_default,_parameter_name
r,_parameter_without_default,_parameter_name
r,_parameter_name,_identifier
r,if_statement,_close_parenthesis
r,if_statement,_else
r,if_statement,_expression
r,if_statement,_newline
r,if_statement,_open_parenthesis
r,for_statement,_close_parenthesis
r,for_statement,_expression
r,for_statement,_identifier
r,for_statement,_newline
r,for_statement,_open_parenthesis
r,while_statement,_close_parenthesis
r,while_statement,_expression
r,while_statement,_newline
r,while_statement,_open_parenthesis
r,repeat_statement,_expression
r,repeat_statement,_newline
r,braced_expression,_close_brace
r,braced_expression,_expression
r,braced_expression,_newline
r,braced_expression,_open_brace
r,braced_expression,_semicolon
r,parenthesized_expression,_close_parenthesis
r,parenthesized_expression,_expression
r,parenthesized_expression,_open_parenthesis
r,call,_expression
r,call,call_arguments
r,subset,_expression
r,subset,subset_arguments
r,subset2,_expression
r,subset2,subset2_arguments
r,call_arguments,_close_parenthesis
r,call_arguments,_open_parenthesis
r,call_arguments,argument
r,call_arguments,comma
r,subset_arguments,_close_bracket
r,subset_arguments,_open_bracket
r,subset_arguments,argument
r,subset_arguments,comma
r,subset2_arguments,_close_bracket2
r,subset2_arguments,_open_bracket2
r,subset2_arguments,argument
r,subset2_arguments,comma
r,argument,_argument_named
r,argument,_argument_unnamed
r,_argument_named,_argument_name_string_or_identifier_or_null
r,_argument_named,_argument_value
r,_argument_unnamed,_argument_value
r,_argument_value,_expression
r,unary_operator,_expression
r,unary_operator,_newline
r,binary_operator,_expression
r,binary_operator,_newline
r,extract_operator,_expression
r,extract_operator,_newline
r,extract_operator,_string_or_identifier
r,namespace_operator,_string_or_identifier
r,integer,_float_literal
r,complex,_float_literal
r,float,_float_literal
r,_float_literal,_hex_literal
r,_float_literal,_number_literal
r,string,_double_quoted_string
r,string,_raw_string
r,string,_single_quoted_string
r,_raw_string,_raw_string_close
r,_raw_string,_raw_string_content
r,_raw_string,_raw_string_open
r,_single_quoted_string,_single_quoted_string_content
r,_double_quoted_string,_double_quoted_string_content
r,_single_quoted_string_content,escape_sequence
r,_double_quoted_string_content,escape_sequence
r,_identifier,dot_dot_i
r,_identifier,dots
r,_identifier,identifier
r,_string_or_identifier,_identifier
r,_string_or_identifier,string
r,_argument_name_string_or_identifier_or_null,_string_or_identifier
r,_argument_name_string_or_identifier_or_null,null
r,_expression,binary_operator
r,_expression,braced_expression
r,_expression,break
r,_expression,call
r,_expression,complex
r,_expression,dot_dot_i
r,_expression,dots
r,_expression,extract_operator
r,_expression,false
r,_expression,float
r,_expression,for_statement
r,_expression,function_definition
r,_expression,identifier
r,_expression,if_statement
r,_expression,inf
r,_expression,integer
r,_expression,na
r,_expression,namespace_operator
r,_expression,nan
r,_expression,next
r,_expression,null
r,_expression,parenthesized_expression
r,_expression,repeat_statement
r,_expression,string
r,_expression,subset
r,_expression,subset2
r,_expression,true
r,_expression,unary_operator
r,_expression,while_statement
r,_else,_external_else
r,_open_parenthesis,_external_open_parenthesis
r,_close_parenthesis,_external_close_parenthesis
r,_open_brace,_external_open_brace
r,_close_brace,_external_close_brace
r,_open_bracket,_external_open_bracket
r,_close_bracket,_external_close_bracket
r,_open_bracket2,_external_open_bracket2
r,_close_bracket2,_external_close_bracket2
go,source_file,_statement
go,source_file,_top_level_declaration
go,_top_level_declaration,function_declaration
go,_top_level_declaration,import_declaration
go,_top_level_declaration,method_declaration
go,_top_level_declaration,package_clause
go,package_clause,_package_identifier
go,import_declaration,import_spec
go,import_declaration,import_spec_list
go,import_spec,_package_identifier
go,import_spec,_string_literal
go,import_spec,blank_identifier
go,import_spec,dot
go,import_spec_list,import_spec
go,_declaration,const_declaration
go,_declaration,type_declaration
go,_declaration,var_declaration
go,const_declaration,const_spec
