fix_class,failure_atoms,basis
fix_001,LEXER,EXACT_COLUMN_QUOTIENT
fix_002,PARSER,EXACT_COLUMN_QUOTIENT
fix_003,DECLARATION,EXACT_COLUMN_QUOTIENT
fix_004,EXPRESSION,EXACT_COLUMN_QUOTIENT
fix_005,TYPE,EXACT_COLUMN_QUOTIENT
fix_006,CONTROL_FLOW,EXACT_COLUMN_QUOTIENT
fix_007,CONTAINER,EXACT_COLUMN_QUOTIENT
fix_008,INDEX_SLICE,EXACT_COLUMN_QUOTIENT
fix_009,CALL,EXACT_COLUMN_QUOTIENT
fix_010,FUNCTION,EXACT_COLUMN_QUOTIENT
fix_011,CLOSURE,EXACT_COLUMN_QUOTIENT
fix_012,AGGREGATE,EXACT_COLUMN_QUOTIENT
fix_013,COMPREHENSION,EXACT_COLUMN_QUOTIENT
fix_014,PATTERN,EXACT_COLUMN_QUOTIENT
fix_015,EXCEPTION,EXACT_COLUMN_QUOTIENT
fix_016,ASYNC,EXACT_COLUMN_QUOTIENT
fix_017,GENERIC,EXACT_COLUMN_QUOTIENT
fix_018,RELATION,EXACT_COLUMN_QUOTIENT
fix_019,FIELD,EXACT_COLUMN_QUOTIENT
fix_020,SEMANTIC_LOWERING,EXACT_COLUMN_QUOTIENT
fix_021,UAST_VALIDATION,EXACT_COLUMN_QUOTIENT
