case_id,language,case_name,failure_atom,value
21,r,Functions,LEXER,false
21,r,Functions,PARSER,true
21,r,Functions,DECLARATION,false
21,r,Functions,EXPRESSION,true
21,r,Functions,TYPE,false
21,r,Functions,CONTROL_FLOW,true
21,r,Functions,CONTAINER,false
21,r,Functions,INDEX_SLICE,false
21,r,Functions,CALL,false
21,r,Functions,FUNCTION,true
21,r,Functions,CLOSURE,false
21,r,Functions,AGGREGATE,false
21,r,Functions,COMPREHENSION,false
21,r,Functions,PATTERN,false
21,r,Functions,EXCEPTION,false
21,r,Functions,ASYNC,false
21,r,Functions,GENERIC,false
21,r,Functions,RELATION,false
21,r,Functions,FIELD,true
21,r,Functions,SEMANTIC_LOWERING,false
21,r,Functions,UAST_VALIDATION,false
22,r,Functions With `return` As Parameter Name,LEXER,false
22,r,Functions With `return` As Parameter Name,PARSER,true
22,r,Functions With `return` As Parameter Name,DECLARATION,false
22,r,Functions With `return` As Parameter Name,EXPRESSION,false
22,r,Functions With `return` As Parameter Name,TYPE,false
22,r,Functions With `return` As Parameter Name,CONTROL_FLOW,false
22,r,Functions With `return` As Parameter Name,CONTAINER,false
22,r,Functions With `return` As Parameter Name,INDEX_SLICE,false
22,r,Functions With `return` As Parameter Name,CALL,false
22,r,Functions With `return` As Parameter Name,FUNCTION,true
22,r,Functions With `return` As Parameter Name,CLOSURE,false
22,r,Functions With `return` As Parameter Name,AGGREGATE,false
22,r,Functions With `return` As Parameter Name,COMPREHENSION,false
22,r,Functions With `return` As Parameter Name,PATTERN,false
22,r,Functions With `return` As Parameter Name,EXCEPTION,false
22,r,Functions With `return` As Parameter Name,ASYNC,false
22,r,Functions With `return` As Parameter Name,GENERIC,false
22,r,Functions With `return` As Parameter Name,RELATION,false
22,r,Functions With `return` As Parameter Name,FIELD,true
22,r,Functions With `return` As Parameter Name,SEMANTIC_LOWERING,false
22,r,Functions With `return` As Parameter Name,UAST_VALIDATION,false
23,r,Function Dots And Dot Dot I,LEXER,false
23,r,Function Dots And Dot Dot I,PARSER,true
23,r,Function Dots And Dot Dot I,DECLARATION,false
23,r,Function Dots And Dot Dot I,EXPRESSION,true
23,r,Function Dots And Dot Dot I,TYPE,false
23,r,Function Dots And Dot Dot I,CONTROL_FLOW,false
23,r,Function Dots And Dot Dot I,CONTAINER,false
23,r,Function Dots And Dot Dot I,INDEX_SLICE,false
23,r,Function Dots And Dot Dot I,CALL,true
23,r,Function Dots And Dot Dot I,FUNCTION,true
23,r,Function Dots And Dot Dot I,CLOSURE,false
23,r,Function Dots And Dot Dot I,AGGREGATE,false
23,r,Function Dots And Dot Dot I,COMPREHENSION,false
23,r,Function Dots And Dot Dot I,PATTERN,false
23,r,Function Dots And Dot Dot I,EXCEPTION,false
23,r,Function Dots And Dot Dot I,ASYNC,false
23,r,Function Dots And Dot Dot I,GENERIC,false
23,r,Function Dots And Dot Dot I,RELATION,false
23,r,Function Dots And Dot Dot I,FIELD,true
23,r,Function Dots And Dot Dot I,SEMANTIC_LOWERING,false
23,r,Function Dots And Dot Dot I,UAST_VALIDATION,false
25,r,Lambda Function,LEXER,false
25,r,Lambda Function,PARSER,true
25,r,Lambda Function,DECLARATION,false
25,r,Lambda Function,EXPRESSION,true
25,r,Lambda Function,TYPE,false
25,r,Lambda Function,CONTROL_FLOW,false
25,r,Lambda Function,CONTAINER,false
25,r,Lambda Function,INDEX_SLICE,false
25,r,Lambda Function,CALL,true
25,r,Lambda Function,FUNCTION,true
25,r,Lambda Function,CLOSURE,false
25,r,Lambda Function,AGGREGATE,false
25,r,Lambda Function,COMPREHENSION,false
25,r,Lambda Function,PATTERN,false
25,r,Lambda Function,EXCEPTION,false
