case_id,language,case_name,axis,feature,value
28,r,Not An Arithmetic Operator,uast_field,dispatch,1
28,r,Not An Arithmetic Operator,uast_field,effects,1
28,r,Not An Arithmetic Operator,uast_field,id,1
28,r,Not An Arithmetic Operator,uast_field,kind,1
28,r,Not An Arithmetic Operator,uast_field,members,1
28,r,Not An Arithmetic Operator,uast_field,name,1
28,r,Not An Arithmetic Operator,uast_field,operands,1
28,r,Not An Arithmetic Operator,uast_field,operation,1
28,r,Not An Arithmetic Operator,uast_field,scope_id,1
28,r,Not An Arithmetic Operator,uast_field,type_origin,1
28,r,Not An Arithmetic Operator,uast_field,type_ref,1
28,r,Not An Arithmetic Operator,uast_field,value,1
36,r,Subset and Subset2 Precedence,uast_field,arguments,1
36,r,Subset and Subset2 Precedence,uast_field,effects,1
36,r,Subset and Subset2 Precedence,uast_field,id,1
36,r,Subset and Subset2 Precedence,uast_field,kind,1
36,r,Subset and Subset2 Precedence,uast_field,members,1
36,r,Subset and Subset2 Precedence,uast_field,name,1
36,r,Subset and Subset2 Precedence,uast_field,operands,1
36,r,Subset and Subset2 Precedence,uast_field,operation,1
36,r,Subset and Subset2 Precedence,uast_field,scope_id,1
36,r,Subset and Subset2 Precedence,uast_field,type_origin,1
36,r,Subset and Subset2 Precedence,uast_field,type_ref,1
36,r,Subset and Subset2 Precedence,uast_field,value,1
37,r,If,uast_field,arguments,1
37,r,If,uast_field,branches,1
37,r,If,uast_field,callee,1
37,r,If,uast_field,condition,1
37,r,If,uast_field,dispatch,1
37,r,If,uast_field,effects,1
37,r,If,uast_field,evaluation_order,1
37,r,If,uast_field,id,1
37,r,If,uast_field,kind,1
37,r,If,uast_field,members,1
37,r,If,uast_field,name,1
37,r,If,uast_field,operands,1
37,r,If,uast_field,operation,1
37,r,If,uast_field,scope_id,1
37,r,If,uast_field,type_origin,1
37,r,If,uast_field,type_ref,1
37,r,If,uast_field,value,1
38,r,If-else,uast_field,branches,1
38,r,If-else,uast_field,condition,1
38,r,If-else,uast_field,effects,1
38,r,If-else,uast_field,id,1
38,r,If-else,uast_field,kind,1
38,r,If-else,uast_field,members,1
38,r,If-else,uast_field,name,1
38,r,If-else,uast_field,operands,1
38,r,If-else,uast_field,operation,1
38,r,If-else,uast_field,scope_id,1
38,r,If-else,uast_field,type_origin,1
38,r,If-else,uast_field,type_ref,1
39,r,Complex If Expression,uast_field,branches,1
39,r,Complex If Expression,uast_field,condition,1
39,r,Complex If Expression,uast_field,dispatch,1
39,r,Complex If Expression,uast_field,effects,1
39,r,Complex If Expression,uast_field,evaluation_order,1
39,r,Complex If Expression,uast_field,id,1
39,r,Complex If Expression,uast_field,kind,1
39,r,Complex If Expression,uast_field,members,1
39,r,Complex If Expression,uast_field,operands,1
39,r,Complex If Expression,uast_field,operation,1
39,r,Complex If Expression,uast_field,scope_id,1
39,r,Complex If Expression,uast_field,type_origin,1
39,r,Complex If Expression,uast_field,type_ref,1
39,r,Complex If Expression,uast_field,value,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,branches,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,condition,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,effects,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,id,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,kind,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,members,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,name,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,operands,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,operation,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,scope_id,1
41,r,Identifiers starting with `else` that are not the `else` keyword - 2 (#200),uast_field,type_origin,1
