source_id,language,ecosystem,name,version,url,reference,format
github:FluxML/Flux.jl@404ff37d68d256a9ca0bb176ed119b631bc9cad8,julia,github,FluxML/Flux.jl,404ff37d68d256a9ca0bb176ed119b631bc9cad8,https://github.com/FluxML/Flux.jl/archive/404ff37d68d256a9ca0bb176ed119b631bc9cad8.zip,master,zip
github:JuliaData/DataFrames.jl@d06ff9768ce91c5377d2c3625e7e1c7544208cc5,julia,github,JuliaData/DataFrames.jl,d06ff9768ce91c5377d2c3625e7e1c7544208cc5,https://github.com/JuliaData/DataFrames.jl/archive/d06ff9768ce91c5377d2c3625e7e1c7544208cc5.zip,main,zip
github:TuringLang/Turing.jl@e6b358226f9a8b88c568353736c8a36d12455a33,julia,github,TuringLang/Turing.jl,e6b358226f9a8b88c568353736c8a36d12455a33,https://github.com/TuringLang/Turing.jl/archive/e6b358226f9a8b88c568353736c8a36d12455a33.zip,main,zip
github:JuliaSymbolics/Symbolics.jl@219cd305597c7a8a25bffeeae57d203d0fa80113,julia,github,JuliaSymbolics/Symbolics.jl,219cd305597c7a8a25bffeeae57d203d0fa80113,https://github.com/JuliaSymbolics/Symbolics.jl/archive/219cd305597c7a8a25bffeeae57d203d0fa80113.zip,master,zip
github:JuliaLang/PackageCompiler.jl@d65ab15288709df482984c4049d97cee0cbc6acb,julia,github,JuliaLang/PackageCompiler.jl,d65ab15288709df482984c4049d97cee0cbc6acb,https://github.com/JuliaLang/PackageCompiler.jl/archive/d65ab15288709df482984c4049d97cee0cbc6acb.zip,master,zip
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,GenieFramework/Genie.jl,5a4e5f6972ea91c37c609e4bd972b92c8a51a850,https://github.com/GenieFramework/Genie.jl/archive/5a4e5f6972ea91c37c609e4bd972b92c8a51a850.zip,main,zip
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,nim-lang/nimble,605d325d676268e92534e003ae586925f3d42f57,https://github.com/nim-lang/nimble/archive/605d325d676268e92534e003ae586925f3d42f57.zip,master,zip
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,dom96/jester,8a491a8e28965ee9291f058963ff65571a315e84,https://github.com/dom96/jester/archive/8a491a8e28965ee9291f058963ff65571a315e84.zip,master,zip
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,yglukhov/nimpy,b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,https://github.com/yglukhov/nimpy/archive/b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3.zip,master,zip
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,mratsim/Arraymancer,d3b67712a3334ab4ded2809cc793e9cd7fed5fae,https://github.com/mratsim/Arraymancer/archive/d3b67712a3334ab4ded2809cc793e9cd7fed5fae.zip,master,zip
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,planety/prologue,01edc251595ff696045a4c38c5034d145bd0fe89,https://github.com/planety/prologue/archive/01edc251595ff696045a4c38c5034d145bd0fe89.zip,devel,zip
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,karaxnim/karax,fa5fdef42b3dd290880b3e4892e52385b892cfcb,https://github.com/karaxnim/karax/archive/fa5fdef42b3dd290880b3e4892e52385b892cfcb.zip,master,zip
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,Alamofire/Alamofire,0455bfb650893e86ad07ace16e5f2d36dadf46f4,https://github.com/Alamofire/Alamofire/archive/0455bfb650893e86ad07ace16e5f2d36dadf46f4.zip,master,zip
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,vapor/vapor,4813c31be404e8efe90dc09cc5568aaa6634e2ed,https://github.com/vapor/vapor/archive/4813c31be404e8efe90dc09cc5568aaa6634e2ed.zip,main,zip
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,onevcat/Kingfisher,be0d257b9bd47a4e6e1265fc8c237411825f107a,https://github.com/onevcat/Kingfisher/archive/be0d257b9bd47a4e6e1265fc8c237411825f107a.zip,master,zip
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,rxhanson/Rectangle,e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,https://github.com/rxhanson/Rectangle/archive/e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe.zip,main,zip
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,apple/container,97a0c11a6e8969538cb7b42dbbddbb23a43607f8,https://github.com/apple/container/archive/97a0c11a6e8969538cb7b42dbbddbb23a43607f8.zip,main,zip
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,kodecocodes/swift-algorithm-club,05c6d0bc5fa9484dd29eb324603b3452f4f44f39,https://github.com/kodecocodes/swift-algorithm-club/archive/05c6d0bc5fa9484dd29eb324603b3452f4f44f39.zip,master,zip
