case_id,source_language,target_language,v0_parse,v1_matrixir,v2_uast,v3_closure,v4_emit,v5_reparse,v6_compile,v7_execute,v8_behavior,route,diagnostic
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,r,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,go,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,rust,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,cpp,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,c,PASS,PASS,PASS,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,DIRECT,DIRECT_NATIVE_UNAVAILABLE: target c closure captures require runtime
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,python,PASS,PASS,PASS,PASS,FAIL,SKIP,SKIP,SKIP,SKIP,DIRECT,"DIRECT_NATIVE_UNAVAILABLE: target python emitted invalid syntax (other: Sorry: IndentationError: expected an indented block after function definition on line 3 (program.py, line 4))"
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,zig,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,julia,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,nim,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
2a94d180bf3f6ba76914b887db091d9f4da89a69649a49d6c2989eb2fa4c2bbb,kotlin,csharp,PASS,PASS,PASS,PASS,PASS,PASS,SKIP,SKIP,SKIP,DIRECT,
