field,base_or_semantic
id,base
kind,base
source_span,base
semantic_facets,base
attributes,base
extensions,base
scope_id,semantic
binding_refs,semantic
name,semantic
symbol,semantic
type_ref,semantic
type_origin,semantic
type_shape,semantic
value_category,semantic
operation,semantic
value,semantic
operands,semantic
results,semantic
callee,semantic
arguments,semantic
parameters,semantic
receiver,semantic
body,semantic
condition,semantic
branches,semantic
pattern,semantic
members,semantic
constraints,semantic
conversion,semantic
dispatch,semantic
candidates,semantic
effects,semantic
evaluation_order,semantic
initialization_order,semantic
exception_model,semantic
unwind,semantic
ownership,semantic
lifetime,semantic
provenance,semantic
storage,semantic
memory_model,semantic
memory_order,semantic
synchronization,semantic
concurrency_contract,semantic
coroutine_state,semantic
compiletime_contract,semantic
compiletime_value,semantic
module,semantic
linkage,semantic
layout,semantic
abi_contract,semantic
calling_convention,semantic
lowering,semantic
runtime_contract,semantic
validation,semantic
language_contract,semantic
dialect,semantic
