layer,description
structure.declaration,declarations and named structural entities
structure.expression,expression and operation structure
type.value,"types, conversion and value categories"
binding.scope,"scope, binding, capture and name resolution"
control.flow,control-flow semantics
data.flow,"def-use, operands and results"
effect,side effects and purity
evaluation,evaluation and initialization order
exception,throw/unwind/cleanup semantics
memory.lifetime,"ownership, lifetime, storage, provenance and memory model"
concurrency,"tasks, synchronization, atomics, coroutine state"
compiletime.meta,"compile-time evaluation, templates/macros/preprocessing"
module.dispatch,"modules, linkage and overload/dispatch"
abi.layout,"ABI, FFI and physical layout"
lowering.runtime.validation,"lowering, runtime contracts and validation evidence"
language.contract,defined/undefined/unspecified language contracts
dialect.extension,language/domain-specific extension boundary
