semanticprogram_field,universal_field
SemanticStatement.ID,id
SemanticStatement.Kind,kind
SemanticStatement.Scope,scope_id
SemanticStatement.Type,type_ref
SemanticStatement.Semantics,operation
SemanticStatement.Effects,effects
SemanticStatement.Source,source_span
SemanticStatement.Attributes,attributes
SemanticStatement.Extensions,extensions
SemanticExpression.ID,id
SemanticExpression.Kind,kind
SemanticExpression.Scope,scope_id
SemanticExpression.Type,type_ref
SemanticExpression.Binding,binding_refs
SemanticExpression.Semantics,operation
SemanticExpression.Effects,effects
SemanticExpression.Source,source_span
SemanticExpression.Attributes,attributes
SemanticExpression.Extensions,extensions
SemanticExpression.Arguments,arguments
SemanticFunction.Parameters,parameters
SemanticParameter.Passing,ownership
SemanticType.TypeOrigin,type_origin
SemanticType.Ownership,ownership
SemanticType.Lifetime,lifetime
SemanticSemantics.EvaluationOrder,evaluation_order
SemanticSemantics.Dispatch,dispatch
SemanticSemantics.ErrorModel,exception_model
SemanticDialect,dialect
SemanticContracts,runtime_contract
SemanticEvidence,validation
