path,size_bytes
00_README_UAST_SCHEMA_MATRIX.md,2345
01_semantic_facet_catalog.csv,49981
02_feature_to_semantic_facet_matrix.csv,387891
03_feature_schema_signature_matrix.csv,90343
04_feature_equivalence_matrix.csv,641354
05_semantic_facet_axis_matrix.csv,33838
06_semantic_facet_relation_axis_matrix.csv,19370
07_language_semantic_facet_count_matrix.csv,8741
08_language_semantic_facet_presence_matrix.csv,8737
09_semantic_facet_sp_coverage_lower_matrix.csv,27441
10_semantic_facet_sp_coverage_upper_matrix.csv,27441
11_structural_node_semantic_facet_seed_matrix.csv,77669
12_semantic_facet_structural_node_seed_matrix.csv,77894
13_universal_layer_catalog.csv,990
14_semantic_axis_to_layer_matrix.csv,2567
15_semantic_facet_layer_matrix.csv,15290
16_structural_node_layer_matrix.csv,5478
17_concrete_relation_catalog.csv,3510
18_relation_axis_to_concrete_relation_matrix.csv,3787
19_semantic_axis_to_concrete_relation_matrix.csv,6558
20_semantic_facet_concrete_relation_matrix.csv,41321
21_structural_node_concrete_relation_matrix.csv,14409
22_universal_field_catalog.csv,1204
23_semantic_axis_to_field_matrix.csv,6466
24_concrete_relation_to_field_matrix.csv,7866
25_semantic_facet_field_matrix.csv,42389
26_structural_node_field_matrix.csv,14577
27_semantic_facet_coupling_matrix.csv,1011138
28_semantic_facet_semantic_overlap_matrix.csv,230131
29_semantic_facet_relation_overlap_matrix.csv,230176
30_semantic_facet_language_overlap_matrix.csv,230131
31_semantic_facet_layer_component_matrix.csv,15392
32_schema_record_layout.csv,1181
33_current_semanticprogram_to_uast_field_crosswalk.csv,1164
34_language_semantic_facet_axis_tensor.csv,82803
35_schema_invariants.csv,798
36_structural_node_kind_catalog.csv,36451
37_layer_component_catalog.csv,11489
38_matrix_algebra_formulas.csv,1259
39_schema_dimension_manifest.csv,202
CODEX_IMPLEMENTATION_CONTRACT.md,2059
NO_PRIORITIES_OR_RANKINGS.txt,109
RUN_UAST_SCHEMA_CALC.bat,151
calculate_uast_schema.py,1000
construction_reference.py,38099
input/universal_semantic_matrix_algebra_v2_with_go.zip,20056651
matrix_labels.json,31375
universal_ast_schema_matrices.npz,159156
