row,structure.declaration::C001,structure.expression::C001,type.value::C001,binding.scope::C001,control.flow::C001,data.flow::C001,effect::C001,evaluation::C001,exception::C001,memory.lifetime::C001,concurrency::C001,compiletime.meta::C001,module.dispatch::C001,abi.layout::C001,lowering.runtime.validation::C001,language.contract::C001,dialect.extension::C001
UASF_0001,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
UASF_0002,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
UASF_0003,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
UASF_0004,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
UASF_0005,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
UASF_0006,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UASF_0007,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
UASF_0008,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
UASF_0009,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
UASF_0010,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
UASF_0011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
UASF_0012,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
UASF_0013,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
UASF_0014,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
UASF_0015,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0
UASF_0016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
UASF_0017,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
UASF_0018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
UASF_0019,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0020,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
UASF_0021,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
UASF_0022,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
