rank,cluster,propagated_gap,feature_count,top_features
1,object_model,10.662737,13,CS::virtual_override_new_dispatch:1.150; CS::static_abstract_interface_members:0.946; GEN::class:0.852; CS::default_interface_members:0.850; CS::explicit_interface_impl:0.850; CS::record_semantics:0.832; CS::struct_value_semantics:0.809; GEN::interface_trait:0.807
2,refs_memory,8.937935,12,GEN::unsafe:0.939; GEN::manual_memory:0.863; CS::ref_structs:0.844; CS::span_like_semantics:0.821; CS::readonly_refs:0.784; CS::ref_out_in_parameters:0.758; GEN::reference:0.709; GEN::pointer:0.678
3,async_iterators,7.974196,11,GEN::task_async:0.903; CS::await_using:0.839; CS::foreach_pattern:0.810; CS::await_foreach:0.801; GEN::await:0.784; GEN::yield:0.771; CS::yield_iterators:0.752; CS::async_await_csharp:0.688
4,expressions_core,6.248094,17,GEN::cast_conversion:0.634; GEN::tuple:0.593; GEN::map_dict:0.538; GEN::literal_null:0.449; GEN::literal_boolean:0.431; GEN::identifier:0.396; GEN::binary_op:0.377; GEN::assignment:0.377
5,types_core,5.836966,10,GEN::function_type:0.734; GEN::optional_nullable:0.729; GEN::primitive_integer:0.715; GEN::primitive_float:0.629; GEN::array_type:0.569; GEN::tuple_type:0.552; GEN::union_sum:0.550; GEN::primitive_string:0.514
6,patterns_control,5.786819,9,GEN::pattern:0.839; CS::property_positional_patterns:0.739; CS::list_patterns:0.706; CS::pattern_variable_scope:0.694; CS::switch_expressions:0.682; CS::relational_logical_patterns:0.673; CS::type_patterns:0.623; GEN::switch_match:0.509
7,declarations_core,5.61833,8,GEN::attribute_annotation:0.943; GEN::visibility:0.813; GEN::constant:0.807; GEN::import:0.771; GEN::module:0.734; GEN::parameter:0.536; GEN::variable:0.524; GEN::function:0.490
8,concurrency_memory,4.567684,8,CS::interlocked_atomic_semantics:0.787; GEN::thread:0.761; CS::volatile_semantics:0.749; GEN::atomic:0.594; GEN::lock_mutex:0.543; CS::lock_monitor_semantics:0.478; GEN::channel:0.444; GEN::memory_model:0.213
9,effects_runtime,4.490381,9,GEN::mutation:0.746; GEN::reflection:0.693; GEN::allocation:0.572; GEN::random:0.513; GEN::filesystem:0.479; GEN::global_state:0.413; GEN::time:0.400; GEN::network:0.342
10,types_generics,4.328956,7,GEN::generic:0.732; GEN::subtyping:0.717; CS::generic_variance:0.717; GEN::generic_constraint:0.671; CS::generic_constraints:0.523; GEN::type_inference:0.508; CS::generic_type_inference:0.462
11,call_resolution,4.277041,8,CS::extension_methods:0.846; CS::params_collections:0.713; GEN::overload_resolution:0.631; CS::overload_resolution_csharp:0.518; CS::operator_overloading:0.503; CS::method_group_conversion:0.476; GEN::call:0.354; CS::named_optional_arguments:0.236
12,types_conversions,3.954252,6,CS::user_defined_conversions:0.878; CS::checked_unchecked_context:0.755; CS::explicit_numeric_conversions:0.655; CS::implicit_numeric_conversions:0.655; CS::boxing_unboxing:0.613; CS::constant_expression_conversions:0.398
13,exceptions_resources,3.843092,6,CS::exception_filters:0.742; CS::using_dispose_pattern:0.742; GEN::defer_cleanup:0.668; GEN::exception_try:0.640; GEN::throw_raise:0.616; CS::try_finally_unwind:0.435
14,metaprogramming_core,3.813942,6,GEN::ir:0.724; GEN::bytecode_vm:0.688; GEN::code_generation:0.653; GEN::optimizer:0.634; GEN::macro:0.592; GEN::compile_time_eval:0.524
15,declarations,3.667765,5,CS::primary_constructors:0.862; CS::global_usings_file_namespace:0.800; CS::top_level_statements:0.758; CS::required_members:0.738; CS::partial_types_methods:0.510
16,object_members,3.368259,4,CS::properties_accessors:0.919; CS::events:0.832; CS::indexers:0.824; CS::delegates_multicast:0.793
17,memory_core,2.713399,4,GEN::ffi:0.796; GEN::layout_alignment:0.733; GEN::abi_calling_convention:0.733; GEN::gc:0.451
18,types_nullability,2.304933,4,CS::nullable_reference_annotations:0.671; CS::null_forgiving_operator:0.560; CS::nullable_flow_analysis:0.554; CS::nullable_value_types:0.519
19,unsafe_memory,2.17692,3,CS::fixed_and_pinning:0.758; CS::stackalloc:0.737; CS::unsafe_pointer_ops:0.682
20,bindings_core,2.151889,4,GEN::scope:0.653; GEN::name_resolution:0.600; GEN::shadowing:0.456; GEN::symbol_table:0.442
21,closures,1.982079,4,GEN::capture:0.665; CS::closure_capture_rewriting:0.487; CS::lambda_target_typing:0.424; GEN::closure_lambda:0.405
22,control_core,1.927455,7,GEN::goto_label:0.573; GEN::if:0.287; GEN::return:0.252; GEN::for:0.234; GEN::break:0.206; GEN::continue:0.193; GEN::while:0.182
23,metadata_runtime,1.537875,3,CS::reflection_dynamic_runtime:0.611; CS::attributes_metadata:0.464; CS::assemblies_modules_metadata:0.463
24,metaprogramming,1.297553,2,CS::expression_trees:0.685; CS::source_generators_compiletime:0.613
25,null_control,1.242154,2,CS::conditional_access:0.697; CS::null_coalescing:0.545
26,types_dynamic,0.71953,1,CS::dynamic_type_binding:0.720
27,types_tuples,0.624777,1,CS::tuple_names_and_conversion:0.625
28,types_numeric,0.586232,1,CS::native_integer_nint_nuint:0.586
29,types_inference,0.385175,1,CS::target_typed_expressions:0.385
