feature,family,docs,expression_evaluator,ide_csharp_features,language_server,other,razor,roslyn_compiler_core,roslyn_compiler_tests,roslyn_csharp_binder,roslyn_csharp_bound_tree,roslyn_csharp_flow,roslyn_csharp_lowering,roslyn_csharp_parser_syntax,roslyn_csharp_portable,roslyn_csharp_symbols,tests_other
nullable_value_types,types_nullability,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
nullable_reference_annotations,types_nullability,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
nullable_flow_analysis,types_nullability,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
implicit_numeric_conversions,types_conversions,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
explicit_numeric_conversions,types_conversions,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
boxing_unboxing,types_conversions,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
user_defined_conversions,types_conversions,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
constant_expression_conversions,types_conversions,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dynamic_type_binding,types_dynamic,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
native_integer_nint_nuint,types_numeric,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
generic_variance,types_generics,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
generic_constraints,types_generics,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
generic_type_inference,types_generics,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
target_typed_expressions,types_inference,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tuple_names_and_conversion,types_tuples,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
class_inheritance,object_model,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
interface_implementation,object_model,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
struct_value_semantics,object_model,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
record_semantics,object_model,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
properties_accessors,object_members,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
indexers,object_members,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
events,object_members,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
delegates_multicast,object_members,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
extension_methods,call_resolution,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
partial_types_methods,declarations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
required_members,declarations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
primary_constructors,declarations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
static_abstract_interface_members,object_model,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
default_interface_members,object_model,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
virtual_override_new_dispatch,object_model,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
overload_resolution_csharp,call_resolution,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
named_optional_arguments,call_resolution,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
params_collections,call_resolution,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
method_group_conversion,call_resolution,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
operator_overloading,call_resolution,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lambda_target_typing,closures,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
closure_capture_rewriting,closures,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
expression_trees,metaprogramming,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
switch_expressions,patterns_control,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
type_patterns,patterns_control,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
relational_logical_patterns,patterns_control,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
property_positional_patterns,patterns_control,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
list_patterns,patterns_control,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
pattern_variable_scope,patterns_control,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
pattern_exhaustiveness,patterns_control,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
conditional_access,null_control,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
null_coalescing,null_control,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
null_forgiving_operator,types_nullability,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
async_await_csharp,async_iterators,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
async_state_machine,async_iterators,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
await_foreach,async_iterators,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
await_using,async_iterators,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
yield_iterators,async_iterators,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
iterator_state_machine,async_iterators,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
foreach_pattern,async_iterators,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
exception_filters,exceptions_resources,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
using_dispose_pattern,exceptions_resources,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
try_finally_unwind,exceptions_resources,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
checked_unchecked_context,types_conversions,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ref_out_in_parameters,refs_memory,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ref_returns_locals,refs_memory,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
readonly_refs,refs_memory,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
scoped_refs_escape_analysis,refs_memory,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ref_structs,refs_memory,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
span_like_semantics,refs_memory,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
stackalloc,unsafe_memory,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
fixed_and_pinning,unsafe_memory,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
unsafe_pointer_ops,unsafe_memory,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
volatile_semantics,concurrency_memory,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
lock_monitor_semantics,concurrency_memory,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
interlocked_atomic_semantics,concurrency_memory,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
attributes_metadata,metadata_runtime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
assemblies_modules_metadata,metadata_runtime,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
explicit_interface_impl,object_model,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
reflection_dynamic_runtime,metadata_runtime,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
top_level_statements,declarations,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
global_usings_file_namespace,declarations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
source_generators_compiletime,metaprogramming,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
