semanticprogram_axis,propagated_gap
types.structure,10.877911
runtime.contract,8.929025
operations,8.900125
binding.graph,7.679514
conversion.semantics,7.087312
control.flow,5.974565
nodes.declaration,5.620669
scope.binding,5.467937
types.origin,4.904699
evaluation.order,4.562752
effect.graph,4.465125
memory.model,3.589366
ownership.lifetime,3.579971
data.flow,2.979765
compiletime.semantics,2.965403
lowering.pipeline,2.710874
nodes.expression,2.578581
dialect.extension,2.35115
abi.ffi,2.092573
synchronization,1.823523
capture.shadowing,1.727139
effects.control,1.680343
memory.ordering,1.664263
purity,1.661392
concurrency.model,1.152442
