feature,family,importance,coverage,base_gap,notes
nullable_value_types,types_nullability,0.700523,0.5643,0.305218,Nullable<T> value semantics
nullable_reference_annotations,types_nullability,0.700523,0.3643,0.445322,NRT annotation state
nullable_flow_analysis,types_nullability,0.545198,0.1643,0.455622,flow-state nullability
implicit_numeric_conversions,types_conversions,0.700523,0.3643,0.445322,C# implicit numeric conversion lattice
explicit_numeric_conversions,types_conversions,0.700523,0.3643,0.445322,checked/unchecked explicit conversion
boxing_unboxing,types_conversions,0.62593,0.2214,0.487349,CLR boxing/unboxing semantics
user_defined_conversions,types_conversions,0.700523,0.1286,0.610436,operator implicit/explicit resolution
constant_expression_conversions,types_conversions,0.326453,0.1643,0.272817,compile-time constant conversions
dynamic_type_binding,types_dynamic,0.62593,0.1186,0.551695,dynamic call-site binding
native_integer_nint_nuint,types_numeric,0.673547,0.2214,0.524423,native-sized integer semantics
generic_variance,types_generics,0.700523,0.2143,0.550401,in/out variance
generic_constraints,types_generics,0.700523,0.3786,0.435305,class/struct/unmanaged/notnull/new/interface constraints
generic_type_inference,types_generics,0.326453,0.1286,0.284471,generic method type inference
target_typed_expressions,types_inference,0.326453,0.1143,0.28914,target-typed new/default/lambda/etc
tuple_names_and_conversion,types_tuples,0.700523,0.2643,0.515375,tuple element names and tuple conversions
class_inheritance,object_model,0.700523,0.3357,0.465357,base class semantics
interface_implementation,object_model,0.700523,0.3357,0.465357,interface implementation map
struct_value_semantics,object_model,0.673547,0.2214,0.524423,copy/value semantics
record_semantics,object_model,0.673547,0.13,0.585986,synthesized equality/clone/deconstruct
properties_accessors,object_members,1.0,0.1986,0.8014,get/set/init accessor semantics
indexers,object_members,0.700523,0.1871,0.569455,indexed properties
events,object_members,0.673547,0.1414,0.578307,event add/remove backing semantics
delegates_multicast,object_members,0.673547,0.1714,0.558101,delegate conversion/invocation/combine
extension_methods,call_resolution,0.700523,0.1114,0.622485,extension candidate lookup
partial_types_methods,declarations,0.37407,0.2371,0.285378,multi-part declaration merge
required_members,declarations,0.700523,0.1229,0.614429,required initialization contract
primary_constructors,declarations,0.700523,0.1371,0.604481,primary constructor scope/capture
static_abstract_interface_members,object_model,0.700523,0.0786,0.645462,generic math/static dispatch
default_interface_members,object_model,0.700523,0.1186,0.617441,default interface dispatch
virtual_override_new_dispatch,object_model,1.0,0.1686,0.8314,virtual slot/override/hiding semantics
overload_resolution_csharp,call_resolution,0.326453,0.1286,0.284471,better function member rules
named_optional_arguments,call_resolution,0.326453,0.4729,0.172074,named/default parameter mapping
params_collections,call_resolution,0.62593,0.1143,0.554387,params array/collection expansion
method_group_conversion,call_resolution,0.326453,0.1286,0.284471,method group to delegate/expression tree
operator_overloading,call_resolution,0.326453,0.1786,0.268149,user-defined operator selection
lambda_target_typing,closures,0.326453,0.1786,0.268149,anonymous function target typing
closure_capture_rewriting,closures,0.518221,0.1429,0.444168,display classes/capture lifetime
expression_trees,metaprogramming,0.62593,0.08,0.575856,quoted expression-tree semantics
switch_expressions,patterns_control,0.62593,0.1971,0.50256,expression-valued switch
type_patterns,patterns_control,0.545198,0.1786,0.447825,type-test binding
relational_logical_patterns,patterns_control,0.545198,0.0971,0.492259,relational/and/or/not patterns
property_positional_patterns,patterns_control,0.545198,0.1114,0.484463,recursive deconstruction/property tests
list_patterns,patterns_control,0.545198,0.0643,0.510141,list/slice patterns
pattern_variable_scope,patterns_control,0.545198,0.1114,0.484463,flow-dependent pattern variable scope
pattern_exhaustiveness,patterns_control,0.218744,0.0471,0.208441,exhaustiveness/reachability analysis
conditional_access,null_control,0.62593,0.1586,0.526658,?. short-circuit semantics
null_coalescing,null_control,0.62593,0.4086,0.370175,?? and ??= semantics
null_forgiving_operator,types_nullability,0.545198,0.1143,0.482882,compile-time null-state suppression
async_await_csharp,async_iterators,0.62593,0.1543,0.529349,awaiter protocol and suspension
async_state_machine,async_iterators,0.299477,0.05,0.284503,generated async state machine
await_foreach,async_iterators,0.62593,0.0586,0.589251,async enumeration
await_using,async_iterators,0.62593,0.0657,0.584807,async disposal
yield_iterators,async_iterators,0.62593,0.1,0.563337,yield return/break
iterator_state_machine,async_iterators,0.299477,0.05,0.284503,enumerator state machine
foreach_pattern,async_iterators,0.62593,0.1614,0.524905,GetEnumerator pattern incl ref foreach
exception_filters,exceptions_resources,0.62593,0.1157,0.55351,catch when filter ordering
using_dispose_pattern,exceptions_resources,0.62593,0.1157,0.55351,using/IDisposable pattern
try_finally_unwind,exceptions_resources,0.299477,0.2157,0.23488,finally and exceptional unwind
checked_unchecked_context,types_conversions,0.62593,0.1714,0.518646,overflow context
ref_out_in_parameters,refs_memory,0.700523,0.1757,0.577441,byref parameter modes
ref_returns_locals,refs_memory,0.545198,0.1143,0.482882,managed byref aliases
readonly_refs,refs_memory,0.700523,0.1086,0.624446,readonly ref semantics
scoped_refs_escape_analysis,refs_memory,0.545198,0.0471,0.519519,ref-safety escape scopes
ref_structs,refs_memory,0.592814,0.0643,0.554696,stack-only/ref-like restrictions
span_like_semantics,refs_memory,0.62593,0.0643,0.585683,span conversion/indexing/ref safety
stackalloc,unsafe_memory,0.62593,0.0971,0.565153,stack allocation lifetime
fixed_and_pinning,unsafe_memory,0.62593,0.0543,0.591942,fixed/pinning semantics
unsafe_pointer_ops,unsafe_memory,0.62593,0.1471,0.533856,pointer arithmetic/deref
volatile_semantics,concurrency_memory,0.62593,0.0543,0.591942,volatile field semantics
lock_monitor_semantics,concurrency_memory,0.299477,0.1157,0.264828,lock -> Monitor enter/exit
interlocked_atomic_semantics,concurrency_memory,0.668932,0.0543,0.632609,atomic interlocked contract
attributes_metadata,metadata_runtime,0.37407,0.18,0.306737,attribute binding/emission
assemblies_modules_metadata,metadata_runtime,0.359153,0.05,0.341195,CLR assembly/module metadata
explicit_interface_impl,object_model,0.700523,0.1186,0.617441,explicit interface member binding
reflection_dynamic_runtime,metadata_runtime,0.442592,0.0543,0.418559,reflection/dynamic runtime interaction
top_level_statements,declarations,0.62593,0.1329,0.542744,implicit entrypoint program
global_usings_file_namespace,declarations,0.700523,0.1614,0.587458,global using/file-scoped namespace
source_generators_compiletime,metaprogramming,0.44488,0.0471,0.423926,compile-time source generation boundary
