target,table_index,primitive,kernel,route,executable_path
go,0,if,language,go:language:if,kernel_runtime
go,1,while,language,go:language:while,kernel_runtime
go,2,for,language,go:language:for,kernel_runtime
go,3,repeat,language,go:language:repeat,kernel_runtime
go,4,break,language,go:language:break,kernel_runtime
go,5,next,language,go:language:next,kernel_runtime
go,6,return,language,go:language:return,kernel_runtime
go,7,function,language,go:language:function,kernel_runtime
go,8,<-,replacement,go:replacement:<-,kernel_runtime
go,9,=,language,go:language:=,kernel_runtime
go,10,<<-,replacement,go:replacement:<<-,kernel_runtime
go,11,{,language,go:language:{,kernel_runtime
go,12,(,language,go:language:(,kernel_runtime
go,13,.subset,subset,go:subset:.subset,kernel_runtime
go,14,.subset2,subset,go:subset:.subset2,kernel_runtime
go,15,[,subset,go:subset:[,kernel_runtime
go,16,[[,subset,go:subset:[[,kernel_runtime
go,17,$,subset,go:subset:$,kernel_runtime
go,18,@,language,go:language:@,kernel_runtime
go,19,[<-,replacement,go:replacement:[<-,kernel_runtime
go,20,[[<-,replacement,go:replacement:[[<-,kernel_runtime
go,21,$<-,replacement,go:replacement:$<-,kernel_runtime
go,22,switch,language,go:language:switch,kernel_runtime
go,23,browser,language,go:language:browser,kernel_runtime
go,24,.primTrace,runtime,go:runtime:.primTrace,kernel_runtime
go,25,.primUntrace,runtime,go:runtime:.primUntrace,kernel_runtime
go,26,.Internal,language,go:language:.Internal,kernel_runtime
go,27,.Primitive,runtime,go:runtime:.Primitive,kernel_runtime
go,28,call,language,go:language:call,kernel_runtime
go,29,quote,language,go:language:quote,kernel_runtime
go,30,substitute,character,go:character:substitute,kernel_runtime
go,31,missing,language,go:language:missing,kernel_runtime
go,32,nargs,runtime,go:runtime:nargs,kernel_runtime
go,33,on.exit,language,go:language:on.exit,kernel_runtime
go,34,forceAndCall,language,go:language:forceAndCall,kernel_runtime
go,35,declare,language,go:language:declare,kernel_runtime
go,36,stop,runtime,go:runtime:stop,kernel_runtime
go,37,warning,runtime,go:runtime:warning,kernel_runtime
go,38,gettext,environment,go:environment:gettext,kernel_runtime
go,39,ngettext,environment,go:environment:ngettext,kernel_runtime
go,40,bindtextdomain,runtime,go:runtime:bindtextdomain,kernel_runtime
go,41,.addCondHands,runtime,go:runtime:.addCondHands,kernel_runtime
go,42,.addGlobHands,runtime,go:runtime:.addGlobHands,kernel_runtime
go,43,.resetCondHands,runtime,go:runtime:.resetCondHands,kernel_runtime
go,44,.signalCondition,runtime,go:runtime:.signalCondition,kernel_runtime
go,45,.dfltStop,runtime,go:runtime:.dfltStop,kernel_runtime
go,46,.dfltWarn,runtime,go:runtime:.dfltWarn,kernel_runtime
go,47,.addRestart,runtime,go:runtime:.addRestart,kernel_runtime
go,48,.getRestart,environment,go:environment:.getRestart,kernel_runtime
go,49,.invokeRestart,runtime,go:runtime:.invokeRestart,kernel_runtime
go,50,.addTryHandlers,runtime,go:runtime:.addTryHandlers,kernel_runtime
go,51,geterrmessage,environment,go:environment:geterrmessage,kernel_runtime
go,52,seterrmessage,runtime,go:runtime:seterrmessage,kernel_runtime
go,53,printDeferredWarnings,runtime,go:runtime:printDeferredWarnings,kernel_runtime
go,54,interruptsSuspended,runtime,go:runtime:interruptsSuspended,kernel_runtime
go,55,as.function.default,runtime,go:runtime:as.function.default,kernel_runtime
go,56,debug,runtime,go:runtime:debug,kernel_runtime
go,57,undebug,runtime,go:runtime:undebug,kernel_runtime
go,58,isdebugged,runtime,go:runtime:isdebugged,kernel_runtime
go,59,debugonce,runtime,go:runtime:debugonce,kernel_runtime
go,60,Recall,language,go:language:Recall,kernel_runtime
go,61,delayedAssign,runtime,go:runtime:delayedAssign,kernel_runtime
go,62,makeLazy,runtime,go:runtime:makeLazy,kernel_runtime
go,63,identical,runtime,go:runtime:identical,kernel_runtime
go,64,C_tryCatchHelper,runtime,go:runtime:C_tryCatchHelper,kernel_runtime
go,65,getNamespaceValue,environment,go:environment:getNamespaceValue,kernel_runtime
go,66,+,arithmetic,go:arithmetic:+,kernel_runtime
go,67,-,arithmetic,go:arithmetic:-,kernel_runtime
go,68,*,arithmetic,go:arithmetic:*,kernel_runtime
go,69,/,arithmetic,go:arithmetic:/,kernel_runtime
