source,r,go,rust,cpp,c,python,zig,julia,nim,csharp,java,kotlin,swift
r,identity,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR
go,CIR,identity,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR
rust,CIR,CIR,identity,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR
cpp,CIR,CIR,CIR,identity,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR
c,CIR,CIR,CIR,CIR,identity,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR
python,CIR,CIR,CIR,CIR,CIR,identity,CIR,CIR,CIR,CIR,CIR,CIR,CIR
zig,CIR,CIR,CIR,CIR,CIR,CIR,identity,CIR,CIR,CIR,CIR,CIR,CIR
julia,CIR,CIR,CIR,CIR,CIR,CIR,CIR,identity,CIR,CIR,CIR,CIR,CIR
nim,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,identity,CIR,CIR,CIR,CIR
csharp,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,identity,CIR,CIR,CIR
java,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,identity,CIR,CIR
kotlin,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,identity,CIR
swift,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,CIR,identity
