target,table_index,name,kernel,status,strategy
go,0,if,language,routed,matrix_dispatch
go,1,while,language,routed,matrix_dispatch
go,2,for,language,routed,matrix_dispatch
go,3,repeat,language,routed,matrix_dispatch
go,4,break,language,routed,matrix_dispatch
go,5,next,language,routed,matrix_dispatch
go,6,return,language,routed,matrix_dispatch
go,7,function,language,routed,matrix_dispatch
go,8,<-,replacement,routed,matrix_dispatch
go,9,=,language,routed,matrix_dispatch
go,10,<<-,replacement,routed,matrix_dispatch
go,11,{,language,routed,matrix_dispatch
go,12,(,language,routed,matrix_dispatch
go,13,.subset,subset,routed,matrix_dispatch
go,14,.subset2,subset,routed,matrix_dispatch
go,15,[,subset,routed,matrix_dispatch
go,16,[[,subset,routed,matrix_dispatch
go,17,$,subset,routed,matrix_dispatch
go,18,@,language,routed,matrix_dispatch
go,19,[<-,replacement,routed,matrix_dispatch
go,20,[[<-,replacement,routed,matrix_dispatch
go,21,$<-,replacement,routed,matrix_dispatch
go,22,switch,language,routed,matrix_dispatch
go,23,browser,language,routed,matrix_dispatch
go,24,.primTrace,runtime,routed,matrix_dispatch
go,25,.primUntrace,runtime,routed,matrix_dispatch
go,26,.Internal,language,routed,matrix_dispatch
go,27,.Primitive,runtime,routed,matrix_dispatch
go,28,call,language,routed,matrix_dispatch
go,29,quote,language,routed,matrix_dispatch
go,30,substitute,character,routed,matrix_dispatch
go,31,missing,language,routed,matrix_dispatch
go,32,nargs,runtime,routed,matrix_dispatch
go,33,on.exit,language,routed,matrix_dispatch
go,34,forceAndCall,language,routed,matrix_dispatch
go,35,declare,language,routed,matrix_dispatch
go,36,stop,runtime,routed,matrix_dispatch
go,37,warning,runtime,routed,matrix_dispatch
go,38,gettext,environment,routed,matrix_dispatch
go,39,ngettext,environment,routed,matrix_dispatch
go,40,bindtextdomain,runtime,routed,matrix_dispatch
go,41,.addCondHands,runtime,routed,matrix_dispatch
go,42,.addGlobHands,runtime,routed,matrix_dispatch
go,43,.resetCondHands,runtime,routed,matrix_dispatch
go,44,.signalCondition,runtime,routed,matrix_dispatch
go,45,.dfltStop,runtime,routed,matrix_dispatch
go,46,.dfltWarn,runtime,routed,matrix_dispatch
go,47,.addRestart,runtime,routed,matrix_dispatch
go,48,.getRestart,environment,routed,matrix_dispatch
go,49,.invokeRestart,runtime,routed,matrix_dispatch
go,50,.addTryHandlers,runtime,routed,matrix_dispatch
go,51,geterrmessage,environment,routed,matrix_dispatch
go,52,seterrmessage,runtime,routed,matrix_dispatch
go,53,printDeferredWarnings,runtime,routed,matrix_dispatch
go,54,interruptsSuspended,runtime,routed,matrix_dispatch
go,55,as.function.default,runtime,routed,matrix_dispatch
go,56,debug,runtime,routed,matrix_dispatch
go,57,undebug,runtime,routed,matrix_dispatch
go,58,isdebugged,runtime,routed,matrix_dispatch
go,59,debugonce,runtime,routed,matrix_dispatch
go,60,Recall,language,routed,matrix_dispatch
go,61,delayedAssign,runtime,routed,matrix_dispatch
go,62,makeLazy,runtime,routed,matrix_dispatch
go,63,identical,runtime,routed,matrix_dispatch
go,64,C_tryCatchHelper,runtime,routed,matrix_dispatch
go,65,getNamespaceValue,environment,routed,matrix_dispatch
go,66,+,arithmetic,routed,matrix_dispatch
go,67,-,arithmetic,routed,matrix_dispatch
go,68,*,arithmetic,routed,matrix_dispatch
go,69,/,arithmetic,routed,matrix_dispatch
go,70,^,arithmetic,routed,matrix_dispatch
go,71,%%,arithmetic,routed,matrix_dispatch
go,72,%/%,arithmetic,routed,matrix_dispatch
go,73,%*%,matrix,routed,matrix_dispatch
go,74,==,relational,routed,matrix_dispatch
go,75,!=,relational,routed,matrix_dispatch
go,76,<,relational,routed,matrix_dispatch
go,77,<=,relational,routed,matrix_dispatch
go,78,>=,relational,routed,matrix_dispatch
go,79,>,relational,routed,matrix_dispatch
go,80,&,logical,routed,matrix_dispatch
go,81,|,logical,routed,matrix_dispatch
go,82,!,logical,routed,matrix_dispatch
go,83,&&,logical-short-circuit,routed,matrix_dispatch
go,84,||,logical-short-circuit,routed,matrix_dispatch
go,85,:,runtime,routed,matrix_dispatch
go,86,~,language,routed,matrix_dispatch
go,87,::,language,routed,matrix_dispatch
go,88,:::,language,routed,matrix_dispatch
go,89,all,logical-reduction,routed,matrix_dispatch
go,90,any,logical-reduction,routed,matrix_dispatch
go,91,...elt,environment,routed,matrix_dispatch
go,92,...length,environment,routed,matrix_dispatch
go,93,...names,attribute,routed,matrix_dispatch
go,94,length,matrix,routed,matrix_dispatch
go,95,length<-,replacement,routed,matrix_dispatch
go,96,oldClass,attribute,routed,matrix_dispatch
go,97,oldClass<-,replacement,routed,matrix_dispatch
go,98,class,attribute,routed,matrix_dispatch
go,99,.cache_class,attribute,routed,matrix_dispatch
go,100,.class2,attribute,routed,matrix_dispatch
go,101,class<-,replacement,routed,matrix_dispatch
go,102,unclass,attribute,routed,matrix_dispatch
go,103,names,attribute,routed,matrix_dispatch
go,104,names<-,replacement,routed,matrix_dispatch
go,105,dimnames,attribute,routed,matrix_dispatch
go,106,dimnames<-,replacement,routed,matrix_dispatch
go,107,dim,attribute,routed,matrix_dispatch
go,108,dim<-,replacement,routed,matrix_dispatch
go,109,attributes,attribute,routed,matrix_dispatch
go,110,attributes<-,replacement,routed,matrix_dispatch
go,111,attr,attribute,routed,matrix_dispatch
go,112,attr<-,replacement,routed,matrix_dispatch
go,113,@<-,replacement,routed,matrix_dispatch
go,114,levels<-,replacement,routed,matrix_dispatch
go,115,vector,runtime,routed,matrix_dispatch
go,116,complex,numeric-complex,routed,matrix_dispatch
go,117,matrix,matrix,routed,matrix_dispatch
go,118,array,matrix,routed,matrix_dispatch
go,119,diag,matrix,routed,matrix_dispatch
go,120,backsolve,matrix,routed,matrix_dispatch
go,121,max.col,matrix,routed,matrix_dispatch
go,122,row,matrix,routed,matrix_dispatch
go,123,col,matrix,routed,matrix_dispatch
