table_index,name,kernel,arity,go,rust,cpp,c,python,zig,julia,nim,csharp,java,kotlin,swift
0,if,language,-1,go:language:if,rust:language:if,cpp:language:if,c:language:if,python:language:if,zig:language:if,julia:language:if,nim:language:if,csharp:language:if,java:language:if,kotlin:language:if,swift:language:if
1,while,language,2,go:language:while,rust:language:while,cpp:language:while,c:language:while,python:language:while,zig:language:while,julia:language:while,nim:language:while,csharp:language:while,java:language:while,kotlin:language:while,swift:language:while
2,for,language,3,go:language:for,rust:language:for,cpp:language:for,c:language:for,python:language:for,zig:language:for,julia:language:for,nim:language:for,csharp:language:for,java:language:for,kotlin:language:for,swift:language:for
3,repeat,language,1,go:language:repeat,rust:language:repeat,cpp:language:repeat,c:language:repeat,python:language:repeat,zig:language:repeat,julia:language:repeat,nim:language:repeat,csharp:language:repeat,java:language:repeat,kotlin:language:repeat,swift:language:repeat
4,break,language,0,go:language:break,rust:language:break,cpp:language:break,c:language:break,python:language:break,zig:language:break,julia:language:break,nim:language:break,csharp:language:break,java:language:break,kotlin:language:break,swift:language:break
5,next,language,0,go:language:next,rust:language:next,cpp:language:next,c:language:next,python:language:next,zig:language:next,julia:language:next,nim:language:next,csharp:language:next,java:language:next,kotlin:language:next,swift:language:next
6,return,language,-1,go:language:return,rust:language:return,cpp:language:return,c:language:return,python:language:return,zig:language:return,julia:language:return,nim:language:return,csharp:language:return,java:language:return,kotlin:language:return,swift:language:return
7,function,language,-1,go:language:function,rust:language:function,cpp:language:function,c:language:function,python:language:function,zig:language:function,julia:language:function,nim:language:function,csharp:language:function,java:language:function,kotlin:language:function,swift:language:function
8,<-,replacement,-1,go:replacement:<-,rust:replacement:<-,cpp:replacement:<-,c:replacement:<-,python:replacement:<-,zig:replacement:<-,julia:replacement:<-,nim:replacement:<-,csharp:replacement:<-,java:replacement:<-,kotlin:replacement:<-,swift:replacement:<-
9,=,language,-1,go:language:=,rust:language:=,cpp:language:=,c:language:=,python:language:=,zig:language:=,julia:language:=,nim:language:=,csharp:language:=,java:language:=,kotlin:language:=,swift:language:=
10,<<-,replacement,-1,go:replacement:<<-,rust:replacement:<<-,cpp:replacement:<<-,c:replacement:<<-,python:replacement:<<-,zig:replacement:<<-,julia:replacement:<<-,nim:replacement:<<-,csharp:replacement:<<-,java:replacement:<<-,kotlin:replacement:<<-,swift:replacement:<<-
11,{,language,-1,go:language:{,rust:language:{,cpp:language:{,c:language:{,python:language:{,zig:language:{,julia:language:{,nim:language:{,csharp:language:{,java:language:{,kotlin:language:{,swift:language:{
12,(,language,1,go:language:(,rust:language:(,cpp:language:(,c:language:(,python:language:(,zig:language:(,julia:language:(,nim:language:(,csharp:language:(,java:language:(,kotlin:language:(,swift:language:(
13,.subset,subset,-1,go:subset:.subset,rust:subset:.subset,cpp:subset:.subset,c:subset:.subset,python:subset:.subset,zig:subset:.subset,julia:subset:.subset,nim:subset:.subset,csharp:subset:.subset,java:subset:.subset,kotlin:subset:.subset,swift:subset:.subset
14,.subset2,subset,-1,go:subset:.subset2,rust:subset:.subset2,cpp:subset:.subset2,c:subset:.subset2,python:subset:.subset2,zig:subset:.subset2,julia:subset:.subset2,nim:subset:.subset2,csharp:subset:.subset2,java:subset:.subset2,kotlin:subset:.subset2,swift:subset:.subset2
15,[,subset,-1,go:subset:[,rust:subset:[,cpp:subset:[,c:subset:[,python:subset:[,zig:subset:[,julia:subset:[,nim:subset:[,csharp:subset:[,java:subset:[,kotlin:subset:[,swift:subset:[
16,[[,subset,-1,go:subset:[[,rust:subset:[[,cpp:subset:[[,c:subset:[[,python:subset:[[,zig:subset:[[,julia:subset:[[,nim:subset:[[,csharp:subset:[[,java:subset:[[,kotlin:subset:[[,swift:subset:[[
17,$,subset,2,go:subset:$,rust:subset:$,cpp:subset:$,c:subset:$,python:subset:$,zig:subset:$,julia:subset:$,nim:subset:$,csharp:subset:$,java:subset:$,kotlin:subset:$,swift:subset:$
18,@,language,2,go:language:@,rust:language:@,cpp:language:@,c:language:@,python:language:@,zig:language:@,julia:language:@,nim:language:@,csharp:language:@,java:language:@,kotlin:language:@,swift:language:@
19,[<-,replacement,3,go:replacement:[<-,rust:replacement:[<-,cpp:replacement:[<-,c:replacement:[<-,python:replacement:[<-,zig:replacement:[<-,julia:replacement:[<-,nim:replacement:[<-,csharp:replacement:[<-,java:replacement:[<-,kotlin:replacement:[<-,swift:replacement:[<-
20,[[<-,replacement,3,go:replacement:[[<-,rust:replacement:[[<-,cpp:replacement:[[<-,c:replacement:[[<-,python:replacement:[[<-,zig:replacement:[[<-,julia:replacement:[[<-,nim:replacement:[[<-,csharp:replacement:[[<-,java:replacement:[[<-,kotlin:replacement:[[<-,swift:replacement:[[<-
21,$<-,replacement,3,go:replacement:$<-,rust:replacement:$<-,cpp:replacement:$<-,c:replacement:$<-,python:replacement:$<-,zig:replacement:$<-,julia:replacement:$<-,nim:replacement:$<-,csharp:replacement:$<-,java:replacement:$<-,kotlin:replacement:$<-,swift:replacement:$<-
22,switch,language,-1,go:language:switch,rust:language:switch,cpp:language:switch,c:language:switch,python:language:switch,zig:language:switch,julia:language:switch,nim:language:switch,csharp:language:switch,java:language:switch,kotlin:language:switch,swift:language:switch
23,browser,language,-1,go:language:browser,rust:language:browser,cpp:language:browser,c:language:browser,python:language:browser,zig:language:browser,julia:language:browser,nim:language:browser,csharp:language:browser,java:language:browser,kotlin:language:browser,swift:language:browser
24,.primTrace,runtime,1,go:runtime:.primTrace,rust:runtime:.primTrace,cpp:runtime:.primTrace,c:runtime:.primTrace,python:runtime:.primTrace,zig:runtime:.primTrace,julia:runtime:.primTrace,nim:runtime:.primTrace,csharp:runtime:.primTrace,java:runtime:.primTrace,kotlin:runtime:.primTrace,swift:runtime:.primTrace
