uast_node_kind,layer,required_fields,required_relations,source_features,current_semanticprogram_v1
Binding,analysis,id;kind;name;scope;type,binding.graph;scope.graph,symbol_table,present_or_encodable
BindingResolution,analysis,binding;reference,binding.graph,name_resolution,needs_extension_or_explicit_kind
CaptureRelation,analysis,binding;closure;mode,binding.graph;capture.graph,capture,needs_extension_or_explicit_kind
DispatchResolution,analysis,candidates;reason;selected,dispatch.graph;types.graph,overload_resolution,needs_extension_or_explicit_kind
Effect,analysis,effect=filesystem.*;effect=global.read/write;effect=io.read/io.write;effect=memory.allocate;effect=network.*;effect=random;effect=state/memory.write;effect=time;region,binding.graph;data.flow;effect.graph;memory.graph,allocation;filesystem;global_state;io;mutation;network;random;time,present_or_encodable
IRFact,analysis,level;lowering;operation,lowering.graph,ir,needs_extension_or_explicit_kind
LifetimeRegion,analysis,borrowers;owner;region,lifetime.graph;memory.graph,lifetime,needs_extension_or_explicit_kind
LoweringFact,analysis,backend;source_ir;target_ir,lowering.graph,code_generation,needs_extension_or_explicit_kind
OptimizationFact,analysis,pass;preconditions;preserves,contract.graph;lowering.graph,optimizer,needs_extension_or_explicit_kind
Scope,analysis,id;kind;parent,scope.graph,scope,present_or_encodable
ShadowingRelation,analysis,inner;outer,binding.graph;scope.graph,shadowing,needs_extension_or_explicit_kind
TypeInferenceFact,analysis,constraints;inferred_type;origin,constraint.graph;types.graph,type_inference,needs_extension_or_explicit_kind
TypeRelation,analysis,relation;source;target,types.graph,subtyping,needs_extension_or_explicit_kind
ABIContract,core,calling_convention;parameter/result ABI,abi.graph;types.graph,abi_calling_convention,needs_extension_or_explicit_kind
AddressOf,core,addressability;element;nil,data.flow;memory.graph;types.graph,go-specific,needs_extension_or_explicit_kind
AggregateExpr,core,aggregate_kind=array/list;aggregate_kind=map/dict;aggregate_kind=set;elements;entries;type,data.flow;effect.graph,array_list;map_dict;set,needs_extension_or_explicit_kind
Annotation,core,args;name;retention;target,annotation.graph,attribute_annotation,needs_extension_or_explicit_kind
ArraySliceType,core,element;length;shape;view_semantics,types.graph,array_type,present_or_encodable
AssignStmt,core,evaluation_order;operation;targets;values,binding.graph;data.flow;effect.graph,assignment,present_or_encodable
AtomicOp,core,memory_order;operation;type,concurrency.graph;effect.graph;memory.graph,atomic,needs_extension_or_explicit_kind
AwaitExpr,core,error_semantics;task;value,concurrency.graph;control.flow;effect.graph,await,needs_extension_or_explicit_kind
BindingPattern,core,bindings;children;pattern_kind,binding.graph;data.flow,pattern,needs_extension_or_explicit_kind
BoolType,core,representation,types.graph,primitive_bool,present_or_encodable
BreakStmt,core,target;value,control.flow,break,present_or_encodable
CallExpr,core,args;callee;dispatch;evaluation_order;type_args,call.graph;data.flow;effect.graph,call,present_or_encodable
ChannelType,core,buffering;direction;element;send/receive/close,concurrency.graph;data.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
ChannelTypeOp,core,close;direction;element;receive;send,concurrency.graph;data.flow;effect.graph,channel,needs_extension_or_explicit_kind
CloseOp,core,buffering;direction;element;send/receive/close,concurrency.graph;data.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
ClosureExpr,core,body;captures;parameters;type,binding.graph;capture.graph;effect.graph,closure_lambda,present_or_encodable
CompileTimeEval,core,environment;expression;result,compiletime.graph;data.flow,compile_time_eval,needs_extension_or_explicit_kind
ConcurrencyOp,core,join/cancel;kind=task/future;kind=thread/goroutine/spawn,concurrency.graph;control.flow;effect.graph,task_async;thread,needs_extension_or_explicit_kind
ConstantDecl,core,binding;compile_time;type;value,binding.graph;data.flow,constant,needs_extension_or_explicit_kind
ContinueStmt,core,target,control.flow,continue,present_or_encodable
ConvertExpr,core,mode;source_type;target_type,data.flow;types.graph,cast_conversion,needs_extension_or_explicit_kind
DeferCleanupStmt,core,call/body;execution_time;order,control.flow;effect.graph,defer_cleanup,needs_extension_or_explicit_kind
DeferStmt,core,args;call;evaluate_now;execute_on_return;lifo,control.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
Deref,core,addressability;element;nil,data.flow;memory.graph;types.graph,go-specific,needs_extension_or_explicit_kind
DispatchSemantics,core,dynamic_target_set;mode,dispatch.graph;types.graph,dynamic_dispatch,needs_extension_or_explicit_kind
