failure_id,truth_id,violated
RC0061,T0085,1,primitive:GT
RC0061,T0087,1,operation:GT
RC0061,T0088,1,operation:GT
RC0099,T0063,1,operation:NOT
RC0046,T0063,1,operation:NOT
RC0060,T0085,1,primitive:GT
RC0060,T0087,1,operation:GT
RC0060,T0088,1,operation:GT
RC0065,T0065,1,primitive:MUL
RC0065,T0067,1,operation:MUL
RC0065,T0068,1,operation:MUL
RC0034,T0065,1,primitive:MUL
RC0034,T0067,1,operation:MUL
RC0034,T0068,1,operation:MUL
RC0098,T0065,1,primitive:MUL
RC0098,T0067,1,operation:MUL
RC0098,T0068,1,operation:MUL
RC0089,T0063,1,operation:NOT
RC0091,T0065,1,primitive:MUL
RC0091,T0067,1,operation:MUL
RC0091,T0068,1,operation:MUL
RC0082,T0072,1,operation:NE
RC0082,T0075,1,operation:EQ
RC0082,T0085,1,primitive:GT
RC0082,T0087,1,operation:GT
RC0082,T0088,1,operation:GT
RC0071,T0063,1,operation:NOT
RC0100,T0063,1,operation:NOT
RC0101,T0063,1,operation:NOT
RC0085,T0085,1,primitive:GT
RC0085,T0087,1,operation:GT
RC0085,T0088,1,operation:GT
RC0084,T0085,1,primitive:GT
RC0084,T0087,1,operation:GT
RC0084,T0088,1,operation:GT
RC0083,T0075,1,operation:EQ
RC0027,T0065,1,primitive:MUL
RC0027,T0067,1,operation:MUL
RC0027,T0068,1,operation:MUL
RC0025,T0065,1,primitive:MUL
RC0025,T0067,1,operation:MUL
RC0025,T0068,1,operation:MUL
RC0022,T0063,1,operation:NOT
RC0022,T0065,1,primitive:MUL
RC0022,T0067,1,operation:MUL
RC0022,T0068,1,operation:MUL
RC0031,T0065,1,primitive:MUL
RC0031,T0067,1,operation:MUL
RC0031,T0068,1,operation:MUL
RC0032,T0065,1,primitive:MUL
RC0032,T0067,1,operation:MUL
RC0032,T0068,1,operation:MUL
RC0033,T0065,1,primitive:MUL
RC0033,T0067,1,operation:MUL
RC0033,T0068,1,operation:MUL
RC0059,T0075,1,operation:EQ
RC0058,T0075,1,operation:EQ
RC0058,T0085,1,primitive:GT
RC0058,T0087,1,operation:GT
RC0058,T0088,1,operation:GT
RC0057,T0072,1,operation:NE
RC0057,T0075,1,operation:EQ
RC0057,T0085,1,primitive:GT
RC0057,T0087,1,operation:GT
RC0057,T0088,1,operation:GT
RC0055,T0063,1,operation:NOT
RC0107,T0063,1,operation:NOT
RC0051,T0065,1,primitive:MUL
RC0051,T0067,1,operation:MUL
RC0051,T0068,1,operation:MUL
RC0047,T0065,1,primitive:MUL
RC0047,T0067,1,operation:MUL
RC0047,T0068,1,operation:MUL
RC0044,T0075,1,operation:EQ
RC0043,T0063,1,operation:NOT
RC0043,T0075,1,operation:EQ
RC0038,T0065,1,primitive:MUL
RC0038,T0067,1,operation:MUL
RC0038,T0068,1,operation:MUL
