feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield,rust.move_semantics,rust.copy_semantics,rust.shared_borrow,rust.mutable_borrow,rust.reborrow,rust.borrow_checker,rust.nonlexical_lifetimes,rust.region_inference,rust.lifetime_parameters,rust.higher_ranked_lifetimes,rust.drop_semantics,rust.drop_check,rust.destructor_order,rust.pin_unpin,rust.interior_mutability,rust.cell_refcell,rust.smart_pointer_ownership,rust.raw_pointer_deref,rust.aliasing_model,rust.pointer_provenance,rust.unsafe_block,rust.unsafe_trait_impl,rust.trait_definition,rust.trait_impl,rust.associated_types,rust.associated_consts,rust.trait_object_dyn,rust.vtable_dispatch,rust.generic_bounds,rust.where_clauses,rust.blanket_impl,rust.coherence_orphan,rust.specialization,rust.impl_trait,rust.opaque_types,rust.method_resolution,rust.autoderef_autoref,rust.deref_coercion,rust.unsize_coercion,rust.operator_traits,rust.pattern_destructuring,rust.match_exhaustiveness,rust.match_guards,rust.ref_patterns,rust.enum_variant_semantics,rust.if_let_while_let,rust.let_else,rust.loop_break_value,rust.never_type_divergence,rust.result_question_operator,rust.option_niche_optimization,rust.panic_unwind_abort,rust.async_await,rust.future_poll,rust.generator_coroutine,rust.await_suspension,rust.closure_capture_modes,rust.fn_traits,rust.send_sync_auto_traits,rust.atomic_ordering,rust.thread_memory_model,rust.macro_rules_hygiene,rust.proc_macro,rust.name_resolution_hygiene,rust.const_eval,rust.const_generics,rust.monomorphization,rust.hir_lowering,rust.mir_semantics,rust.abi_layout,rust.repr_attributes,rust.ffi_extern_abi,rust.slice_fat_pointer,rust.dst_unsized,rust.crate_module_resolution,rust.visibility_privacy,rust.attributes_cfg,rust.feature_gates
abi_calling_convention,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.79827,0.00000,0.00000,0.00000,0.00000,0.00000,0.75668,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78508,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.46577,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.46944,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.78719,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.18000,0.15000,0.57000,0.18000,0.57000,0.30000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.63750,0.48000,0.48000,0.63750,0.52500,0.00000,0.00000,0.00000,0.00000
allocation,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76683,0.00000,0.00000,0.00000,0.76035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76229,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75762,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47863,0.00000,0.75921,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76461,0.00000,0.46413,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75927,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.15000,0.18000,0.15000,0.00000,0.00000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
array_list,0.00000,0.00000,1.00000,0.00000,0.45691,0.00000,0.00000,0.46044,0.46329,0.00000,0.00000,0.46593,0.00000,0.46026,0.00000,0.00000,0.45761,0.00000,0.00000,0.45000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45853,0.00000,0.00000,0.77339,0.00000,0.00000,0.00000,0.00000,0.00000,0.45443,0.45507,0.46273,0.45593,0.00000,0.00000,0.00000,0.75000,0.00000,0.47171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45671,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75000,0.00000,0.75479,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75815,0.30645,0.00000,0.46401,0.00000,0.00000,0.00000,0.00000,0.00000,0.45786,0.12857,0.00000,0.12857,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22500,0.00000,0.15000,0.00000,0.15000,0.15000,0.00000,0.15000,0.00000,0.12857,0.00000,0.00000,0.22500,0.00000,0.12857,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
array_type,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.39662,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30931,0.00000,0.39442,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39841,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76083,0.00000,0.40057,0.75838,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39623,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75792,0.75810,0.00000,0.00000,0.00000,0.47050,0.75969,0.75712,0.75953,0.75288,0.00000,0.45921,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39602,0.75937,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.46561,0.75423,0.00000,0.75157,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37500,0.37500,0.37500,0.18000,0.18000,0.37500,0.00000,0.48000,0.22500,0.00000,0.00000,0.00000,0.48000,0.48000,0.48000,0.48000,0.48000,0.48000,0.39000,0.00000,0.00000,0.00000,0.00000,0.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39000,0.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
assignment,0.00000,0.00000,0.45691,0.00000,1.00000,0.00000,0.00000,0.46042,0.76960,0.00000,0.00000,0.46074,0.00000,0.46259,0.00000,0.00000,0.46461,0.00000,0.00000,0.75000,0.31476,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75838,0.00000,0.00000,0.45876,0.00000,0.00000,0.00000,0.00000,0.00000,0.76598,0.76390,0.75762,0.75450,0.00000,0.00000,0.00000,0.45000,0.00000,0.76115,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.46585,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31255,0.45000,0.30893,0.45526,0.00000,0.00000,0.00000,0.30000,0.00000,0.00000,0.00000,0.00000,0.46531,0.00000,0.00000,0.76919,0.00000,0.00000,0.31593,0.00000,0.00000,0.46208,0.12857,0.00000,0.12857,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36429,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30000,0.30000,0.00000,0.36429,0.00000,0.30000,0.37500,0.30000,0.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22500,0.00000,0.15000,0.00000,0.15000,0.15000,0.00000,0.15000,0.00000,0.12857,0.00000,0.00000,0.22500,0.00000,0.12857,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
atomic,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.30118,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75906,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76880,0.00000,0.00000,0.00000,0.00000,0.00000,0.46266,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75982,0.78377,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36429,0.37500,0.30000,0.36429,0.00000,0.00000,0.18000,0.57000,0.57000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
attribute_annotation,0.00000,0.00000,0.00000,0.39662,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31194,0.00000,0.75769,0.00000,0.00000,0.00000,0.00000,0.47136,0.00000,0.00000,0.00000,0.77282,0.00000,0.00000,0.00000,0.00000,0.00000,0.47894,0.40578,0.00000,0.77151,0.40277,0.00000,0.00000,0.00000,0.00000,0.47919,0.00000,0.77106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39136,0.00000,0.00000,0.47128,0.00000,0.00000,0.00000,0.00000,0.40475,0.39795,0.00000,0.47333,0.00000,0.00000,0.39276,0.39935,0.39747,0.39287,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.77359,0.40034,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40277,0.00000,0.39246,0.00000,0.47518,0.46919,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33750,0.33750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48000,0.63750,0.63750,0.33750,0.18000,0.37500,0.00000,0.63750,0.22500,0.22500,0.18000,0.00000,0.48000,0.48000,0.48000,0.37500,0.37500,0.37500,0.39000,0.00000,0.00000,0.00000,0.00000,0.48000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39000,0.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.48000,0.00000,0.18000,0.00000,0.00000,0.18000,0.00000,0.00000,0.00000,0.22500,0.22500,0.00000,0.00000
await,0.00000,0.00000,0.46044,0.00000,0.46042,0.30118,0.00000,1.00000,0.46149,0.00000,0.00000,0.47007,0.00000,0.45852,0.30221,0.00000,0.46230,0.00000,0.00000,0.45000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45689,0.00000,0.00000,0.46927,0.00000,0.00000,0.00000,0.00000,0.00000,0.45868,0.45858,0.45740,0.45460,0.30408,0.00000,0.00000,0.45000,0.00000,0.47284,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45781,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45000,0.00000,0.45279,0.00000,0.00000,0.00000,0.00000,0.32222,0.30256,0.00000,0.00000,0.46115,0.00000,0.00000,0.47018,0.00000,0.00000,0.00000,0.00000,0.00000,0.46127,0.12857,0.00000,0.12857,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22500,0.00000,0.15000,0.00000,0.15000,0.15000,0.00000,0.15000,0.00000,0.12857,0.00000,0.00000,0.52500,0.36429,0.42857,0.42857,0.00000,0.00000,0.00000,0.35625,0.30000,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
binary_op,0.00000,0.00000,0.46329,0.00000,0.76960,0.00000,0.00000,0.46149,1.00000,0.00000,0.00000,0.46641,0.00000,0.46520,0.00000,0.00000,0.46540,0.00000,0.00000,0.75000,0.32051,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75699,0.00000,0.00000,0.46243,0.00000,0.00000,0.00000,0.00000,0.00000,0.76786,0.76703,0.75846,0.75694,0.00000,0.00000,0.00000,0.45000,0.00000,0.76484,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.46312,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30922,0.45000,0.30498,0.45382,0.00000,0.00000,0.00000,0.30000,0.00000,0.00000,0.00000,0.00000,0.46503,0.00000,0.00000,0.78671,0.00000,0.00000,0.31217,0.00000,0.00000,0.46253,0.12857,0.00000,0.12857,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36429,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30000,0.30000,0.00000,0.36429,0.00000,0.30000,0.37500,0.30000,0.37500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22500,0.00000,0.15000,0.00000,0.15000,0.15000,0.00000,0.15000,0.00000,0.12857,0.00000,0.00000,0.22500,0.00000,0.12857,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.12857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
break,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75000,0.45000,0.00000,0.00000,0.45182,0.00000,0.00000,0.75953,0.75136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75000,0.00000,0.75962,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37785,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.76213,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75000,0.00000,0.00000,0.00000,0.45227,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.75000,0.37783,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.00000,0.18000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.45000,0.37500,0.48000,0.30000,0.00000,0.48000,0.63750,0.48000,0.52500,0.57000,0.00000,0.15000,0.15000,0.00000,0.15000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
