node,kind,file,line,generic_gap_score,rust_specific_hint_score,total_gap_score,rust_specific_hints
TraitRef,declaration,compiler/rustc_ast/src/ast.rs,3535,0.913098,0.945448,1.858545,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.fn_traits;rust.impl_trait;rust.operator_traits;rust.raw_pointer_deref;rust.ref_patterns;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
PolyTraitRef,declaration,compiler/rustc_ast/src/ast.rs,3548,0.913098,0.945448,1.858545,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.fn_traits;rust.impl_trait;rust.operator_traits;rust.raw_pointer_deref;rust.ref_patterns;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
FnPtrTy,declaration,compiler/rustc_ast/src/ast.rs,2483,0.723634,1.005228,1.728862,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
Prefix,enum_variant,compiler/rustc_ast/src/ast.rs,2148,1.259123,0.354977,1.614100,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
LitFloatType,declaration,compiler/rustc_ast/src/ast.rs,2242,0.338787,1.005228,1.344015,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
ByRef,declaration,compiler/rustc_ast/src/ast.rs,793,0.913098,0.354977,1.268075,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
Ref,enum_variant,compiler/rustc_ast/src/ast.rs,967,0.913098,0.354977,1.268075,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
Deref,enum_variant,compiler/rustc_ast/src/ast.rs,1163,0.913098,0.354977,1.268075,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
Ref,enum_variant,compiler/rustc_ast/src/ast.rs,2009,0.913098,0.354977,1.268075,rust.autoderef_autoref;rust.cell_refcell;rust.deref_coercion;rust.raw_pointer_deref;rust.ref_patterns
TypeOrConst,enum_variant,compiler/rustc_ast/src/ast.rs,417,0.000000,1.226824,1.226824,rust.associated_consts;rust.associated_types;rust.const_eval;rust.const_generics;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits
TypeConst,enum_variant,compiler/rustc_ast/src/ast.rs,4047,0.000000,1.226824,1.226824,rust.associated_consts;rust.associated_types;rust.const_eval;rust.const_generics;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits
GenericArgs,declaration,compiler/rustc_ast/src/ast.rs,256,0.954477,0.208483,1.162960,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
GenericArg,declaration,compiler/rustc_ast/src/ast.rs,281,0.954477,0.208483,1.162960,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
GenericBound,declaration,compiler/rustc_ast/src/ast.rs,392,0.954477,0.208483,1.162960,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
GenericBounds,declaration,compiler/rustc_ast/src/ast.rs,409,0.954477,0.208483,1.162960,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
GenericParamKind,declaration,compiler/rustc_ast/src/ast.rs,430,0.954477,0.208483,1.162960,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
GenericParam,declaration,compiler/rustc_ast/src/ast.rs,446,0.954477,0.208483,1.162960,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
Generics,declaration,compiler/rustc_ast/src/ast.rs,472,0.954477,0.208483,1.162960,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
TyPat,declaration,compiler/rustc_ast/src/ast.rs,2639,0.000000,1.137049,1.137049,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.pattern_destructuring;rust.ref_patterns;rust.send_sync_auto_traits;rust.trait_definition
TyPatKind,declaration,compiler/rustc_ast/src/ast.rs,2649,0.000000,1.137049,1.137049,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.pattern_destructuring;rust.ref_patterns;rust.send_sync_auto_traits;rust.trait_definition
MethodCall,declaration,compiler/rustc_ast/src/ast.rs,1704,1.099783,0.000000,1.099783,
UnsafeBinderTy,declaration,compiler/rustc_ast/src/ast.rs,2509,0.000000,1.092086,1.092086,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
ForAwait,enum_variant,compiler/rustc_ast/src/ast.rs,1930,0.925783,0.152372,1.078155,rust.async_await;rust.await_suspension
