cluster,matrix_gap_score,feature_count,features_by_gap,dominant_semanticprogram_axes
types_traits_generics,26.351872,36,interface_trait;attribute_annotation;rust.send_sync_auto_traits;generic;enum;struct;rust.trait_object_dyn;rust.enum_variant_semantics;generic_constraint;type_inference;primitive_integer;rust.const_generics;subtyping;cast_conversion;primitive_float;function_type;rust.unsize_coercion;rust.deref_coercion;rust.autoderef_autoref;rust.method_resolution;optional_nullable;rust.opaque_types;rust.trait_definition;rust.trait_impl;rust.operator_traits;rust.fn_traits;rust.generic_bounds;overload_resolution;rust.impl_trait;class;rust.unsafe_trait_impl;array_type;union_sum;map_type;primitive_string;primitive_bool,types.structure;types.origin;conversion.semantics;nodes.declaration;scope.binding;operations
ownership_borrowing,21.534667,24,rust.mutable_borrow;rust.shared_borrow;rust.drop_semantics;rust.move_semantics;rust.drop_check;rust.aliasing_model;rust.copy_semantics;mutation;manual_memory;lifetime;rust.lifetime_parameters;rust.pin_unpin;reference;ownership;rust.interior_mutability;rust.smart_pointer_ownership;rust.higher_ranked_lifetimes;rust.region_inference;rust.borrow_checker;rust.nonlexical_lifetimes;pointer;rust.reborrow;rust.cell_refcell;memory_model,ownership.lifetime;runtime.contract;types.structure;memory.model;binding.graph;data.flow
core_expression_control,12.729134,23,variable;scope;constant;rust.associated_consts;rust.vtable_dispatch;rust.destructor_order;shadowing;rust.associated_types;literal_null;literal_boolean;rust.where_clauses;symbol_table;rust.coherence_orphan;assignment;binary_op;rust.blanket_impl;identifier;literal_string;member_access;rust.specialization;unary_op;literal_numeric;comprehension,operations;types.structure;scope.binding;evaluation.order;nodes.expression;data.flow
memory_unsafe_abi,12.585544,14,rust.pointer_provenance;unsafe;abi_calling_convention;layout_alignment;ffi;rust.slice_fat_pointer;rust.raw_pointer_deref;rust.unsafe_block;rust.option_niche_optimization;rust.abi_layout;rust.dst_unsized;rust.ffi_extern_abi;rust.repr_attributes;gc,abi.ffi;memory.model;ownership.lifetime;types.structure;operations;effect.graph
patterns_control,10.887168,20,rust.result_question_operator;pattern;rust.pattern_destructuring;yield;rust.if_let_while_let;rust.let_else;rust.never_type_divergence;goto_label;rust.match_exhaustiveness;foreach_iteration;rust.match_guards;rust.ref_patterns;rust.loop_break_value;switch_match;if;for;while;return;break;continue,evaluation.order;control.flow;effects.control;data.flow;nodes.expression;types.structure
async_concurrency,9.975204,12,rust.atomic_ordering;task_async;thread;rust.thread_memory_model;atomic;lock_mutex;channel;rust.async_await;rust.future_poll;rust.await_suspension;rust.generator_coroutine;await,concurrency.model;memory.ordering;synchronization;operations;control.flow;data.flow
modules_macros_resolution,9.583070,13,import;macro;module;visibility;name_resolution;reflection;rust.proc_macro;rust.macro_rules_hygiene;rust.name_resolution_hygiene;rust.crate_module_resolution;rust.visibility_privacy;rust.attributes_cfg;rust.feature_gates,scope.binding;compiletime.semantics;nodes.declaration;dialect.extension;types.structure;capture.shadowing
lowering_const_codegen,7.371661,9,ir;rust.monomorphization;code_generation;optimizer;rust.hir_lowering;compile_time_eval;rust.const_eval;bytecode_vm;rust.mir_semantics,lowering.pipeline;compiletime.semantics;dialect.extension;evaluation.order;effect.graph;abi.ffi
runtime_effects,6.018748,8,allocation;network;dynamic_dispatch;io;random;time;filesystem;global_state,effect.graph;purity;runtime.contract
closures_callables,4.165975,6,capture;rust.closure_capture_modes;function;closure_lambda;parameter;call,scope.binding;types.structure;data.flow;binding.graph;capture.shadowing;nodes.declaration
panic_cleanup_effects,3.680547,4,rust.panic_unwind_abort;throw_raise;exception_try;defer_cleanup,control.flow;effects.control;evaluation.order;abi.ffi;effect.graph;runtime.contract
collections_indexing,3.176573,7,tuple;slice;tuple_type;map_dict;array_list;index;set,data.flow;evaluation.order;operations;nodes.expression;types.structure;types.origin
