feature,normalized_importance,coverage_score,base_gap,dominant_source_groups
abi_calling_convention,0.821668,0.021000,0.804413,compiler_other;codegen_abi;tools_other;traits_types
allocation,0.732865,0.111000,0.651517,stdlib_alloc;stdlib_core;const_eval;stdlib_std
array_list,0.251332,0.021000,0.246054,tools_other;ast_hir;compiler_other;traits_types
array_type,0.340733,0.133000,0.295416,tools_other;compiler_other;stdlib_core;codegen_abi
assignment,0.575940,0.469500,0.305536,mir;tools_other;borrowck_regions;codegen_abi
atomic,0.701102,0.079500,0.645364,stdlib_core;stdlib_std;compiler_other;codegen_abi
attribute_annotation,0.758326,0.021000,0.742401,compiler_other;codegen_abi;resolve_macros;tools_other
await,0.395687,0.021000,0.387377,tools_other;parser_lowering;tests;traits_types
binary_op,0.640957,0.577500,0.270804,mir;codegen_abi;tools_other;compiler_other
break,0.011249,0.483500,0.005810,tests;docs
bytecode_vm,0.408008,0.021000,0.399440,codegen_abi;parser_lowering;stdlib_std;tools_other
call,0.357576,0.577500,0.151076,tools_other;compiler_other;parser_lowering;borrowck_regions
capture,0.680794,0.057000,0.641989,compiler_other;traits_types;borrowck_regions;mir
cast_conversion,0.616003,0.077000,0.568571,stdlib_core;compiler_other;tools_other;borrowck_regions
channel,0.570309,0.021000,0.558333,stdlib_std;tools_other;codegen_abi;tests
class,0.452432,0.133000,0.392258,compiler_other;codegen_abi;stdlib_std;parser_lowering
closure_lambda,0.753902,0.266000,0.553364,borrowck_regions;compiler_other;traits_types;tools_other
code_generation,0.746783,0.021000,0.731100,codegen_abi;compiler_other;mir;tools_other
compile_time_eval,0.505411,0.021000,0.494798,stdlib_core;traits_types;tools_other;compiler_other
comprehension,0.048534,0.021000,0.047515,tools_other;docs
constant,0.727187,0.266000,0.533756,mir;compiler_other;tools_other;stdlib_core
continue,0.000000,0.483500,0.000000,
defer_cleanup,0.613385,0.021000,0.600504,mir;codegen_abi;borrowck_regions;compiler_other
dynamic_dispatch,0.600709,0.079500,0.552952,codegen_abi;compiler_other;stdlib_core;const_eval
enum,0.807849,0.133000,0.700405,compiler_other;codegen_abi;tools_other;mir
exception_try,0.639553,0.021000,0.626123,codegen_abi;stdlib_std;stdlib_core;compiler_other
ffi,0.771989,0.079500,0.710616,compiler_other;tests;tools_other;codegen_abi
filesystem,0.432629,0.111000,0.384607,stdlib_std;compiler_other;stdlib_core;tools_other
for,0.310680,0.483500,0.160466,tools_other;mir;compiler_other;borrowck_regions
foreach_iteration,0.749231,0.483500,0.386978,stdlib_core;compiler_other;stdlib_alloc;tools_other
function,0.958306,0.469500,0.508381,tools_other;compiler_other;tests;stdlib_core
function_type,0.606856,0.133000,0.526144,traits_types;tools_other;compiler_other;codegen_abi
gc,0.329778,0.021000,0.322852,codegen_abi;stdlib_std;tools_other;compiler_other
generic,0.821152,0.133000,0.711938,traits_types;compiler_other;tools_other;parser_lowering
generic_constraint,0.731877,0.133000,0.634537,borrowck_regions;traits_types;compiler_other;parser_lowering
global_state,0.373719,0.111000,0.332236,codegen_abi;compiler_other;stdlib_std;stdlib_core
goto_label,0.459255,0.021000,0.449611,mir;const_eval;codegen_abi;compiler_other
