semanticprogram_axis,propagated_gap,normalized_share
abi.ffi,18.174097,0.03902260
binding.graph,14.416975,0.03095548
capture.shadowing,7.309415,0.01569445
compiletime.semantics,14.110835,0.03029815
concurrency.model,10.365617,0.02225659
control.flow,20.191670,0.04335465
conversion.semantics,12.550292,0.02694742
data.flow,23.563634,0.05059478
dialect.extension,9.192657,0.01973806
effect.graph,21.027037,0.04514831
effects.control,9.299734,0.01996797
evaluation.order,26.875144,0.05770510
lowering.pipeline,9.828515,0.02110335
memory.model,20.082268,0.04311974
memory.ordering,8.096299,0.01738401
nodes.declaration,24.230378,0.05202638
nodes.expression,15.391161,0.03304721
operations,32.361317,0.06948477
ownership.lifetime,32.006725,0.06872340
purity,7.657976,0.01644286
runtime.contract,25.421468,0.05458383
scope.binding,26.109701,0.05606158
synchronization,7.127855,0.01530461
types.origin,16.724359,0.03590979
types.structure,53.617415,0.11512491
