rust_semantic_feature,tree_node,structured_type,binding_scope_graph,control_data_graph,effect_graph,operation_semantics,direct_interpreter,backend_declared_capability,dialect_preservation
rust.move_semantics,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.copy_semantics,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.shared_borrow,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.mutable_borrow,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.reborrow,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.borrow_checker,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.nonlexical_lifetimes,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.region_inference,0.000,0.350,0.100,0.000,0.000,0.000,0.000,0.000,0.350
rust.lifetime_parameters,0.000,0.350,0.100,0.000,0.000,0.000,0.000,0.000,0.350
rust.higher_ranked_lifetimes,0.000,0.350,0.100,0.000,0.000,0.000,0.000,0.000,0.350
rust.drop_semantics,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.drop_check,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.destructor_order,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.pin_unpin,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.interior_mutability,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.cell_refcell,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.smart_pointer_ownership,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.raw_pointer_deref,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.aliasing_model,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.pointer_provenance,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.unsafe_block,0.000,0.000,0.000,0.000,0.250,0.050,0.000,0.000,0.350
rust.unsafe_trait_impl,0.000,0.000,0.000,0.000,0.250,0.050,0.000,0.000,0.350
rust.trait_definition,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.trait_impl,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.associated_types,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.associated_consts,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.trait_object_dyn,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.vtable_dispatch,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.generic_bounds,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.where_clauses,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.blanket_impl,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
