feature,category,evidence_count,files_with_evidence,relative_weight,detection_terms,semanticprogram_axes
abi_calling_convention,memory,54103,4460,0.2944140614371616,"calling convention;abi;extern ""c"";cdecl;stdcall",memory.model;ownership.lifetime;abi.ffi
allocation,effect,15903,1607,0.08653987429597584,allocate;allocation;allocator;malloc;newexpr,effect.graph;purity;runtime.contract
array_list,expression,472,128,0.002568497809702609,arrayexpr;listexpr;array literal;list literal,nodes.expression;operations;evaluation.order;data.flow
array_type,type,662,161,0.003602427012760863,arraytype;array type;slice type,types.structure;types.origin;conversion.semantics
assignment,expression,2189,434,0.011911952765760618,assignexpr;assignment;assignstmt,nodes.expression;operations;evaluation.order;data.flow
atomic,concurrency,4898,428,0.026653606508312246,atomic;memory ordering;compareexchange,concurrency.model;synchronization;memory.ordering
attribute_annotation,declaration,33850,2491,0.1842026501237994,attribute;annotation;decorator;pragma,nodes.declaration;scope.binding;types.structure
await,expression,6915,790,0.03762958125867276,awaitexpr;await ;co_await,nodes.expression;operations;evaluation.order;data.flow
binary_op,expression,374,81,0.0020352080102304573,binaryexpr;binaryop;binop;infixexpr,nodes.expression;operations;evaluation.order;data.flow
break,control,61,23,0.0003319456915081762,breakstmt;break statement,control.flow;evaluation.order;effects.control
bytecode_vm,meta,462,61,0.002514080483225859,bytecode;virtual machine;opcode;interpreter loop,dialect.extension;compiletime.semantics;lowering.pipeline
call,expression,1345,157,0.007319130411122901,callexpr;call expression;applyexpr;invocationexpr,nodes.expression;operations;evaluation.order;data.flow
capture,binding,10465,1009,0.05694773215791908,capture;captured variable;upvalue;free variable,scope.binding;binding.graph;capture.shadowing
cast_conversion,expression,6900,754,0.037547955268957635,castexpr;cast expression;conversion;coercion,nodes.expression;operations;evaluation.order;data.flow
channel,concurrency,137,35,0.0007455173727314777,channel;chan ;sendrecv,concurrency.model;synchronization;memory.ordering
class,declaration,49738,7869,0.27066089843006014,classdecl;class ;objecttype,nodes.declaration;scope.binding;types.structure
closure_lambda,expression,22983,1861,0.125067341441515,closure;lambda;anonymous function,nodes.expression;operations;evaluation.order;data.flow
code_generation,meta,2698,496,0.014681794683427203,codegen;code generation;emitter;backend,dialect.extension;compiletime.semantics;lowering.pipeline
compile_time_eval,meta,2095,474,0.011400429896879167,compile time;constexpr;consteval;comptime,dialect.extension;compiletime.semantics;lowering.pipeline
comprehension,expression,6,5,3.265039588605012e-05,comprehension;generator expression,nodes.expression;operations;evaluation.order;data.flow
constant,declaration,26676,2328,0.14516366010937884,constant;constdecl;literal,nodes.declaration;scope.binding;types.structure
continue,control,64,21,0.00034827088945120125,continuestmt;continue statement,control.flow;evaluation.order;effects.control
defer_cleanup,control,8248,1115,0.04488341087802356,defer;cleanup;finally;raii,control.flow;evaluation.order;effects.control
dynamic_dispatch,effect,3323,355,0.01808287758822409,dynamic dispatch;virtual call;vtable;method lookup,effect.graph;purity;runtime.contract
enum,declaration,24486,4340,0.13324626561097053,enumdecl;enum ;variant,nodes.declaration;scope.binding;types.structure
exception_try,control,11265,5923,0.061301118276059094,trystmt;try statement;catch;except;finally,control.flow;evaluation.order;effects.control
ffi,memory,12136,2265,0.06604086741218404,ffi;foreign function;extern;cgo;jni;pinvoke,memory.model;ownership.lifetime;abi.ffi
filesystem,effect,1178,247,0.0064103610589611735,filesystem;file system;open file,effect.graph;purity;runtime.contract
